id_realizacao;tipo_dia;unidade_bess;barra;potencia_kw;capacidade_kwh;razao_armazenamento_h
1;parcialmente_nublado;1;15;51,63;376,32;7,289
1;parcialmente_nublado;2;33;89,24;229,65;2,573
1;parcialmente_nublado;3;16;164,08;255,47;1,557
1;parcialmente_nublado;4;18;107,29;334,68;3,119
1;parcialmente_nublado;5;10;95,92;317,99;3,315
1;parcialmente_nublado;6;20;156,82;319,47;2,037
1;parcialmente_nublado;7;7;229,83;212,93;0,926
1;parcialmente_nublado;8;25;176,35;249,69;1,416
1;parcialmente_nublado;9;28;109,33;143,16;1,309
1;parcialmente_nublado;10;24;230,8;500,0;2,166
1;parcialmente_nublado;11;26;80,2;102,57;1,279
1;parcialmente_nublado;12;12;171,92;174,35;1,014
1;parcialmente_nublado;13;11;151,19;248,48;1,643
1;parcialmente_nublado;14;7;67,51;225,84;3,345
1;parcialmente_nublado;15;30;65,21;195,29;2,995
1;parcialmente_nublado;16;11;222,07;462,01;2,08
1;parcialmente_nublado;17;21;149,4;222,58;1,49
1;parcialmente_nublado;18;28;70,28;267,87;3,811
1;parcialmente_nublado;19;27;58,51;189,24;3,234
1;parcialmente_nublado;20;25;159,34;162,44;1,019
1;parcialmente_nublado;21;5;93,84;264,39;2,817
1;parcialmente_nublado;22;7;94,25;352,62;3,741
1;parcialmente_nublado;23;6;137,42;128,21;0,933
1;parcialmente_nublado;24;6;93,76;479,04;5,109
1;parcialmente_nublado;25;28;57,97;390,48;6,736
1;parcialmente_nublado;26;34;64,72;329,98;5,099
2;parcialmente_nublado;1;22;68,04;339,48;4,989
2;parcialmente_nublado;2;32;131,56;119,5;0,908
2;parcialmente_nublado;3;5;122,22;371,89;3,043
2;parcialmente_nublado;4;16;93,55;392,84;4,199
2;parcialmente_nublado;5;22;86,58;393,23;4,542
2;parcialmente_nublado;6;8;65,88;377,79;5,735
2;parcialmente_nublado;7;24;210,53;398,71;1,894
2;parcialmente_nublado;8;33;205,48;231,01;1,124
2;parcialmente_nublado;9;7;113,69;250,23;2,201
2;parcialmente_nublado;10;3;213,21;194,69;0,913
2;parcialmente_nublado;11;13;218,9;159,84;0,73
2;parcialmente_nublado;12;32;69,52;124,44;1,79
2;parcialmente_nublado;13;21;94,1;132,46;1,408
2;parcialmente_nublado;14;25;200,87;215,12;1,071
2;parcialmente_nublado;15;27;214,69;436,94;2,035
2;parcialmente_nublado;16;3;194,8;104,03;0,534
2;parcialmente_nublado;17;13;122,41;322,69;2,636
2;parcialmente_nublado;18;34;93,2;312,16;3,349
2;parcialmente_nublado;19;11;137,5;137,32;0,999
2;parcialmente_nublado;20;31;107,8;157,93;1,465
2;parcialmente_nublado;21;25;198,23;422,14;2,13
2;parcialmente_nublado;22;12;166,94;152,95;0,916
2;parcialmente_nublado;23;34;154,56;397,54;2,572
2;parcialmente_nublado;24;13;140,03;176,01;1,257
2;parcialmente_nublado;25;29;102,86;377,48;3,67
2;parcialmente_nublado;26;16;203,5;420,47;2,066
3;nublado;1;9;209,68;307,82;1,468
3;nublado;2;3;236,53;154,51;0,653
3;nublado;3;32;135,36;279,58;2,065
3;nublado;4;32;110,15;482,52;4,381
3;nublado;5;4;229,76;364,01;1,584
3;nublado;6;19;176,05;257,63;1,463
3;nublado;7;8;151,96;205,98;1,355
3;nublado;8;30;107,29;101,09;0,942
3;nublado;9;30;78,73;456,52;5,799
3;nublado;10;18;128,52;292,01;2,272
3;nublado;11;22;242,11;143,97;0,595
3;nublado;12;8;171,33;207,28;1,21
3;nublado;13;12;116,24;289,61;2,491
3;nublado;14;34;66,0;266,17;4,033
3;nublado;15;32;95,7;342,01;3,574
3;nublado;16;2;243,44;440,71;1,81
3;nublado;17;1;130,58;323,5;2,477
3;nublado;18;11;180,77;404,45;2,237
3;nublado;19;2;204,96;334,75;1,633
3;nublado;20;19;120,58;119,36;0,99
3;nublado;21;34;139,17;382,72;2,75
3;nublado;22;32;194,51;222,8;1,145
3;nublado;23;9;121,8;339,42;2,787
3;nublado;24;9;215,98;308,34;1,428
3;nublado;25;31;204,72;152,41;0,744
3;nublado;26;14;207,18;217,87;1,052
4;nublado;1;3;54,68;490,92;8,978
4;nublado;2;7;87,53;330,36;3,774
4;nublado;3;8;124,74;381,81;3,061
4;nublado;4;10;52,53;309,42;5,89
4;nublado;5;12;206,56;436,81;2,115
4;nublado;6;25;224,49;405,82;1,808
4;nublado;7;17;190,53;271,69;1,426
4;nublado;8;28;243,85;105,98;0,435
4;nublado;9;8;198,31;269,06;1,357
4;nublado;10;8;55,9;160,98;2,88
4;nublado;11;22;120,6;275,29;2,283
4;nublado;12;22;154,76;362,02;2,339
4;nublado;13;28;125,43;355,41;2,834
4;nublado;14;23;95,14;170,99;1,797
4;nublado;15;5;176,38;196,13;1,112
4;nublado;16;1;61,51;321,02;5,219
4;nublado;17;22;131,74;235,75;1,79
4;nublado;18;34;74,31;377,27;5,077
4;nublado;19;33;62,46;446,6;7,15
4;nublado;20;27;197,25;237,65;1,205
4;nublado;21;15;51,17;307,25;6,004
4;nublado;22;1;213,54;389,18;1,823
4;nublado;23;28;100,58;481,56;4,788
4;nublado;24;7;88,53;475,2;5,368
4;nublado;25;18;96,81;184,22;1,903
4;nublado;26;4;239,88;105,8;0,441
5;parcialmente_nublado;1;11;147,74;405,85;2,747
5;parcialmente_nublado;2;22;145,49;379,52;2,609
5;parcialmente_nublado;3;5;157,71;444,62;2,819
5;parcialmente_nublado;4;7;132,91;374,67;2,819
5;parcialmente_nublado;5;12;105,05;269,65;2,567
5;parcialmente_nublado;6;18;189,68;368,83;1,944
5;parcialmente_nublado;7;28;210,65;242,63;1,152
5;parcialmente_nublado;8;18;65,48;217,97;3,329
5;parcialmente_nublado;9;29;95,48;132,02;1,383
5;parcialmente_nublado;10;11;167,68;325,27;1,94
5;parcialmente_nublado;11;8;136,07;168,53;1,239
5;parcialmente_nublado;12;8;195,48;311,88;1,595
5;parcialmente_nublado;13;4;99,53;259,62;2,608
5;parcialmente_nublado;14;11;101,49;157,01;1,547
5;parcialmente_nublado;15;13;174,01;411,17;2,363
5;parcialmente_nublado;16;9;239,59;111,42;0,465
5;parcialmente_nublado;17;31;58,06;122,54;2,111
5;parcialmente_nublado;18;11;120,43;479,17;3,979
5;parcialmente_nublado;19;11;236,09;429,25;1,818
5;parcialmente_nublado;20;12;111,81;300,35;2,686
5;parcialmente_nublado;21;23;139,6;477,46;3,42
5;parcialmente_nublado;22;34;246,53;186,62;0,757
5;parcialmente_nublado;23;19;69,14;445,28;6,44
5;parcialmente_nublado;24;20;159,94;114,58;0,716
5;parcialmente_nublado;25;9;236,7;184,06;0,778
5;parcialmente_nublado;26;13;91,51;401,59;4,388
6;nublado;1;21;236,81;287,14;1,213
6;nublado;2;8;75,18;110,82;1,474
6;nublado;3;13;96,97;423,75;4,37
6;nublado;4;16;120,64;463,54;3,842
6;nublado;5;4;135,17;228,02;1,687
6;nublado;6;5;236,68;123,56;0,522
6;nublado;7;22;113,49;405,41;3,572
6;nublado;8;18;156,53;181,29;1,158
6;nublado;9;22;186,09;174,82;0,939
6;nublado;10;34;233,41;270,66;1,16
6;nublado;11;25;214,9;495,46;2,306
6;nublado;12;34;214,42;485,52;2,264
6;nublado;13;25;58,01;244,68;4,218
6;nublado;14;32;75,2;325,67;4,331
6;nublado;15;33;169,44;131,29;0,775
6;nublado;16;33;51,87;331,08;6,383
6;nublado;17;9;162,56;188,71;1,161
6;nublado;18;10;181,11;308,93;1,706
6;nublado;19;23;66,0;461,54;6,993
6;nublado;20;31;142,77;266,06;1,864
6;nublado;21;18;88,14;146,59;1,663
6;nublado;22;13;203,34;319,68;1,572
6;nublado;23;27;62,74;366,76;5,846
6;nublado;24;4;168,98;338,21;2,001
6;nublado;25;12;208,08;142,95;0,687
6;nublado;26;11;234,55;347,41;1,481
7;ceu_aberto;1;26;50,5;471,68;9,34
7;ceu_aberto;2;9;166,73;363,15;2,178
7;ceu_aberto;3;32;165,16;414,42;2,509
7;ceu_aberto;4;26;227,13;304,69;1,341
7;ceu_aberto;5;2;179,02;471,07;2,631
7;ceu_aberto;6;33;130,72;467,44;3,576
7;ceu_aberto;7;19;93,35;270,05;2,893
7;ceu_aberto;8;34;237,42;477,58;2,012
7;ceu_aberto;9;7;176,29;453,63;2,573
7;ceu_aberto;10;14;85,45;129,7;1,518
7;ceu_aberto;11;30;113,05;322,09;2,849
7;ceu_aberto;12;13;60,93;129,07;2,118
7;ceu_aberto;13;29;241,95;234,95;0,971
7;ceu_aberto;14;30;219,33;383,8;1,75
7;ceu_aberto;15;23;225,61;224,42;0,995
7;ceu_aberto;16;34;204,39;249,31;1,22
7;ceu_aberto;17;16;105,78;406,04;3,839
7;ceu_aberto;18;4;137,8;371,03;2,693
7;ceu_aberto;19;5;242,41;467,89;1,93
7;ceu_aberto;20;16;58,58;128,42;2,192
7;ceu_aberto;21;4;148,7;414,97;2,791
7;ceu_aberto;22;2;67,41;387,4;5,747
7;ceu_aberto;23;9;174,62;369,94;2,119
7;ceu_aberto;24;23;82,07;473,14;5,765
7;ceu_aberto;25;22;234,56;179,79;0,766
7;ceu_aberto;26;18;218,96;182,27;0,832
8;ceu_aberto;1;27;242,71;137,69;0,567
8;ceu_aberto;2;20;123,49;288,07;2,333
8;ceu_aberto;3;5;135,74;347,6;2,561
8;ceu_aberto;4;25;71,24;347,48;4,878
8;ceu_aberto;5;7;78,96;378,4;4,792
8;ceu_aberto;6;12;184,73;340,17;1,841
8;ceu_aberto;7;33;100,48;180,72;1,799
8;ceu_aberto;8;11;59,93;173,22;2,89
8;ceu_aberto;9;19;60,67;199,6;3,29
8;ceu_aberto;10;18;66,9;272,82;4,078
8;ceu_aberto;11;24;158,97;337,9;2,126
8;ceu_aberto;12;18;205,31;164,86;0,803
8;ceu_aberto;13;33;182,53;380,91;2,087
8;ceu_aberto;14;29;165,22;265,94;1,61
8;ceu_aberto;15;5;86,11;271,74;3,156
8;ceu_aberto;16;33;98,45;325,49;3,306
8;ceu_aberto;17;18;217,98;399,33;1,832
8;ceu_aberto;18;23;125,29;114,9;0,917
8;ceu_aberto;19;5;182,84;176,31;0,964
8;ceu_aberto;20;30;155,7;303,46;1,949
8;ceu_aberto;21;7;147,79;248,4;1,681
8;ceu_aberto;22;11;57,43;402,79;7,014
8;ceu_aberto;23;15;64,48;382,53;5,933
8;ceu_aberto;24;11;108,86;259,14;2,38
8;ceu_aberto;25;12;168,99;329,23;1,948
8;ceu_aberto;26;19;202,61;363,86;1,796
9;parcialmente_nublado;1;14;116,32;348,99;3,0
9;parcialmente_nublado;2;12;160,5;221,86;1,382
9;parcialmente_nublado;3;12;109,15;203,75;1,867
9;parcialmente_nublado;4;22;109,13;149,19;1,367
9;parcialmente_nublado;5;1;89,02;313,85;3,526
9;parcialmente_nublado;6;15;188,29;182,59;0,97
9;parcialmente_nublado;7;3;52,69;390,37;7,409
9;parcialmente_nublado;8;30;60,67;136,26;2,246
9;parcialmente_nublado;9;17;103,59;216,18;2,087
9;parcialmente_nublado;10;30;125,5;337,61;2,69
9;parcialmente_nublado;11;4;66,75;391,3;5,862
9;parcialmente_nublado;12;12;232,75;354,38;1,523
9;parcialmente_nublado;13;27;219,49;301,05;1,372
9;parcialmente_nublado;14;9;219,13;178,87;0,816
9;parcialmente_nublado;15;14;130,1;356,72;2,742
9;parcialmente_nublado;16;11;83,02;251,94;3,035
9;parcialmente_nublado;17;6;123,61;499,39;4,04
9;parcialmente_nublado;18;3;90,92;189,73;2,087
9;parcialmente_nublado;19;12;106,42;252,8;2,375
9;parcialmente_nublado;20;4;200,6;445,97;2,223
9;parcialmente_nublado;21;6;187,09;369,61;1,976
9;parcialmente_nublado;22;20;121,21;411,36;3,394
9;parcialmente_nublado;23;34;174,38;379,6;2,177
9;parcialmente_nublado;24;24;192,55;436,83;2,269
9;parcialmente_nublado;25;9;196,83;294,44;1,496
9;parcialmente_nublado;26;21;135,33;331,8;2,452
10;parcialmente_nublado;1;14;223,36;348,19;1,559
10;parcialmente_nublado;2;9;138,42;469,81;3,394
10;parcialmente_nublado;3;6;186,52;300,41;1,611
10;parcialmente_nublado;4;26;176,18;383,77;2,178
10;parcialmente_nublado;5;19;241,54;352,38;1,459
10;parcialmente_nublado;6;13;56,21;454,61;8,088
10;parcialmente_nublado;7;17;65,43;369,35;5,645
10;parcialmente_nublado;8;9;248,33;329,24;1,326
10;parcialmente_nublado;9;26;175,0;440,19;2,515
10;parcialmente_nublado;10;9;229,73;485,44;2,113
10;parcialmente_nublado;11;29;144,06;456,09;3,166
10;parcialmente_nublado;12;34;83,98;258,45;3,078
10;parcialmente_nublado;13;7;197,73;329,19;1,665
10;parcialmente_nublado;14;12;75,01;483,08;6,44
10;parcialmente_nublado;15;5;120,39;338,06;2,808
10;parcialmente_nublado;16;12;141,31;168,9;1,195
10;parcialmente_nublado;17;8;81,68;180,57;2,211
10;parcialmente_nublado;18;16;54,39;393,06;7,227
10;parcialmente_nublado;19;14;178,2;223,07;1,252
10;parcialmente_nublado;20;12;63,18;161,16;2,551
10;parcialmente_nublado;21;30;63,08;375,24;5,949
10;parcialmente_nublado;22;30;180,14;113,44;0,63
10;parcialmente_nublado;23;9;128,54;391,81;3,048
10;parcialmente_nublado;24;14;179,38;206,47;1,151
10;parcialmente_nublado;25;33;186,13;214,4;1,152
10;parcialmente_nublado;26;27;94,78;490,19;5,172
11;parcialmente_nublado;1;21;237,24;257,93;1,087
11;parcialmente_nublado;2;19;122,44;158,99;1,299
11;parcialmente_nublado;3;24;148,24;478,62;3,229
11;parcialmente_nublado;4;2;248,76;472,33;1,899
11;parcialmente_nublado;5;14;127,94;340,49;2,661
11;parcialmente_nublado;6;19;74,65;307,84;4,124
11;parcialmente_nublado;7;12;229,85;187,32;0,815
11;parcialmente_nublado;8;16;102,69;405,95;3,953
11;parcialmente_nublado;9;22;230,45;158,93;0,69
11;parcialmente_nublado;10;12;224,48;241,71;1,077
11;parcialmente_nublado;11;8;242,54;114,57;0,472
11;parcialmente_nublado;12;30;238,5;346,24;1,452
11;parcialmente_nublado;13;11;158,33;178,19;1,125
11;parcialmente_nublado;14;2;220,09;377,54;1,715
11;parcialmente_nublado;15;17;116,74;304,05;2,605
11;parcialmente_nublado;16;10;148,87;251,62;1,69
11;parcialmente_nublado;17;1;139,85;230,69;1,65
11;parcialmente_nublado;18;24;240,93;411,5;1,708
11;parcialmente_nublado;19;21;160,54;360,69;2,247
11;parcialmente_nublado;20;19;221,24;180,92;0,818
11;parcialmente_nublado;21;9;230,28;382,57;1,661
11;parcialmente_nublado;22;28;113,76;333,96;2,936
11;parcialmente_nublado;23;6;187,65;296,25;1,579
11;parcialmente_nublado;24;14;158,55;163,47;1,031
11;parcialmente_nublado;25;4;74,92;428,77;5,723
11;parcialmente_nublado;26;30;61,22;357,61;5,841
12;ceu_aberto;1;2;70,29;369,59;5,258
12;ceu_aberto;2;23;176,67;384,2;2,175
12;ceu_aberto;3;14;120,18;156,06;1,299
12;ceu_aberto;4;17;105,29;414,74;3,939
12;ceu_aberto;5;20;238,63;415,4;1,741
12;ceu_aberto;6;25;91,21;280,71;3,078
12;ceu_aberto;7;21;147,62;282,26;1,912
12;ceu_aberto;8;33;210,71;251,62;1,194
12;ceu_aberto;9;32;193,48;302,15;1,562
12;ceu_aberto;10;25;119,66;149,43;1,249
12;ceu_aberto;11;8;153,66;231,37;1,506
12;ceu_aberto;12;1;77,09;478,94;6,213
12;ceu_aberto;13;13;87,4;395,65;4,527
12;ceu_aberto;14;28;95,55;120,19;1,258
12;ceu_aberto;15;15;58,4;139,68;2,392
12;ceu_aberto;16;34;248,83;161,81;0,65
12;ceu_aberto;17;12;153,76;201,74;1,312
12;ceu_aberto;18;6;62,76;122,19;1,947
12;ceu_aberto;19;15;154,08;423,91;2,751
12;ceu_aberto;20;17;53,54;415,08;7,753
12;ceu_aberto;21;23;201,7;432,27;2,143
12;ceu_aberto;22;26;103,48;218,87;2,115
12;ceu_aberto;23;7;135,07;384,06;2,843
12;ceu_aberto;24;18;245,41;250,37;1,02
12;ceu_aberto;25;10;197,56;259,72;1,315
12;ceu_aberto;26;5;102,9;411,88;4,003
13;ceu_aberto;1;6;89,43;453,85;5,075
13;ceu_aberto;2;34;182,81;328,54;1,797
13;ceu_aberto;3;20;79,35;188,07;2,37
13;ceu_aberto;4;25;148,78;364,5;2,45
13;ceu_aberto;5;23;221,79;301,51;1,359
13;ceu_aberto;6;27;187,12;350,42;1,873
13;ceu_aberto;7;5;92,45;275,2;2,977
13;ceu_aberto;8;11;64,57;494,98;7,666
13;ceu_aberto;9;22;93,35;451,47;4,836
13;ceu_aberto;10;30;178,55;225,38;1,262
13;ceu_aberto;11;5;236,7;265,64;1,122
13;ceu_aberto;12;3;248,41;309,85;1,247
13;ceu_aberto;13;4;129,94;180,96;1,393
13;ceu_aberto;14;7;224,91;445,82;1,982
13;ceu_aberto;15;31;210,96;307,66;1,458
13;ceu_aberto;16;28;216,58;423,14;1,954
13;ceu_aberto;17;16;147,65;451,13;3,055
13;ceu_aberto;18;27;151,54;414,18;2,733
13;ceu_aberto;19;25;135,29;473,11;3,497
13;ceu_aberto;20;1;55,97;238,3;4,258
13;ceu_aberto;21;29;183,45;264,26;1,441
13;ceu_aberto;22;6;244,04;473,12;1,939
13;ceu_aberto;23;21;51,29;440,67;8,592
13;ceu_aberto;24;33;214,07;436,62;2,04
13;ceu_aberto;25;5;248,13;150,21;0,605
13;ceu_aberto;26;19;159,42;192,62;1,208
14;ceu_aberto;1;4;146,23;498,8;3,411
14;ceu_aberto;2;1;230,4;394,29;1,711
14;ceu_aberto;3;6;93,58;331,94;3,547
14;ceu_aberto;4;33;245,09;135,91;0,555
14;ceu_aberto;5;16;190,07;259,51;1,365
14;ceu_aberto;6;25;124,77;190,64;1,528
14;ceu_aberto;7;26;83,19;261,16;3,139
14;ceu_aberto;8;11;212,88;363,43;1,707
14;ceu_aberto;9;13;202,07;248,13;1,228
14;ceu_aberto;10;13;163,85;348,5;2,127
14;ceu_aberto;11;3;220,46;159,32;0,723
14;ceu_aberto;12;1;220,76;387,93;1,757
14;ceu_aberto;13;15;113,86;288,0;2,529
14;ceu_aberto;14;5;137,71;210,63;1,53
14;ceu_aberto;15;7;231,82;350,89;1,514
14;ceu_aberto;16;6;79,85;294,54;3,689
14;ceu_aberto;17;26;171,99;489,49;2,846
14;ceu_aberto;18;12;236,76;409,91;1,731
14;ceu_aberto;19;1;160,38;263,99;1,646
14;ceu_aberto;20;8;58,14;192,8;3,316
14;ceu_aberto;21;2;98,97;470,49;4,754
14;ceu_aberto;22;2;63,76;392,55;6,157
14;ceu_aberto;23;25;193,52;123,98;0,641
14;ceu_aberto;24;22;193,98;182,56;0,941
14;ceu_aberto;25;12;75,77;402,43;5,311
14;ceu_aberto;26;30;98,22;268,14;2,73
15;ceu_aberto;1;16;163,29;358,48;2,195
15;ceu_aberto;2;30;190,58;429,89;2,256
15;ceu_aberto;3;27;230,11;243,24;1,057
15;ceu_aberto;4;27;168,88;234,1;1,386
15;ceu_aberto;5;33;237,22;428,19;1,805
15;ceu_aberto;6;24;57,73;261,29;4,526
15;ceu_aberto;7;10;167,39;339,19;2,026
15;ceu_aberto;8;2;217,06;313,72;1,445
15;ceu_aberto;9;34;218,13;260,54;1,194
15;ceu_aberto;10;25;126,95;291,92;2,299
15;ceu_aberto;11;7;71,31;149,61;2,098
15;ceu_aberto;12;21;162,39;237,02;1,46
15;ceu_aberto;13;19;240,67;298,34;1,24
15;ceu_aberto;14;10;109,61;234,9;2,143
15;ceu_aberto;15;14;111,12;218,96;1,97
15;ceu_aberto;16;34;233,77;233,15;0,997
15;ceu_aberto;17;8;203,37;162,57;0,799
15;ceu_aberto;18;28;197,5;299,51;1,517
15;ceu_aberto;19;11;83,93;259,91;3,097
15;ceu_aberto;20;3;60,87;489,42;8,04
15;ceu_aberto;21;9;154,16;442,15;2,868
15;ceu_aberto;22;1;233,05;285,29;1,224
15;ceu_aberto;23;27;195,13;414,42;2,124
15;ceu_aberto;24;14;234,99;484,41;2,061
15;ceu_aberto;25;24;178,91;334,35;1,869
15;ceu_aberto;26;2;94,64;177,41;1,875
16;parcialmente_nublado;1;26;220,19;444,17;2,017
16;parcialmente_nublado;2;21;179,97;405,78;2,255
16;parcialmente_nublado;3;8;188,43;315,11;1,672
16;parcialmente_nublado;4;9;64,31;308,35;4,795
16;parcialmente_nublado;5;31;155,08;375,74;2,423
16;parcialmente_nublado;6;27;227,32;315,52;1,388
16;parcialmente_nublado;7;2;77,79;345,4;4,44
16;parcialmente_nublado;8;16;145,17;412,18;2,839
16;parcialmente_nublado;9;4;216,28;162,18;0,75
16;parcialmente_nublado;10;9;129,96;308,21;2,372
16;parcialmente_nublado;11;5;176,58;289,29;1,638
16;parcialmente_nublado;12;17;201,59;409,69;2,032
16;parcialmente_nublado;13;28;60,84;355,95;5,851
16;parcialmente_nublado;14;13;152,68;396,33;2,596
16;parcialmente_nublado;15;23;110,87;365,03;3,292
16;parcialmente_nublado;16;15;239,63;160,27;0,669
16;parcialmente_nublado;17;3;243,33;331,82;1,364
16;parcialmente_nublado;18;26;70,19;384,39;5,476
16;parcialmente_nublado;19;19;185,49;405,89;2,188
16;parcialmente_nublado;20;28;52,19;330,16;6,326
