id_realizacao;tipo_dia;barra;potencia_kw;capacidade_kwh;razao_armazenamento_h
1;nublado;858;134,56;328,9;2,444
1;nublado;806;108,15;250,54;2,317
1;nublado;838;67,48;364,2;5,397
1;nublado;816;120,16;263,69;2,194
1;nublado;832;161,44;132,02;0,818
1;nublado;836;210,55;127,22;0,604
1;nublado;800;118,51;424,41;3,581
1;nublado;848;162,32;341,12;2,102
1;nublado;824;95,1;159,59;1,678
1;nublado;862;149,84;129,07;0,861
1;nublado;812;187,31;196,97;1,052
1;nublado;814;64,31;407,0;6,329
1;nublado;846;108,63;346,76;3,192
1;nublado;842;172,39;162,67;0,944
1;nublado;860;146,13;480,29;3,287
1;nublado;802;62,92;337,56;5,365
1;nublado;808;167,72;285,61;1,703
1;nublado;854;134,32;291,44;2,17
1;nublado;826;161,65;286,74;1,774
1;nublado;818;167,43;136,07;0,813
1;nublado;810;168,05;159,07;0,947
1;nublado;852;96,53;372,07;3,854
1;nublado;828;143,61;456,32;3,177
1;nublado;856;161,34;422,88;2,621
1;nublado;830;90,31;171,41;1,898
1;nublado;822;146,8;402,42;2,741
2;parcialmente_nublado;848;190,9;477,7;2,502
2;parcialmente_nublado;816;155,28;167,14;1,076
2;parcialmente_nublado;834;121,54;437,0;3,596
2;parcialmente_nublado;858;202,0;243,33;1,205
2;parcialmente_nublado;814;96,41;247,38;2,566
2;parcialmente_nublado;802;186,33;101,88;0,547
2;parcialmente_nublado;842;70,26;432,22;6,152
2;parcialmente_nublado;812;241,03;107,23;0,445
2;parcialmente_nublado;852;238,44;421,2;1,766
2;parcialmente_nublado;828;184,48;185,49;1,005
2;parcialmente_nublado;838;145,74;276,22;1,895
2;parcialmente_nublado;806;233,51;245,32;1,051
2;parcialmente_nublado;850;178,7;395,81;2,215
2;parcialmente_nublado;836;192,24;377,77;1,965
2;parcialmente_nublado;862;243,4;468,02;1,923
2;parcialmente_nublado;830;213,61;308,37;1,444
2;parcialmente_nublado;854;181,95;487,37;2,679
2;parcialmente_nublado;846;113,63;429,81;3,783
2;parcialmente_nublado;824;216,6;420,11;1,94
2;parcialmente_nublado;810;171,41;422,68;2,466
2;parcialmente_nublado;822;147,48;373,8;2,535
2;parcialmente_nublado;826;66,61;217,82;3,27
2;parcialmente_nublado;808;181,52;118,19;0,651
2;parcialmente_nublado;832;147,16;356,87;2,425
2;parcialmente_nublado;888;190,05;270,04;1,421
2;parcialmente_nublado;890;226,62;127,35;0,562
3;nublado;828;143,44;294,94;2,056
3;nublado;816;56,41;352,63;6,251
3;nublado;800;204,74;384,51;1,878
3;nublado;832;78,77;422,93;5,369
3;nublado;834;219,98;330,0;1,5
3;nublado;852;150,68;278,03;1,845
3;nublado;812;125,01;461,6;3,693
3;nublado;844;184,72;119,86;0,649
3;nublado;810;197,99;215,09;1,086
3;nublado;814;132,61;100,98;0,761
3;nublado;838;109,65;280,27;2,556
3;nublado;802;204,56;149,19;0,729
3;nublado;846;182,23;156,11;0,857
3;nublado;822;139,32;174,89;1,255
