id_realizacao;tipo_dia;pv_unidades;pv_potencia_total_kw;bess_unidades;bess_potencia_total_kw;subtensao_manhã;sobretensao_manhã;subtensao_tarde;sobretensao_tarde;subtensao_noite;sobretensao_noite;subtensao_madrugada;sobretensao_madrugada;subtensao_bess_carga;sobretensao_bess_carga;subtensao_bess_pós_carga_pré_descarga;sobretensao_bess_pós_carga_pré_descarga;subtensao_bess_descarga;sobretensao_bess_descarga;subtensao_bess_fora_de_operacao;sobretensao_bess_fora_de_operacao;horas_com_erro_max_control;horas_com_voltvar_ativo;pen_pct
1;parcialmente_nublado;5;2653,51;5;928,7199999999999;29;7;29;7;2;7;2;0;29;6;1;7;1;7;23;7;0;24;150
2;parcialmente_nublado;5;2653,5;5;928,7300000000001;29;7;29;7;2;7;2;0;29;7;1;7;1;7;11;7;0;24;150
3;ceu_aberto;5;2653,5;5;928,73;29;7;29;7;2;9;2;0;29;6;4;7;1;9;14;7;0;19;150
4;ceu_aberto;5;2653,49;5;928,72;29;7;29;6;2;7;2;0;29;0;24;6;1;7;13;7;0;19;150
5;ceu_aberto;5;2653,5;5;928,7199999999999;29;7;29;7;2;9;2;0;29;7;2;7;1;9;23;7;0;19;150
6;parcialmente_nublado;5;2653,51;5;928,7399999999999;29;7;29;7;2;8;2;0;29;7;1;7;1;8;23;7;0;24;150
7;parcialmente_nublado;5;2653,5;5;928,7200000000001;29;7;29;6;2;9;2;0;29;6;24;6;1;9;13;7;0;24;150
8;nublado;5;2653,5;5;928,73;29;7;4;7;2;9;2;0;29;7;1;6;1;7;23;9;0;21;150
9;nublado;5;2653,5;5;928,72;28;9;29;7;2;7;2;0;29;7;1;7;1;7;2;9;0;21;150
10;parcialmente_nublado;5;2653,49;5;928,73;23;7;29;7;2;9;2;0;29;7;1;7;1;9;24;7;0;24;150
11;parcialmente_nublado;5;2653,5;5;928,71;29;7;29;7;2;9;2;0;29;0;1;7;1;9;15;7;0;24;150
12;parcialmente_nublado;5;2653,5;5;928,7199999999998;29;7;29;7;2;7;2;0;29;7;1;7;1;7;13;7;0;24;150
13;parcialmente_nublado;5;2653,49;5;928,7299999999999;30;9;29;9;2;9;2;0;30;7;1;9;1;9;2;9;0;24;150
14;parcialmente_nublado;5;2653,5;5;928,73;22;7;18;7;2;7;2;0;18;7;4;7;1;7;23;7;0;24;150
15;parcialmente_nublado;5;2653,5;5;928,73;29;7;29;7;2;8;2;0;29;7;3;7;1;8;13;7;0;24;150
16;nublado;5;2653,5;5;928,71;4;9;29;7;2;7;2;0;29;7;1;7;1;7;2;9;0;21;150
17;nublado;5;2653,5;5;928,72;29;7;29;7;2;7;2;0;29;7;1;7;1;7;5;7;0;21;150
18;parcialmente_nublado;5;2653,5;5;928,72;29;7;29;9;2;7;2;0;29;6;1;9;1;7;13;7;0;24;150
19;parcialmente_nublado;5;2653,5;5;928,7299999999999;29;7;29;7;2;7;2;0;29;6;4;7;1;7;12;7;0;24;150
20;ceu_aberto;5;2653,5;5;928,73;29;7;29;7;2;7;2;0;29;0;6;7;1;7;11;7;0;19;150
21;ceu_aberto;5;2653,49;5;928,7299999999999;30;7;30;7;2;9;2;0;30;3;8;7;1;9;25;7;0;19;150
22;parcialmente_nublado;5;2653,5;5;928,7200000000001;29;7;29;7;2;7;2;0;29;7;1;7;1;7;24;7;0;24;150
23;ceu_aberto;5;2653,5;5;928,7199999999999;29;9;29;7;2;7;2;0;29;6;4;7;1;7;13;9;0;19;150
24;nublado;5;2653,5;5;928,72;29;7;1;7;2;6;2;0;29;6;1;7;1;6;23;7;0;21;150
25;parcialmente_nublado;5;2653,51;5;928,73;29;7;29;7;2;8;2;0;29;7;6;7;1;8;13;7;0;24;150
26;parcialmente_nublado;5;2653,49;5;928,72;29;7;27;7;2;9;2;0;29;7;1;7;1;9;24;7;0;24;150
27;parcialmente_nublado;5;2653,5;5;928,73;29;8;29;7;2;9;2;0;29;6;1;7;1;9;13;8;0;24;150
28;ceu_aberto;5;2653,51;5;928,72;29;7;29;6;2;7;2;0;29;6;22;6;1;7;11;7;0;19;150
29;ceu_aberto;5;2653,5;5;928,73;30;8;30;7;2;7;2;0;30;7;22;6;1;7;11;8;0;19;150
30;ceu_aberto;5;2653,5;5;928,73;29;9;29;6;2;7;2;0;29;0;24;6;1;7;13;9;0;19;150
31;parcialmente_nublado;5;2653,5;5;928,72;29;7;29;7;2;7;2;0;29;6;17;7;1;7;13;7;0;24;150
