id_realizacao;tipo_dia;pv_unidades;pv_potencia_total_kw;bess_unidades;bess_potencia_total_kw;defeitos_manhã;defeitos_tarde;defeitos_noite;defeitos_madrugada;horas_com_erro_max_control;pen_pct
1;ceu_aberto;3;1415,2;5;640,12;8;10;1;1;0;80
2;nublado;5;1415,2;5;721,78;7;1;1;1;0;80
3;parcialmente_nublado;5;1415,2;5;742,4399999999999;7;2;1;1;0;80
4;nublado;2;1415,2;5;718,37;1;1;1;1;0;80
5;nublado;3;1415,2;5;618,9499999999999;7;1;1;1;0;80
6;parcialmente_nublado;3;1415,2;5;763,49;1;1;1;1;0;80
7;nublado;5;1250,0;5;612,96;2;1;1;1;0;80
8;ceu_aberto;5;1415,2;5;839,7799999999999;8;7;2;1;0;80
9;nublado;5;900,0;5;939,71;1;1;2;1;0;80
10;nublado;5;1400,0;5;646,4200000000001;2;1;1;1;0;80
11;parcialmente_nublado;2;1415,2;5;660,6700000000001;8;7;1;1;0;80
12;parcialmente_nublado;5;1415,2;5;719,96;6;1;1;1;0;80
13;parcialmente_nublado;5;1000,0;5;682,79;7;2;1;1;0;80
14;nublado;5;1415,2;5;889,21;1;1;2;1;0;80
15;parcialmente_nublado;5;1415,2;5;824,78;8;5;1;1;0;80
16;parcialmente_nublado;5;1415,2;5;632,63;7;1;1;1;0;80
17;ceu_aberto;5;1250,0;5;565,77;8;7;1;1;0;80
18;nublado;5;1415,2;5;565,0;7;1;1;1;0;80
19;parcialmente_nublado;4;1415,2;5;966,28;8;7;2;1;0;80
20;ceu_aberto;5;1415,2;5;921,79;8;8;2;1;0;80
21;parcialmente_nublado;5;1415,2;5;704,28;2;1;1;1;0;80
22;parcialmente_nublado;5;1415,2;5;637,86;1;1;1;1;0;80
23;parcialmente_nublado;4;1415,2;5;649,9699999999999;8;7;1;1;0;80
24;ceu_aberto;4;1415,2;5;780,86;8;7;1;1;0;80
25;nublado;2;1415,2;5;833,6;7;6;2;1;0;80
26;parcialmente_nublado;4;1415,2;5;610,6400000000001;8;8;1;1;0;80
27;parcialmente_nublado;2;1415,2;5;749,28;7;1;1;1;0;80
28;ceu_aberto;5;1250,0;5;720,26;7;7;1;1;0;80
29;ceu_aberto;5;1415,2;5;601,9;8;8;1;1;0;80
30;parcialmente_nublado;4;1415,2;5;788,7800000000001;2;1;1;1;0;80
31;ceu_aberto;4;1415,2;5;755,72;8;8;1;1;0;80
32;nublado;5;1350,0;5;748,12;7;1;1;1;0;80
33;nublado;5;850,0;5;1044,55;1;1;7;1;0;80
34;nublado;5;1415,2;5;642,77;7;1;1;1;0;80
35;nublado;2;1415,2;5;799,48;7;7;1;1;0;80
36;parcialmente_nublado;5;1200,0;5;848,62;7;2;1;1;0;80
37;parcialmente_nublado;4;1415,2;5;599,63;8;7;1;1;0;80
38;ceu_aberto;5;1415,2;5;960,8900000000001;8;8;2;1;0;80
39;ceu_aberto;5;1400,0;5;707,3199999999999;8;7;1;1;0;80
40;ceu_aberto;3;1415,2;5;775,7099999999999;7;7;1;1;0;80
41;ceu_aberto;5;1415,2;5;756,3199999999999;8;8;1;1;0;80
42;nublado;5;1415,2;5;752,8;2;1;1;1;0;80
43;ceu_aberto;3;1415,2;5;818,33;22;8;2;1;0;80
44;nublado;2;1415,2;5;934,0400000000001;8;2;2;1;0;80
45;parcialmente_nublado;4;1415,2;5;662,0799999999999;8;7;1;1;0;80
46;ceu_aberto;5;1415,2;5;827,3;8;8;2;1;0;80
47;nublado;5;1415,2;5;655,32;7;2;1;1;0;80
48;parcialmente_nublado;3;1415,2;5;939,89;8;7;2;1;0;80
49;ceu_aberto;5;1400,0;5;721,02;8;8;1;1;0;80
50;parcialmente_nublado;5;1415,2;5;823,7099999999999;8;7;2;1;0;80
