id_realizacao;tipo_dia;h00;h01;h02;h03;h04;h05;h06;h07;h08;h09;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23
1;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0105;0,097;0,2658;0,4225;0,6163;0,6299;0,7313;0,5221;0,6113;0,4606;0,2862;0,1944;0,0597;0,0043;0,0;0,0002;0,0014;0,0013;0,0015
2;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0039;0,0552;0,2488;0,5051;0,6781;0,846;1,0;1,0;0,9103;0,6794;0,4901;0,2712;0,0483;0,0023;0,0004;0,0;0,0;0,0;0,0001
3;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0114;0,0864;0,2887;0,409;0,596;0,6753;0,7842;0,6549;0,6209;0,4713;0,334;0,2097;0,0566;0,0036;0,0;0,0003;0,0017;0,0014;0,0018
4;parcialmente_nublado;0,001;0,0006;0,0012;0,001;0,0009;0,0046;0,0553;0,193;0,3673;0,6968;0,7239;0,6936;0,9927;0,802;0,6527;0,4421;0,1697;0,0481;0,0052;0,0008;0,0006;0,0003;0,0004;0,0003
5;parcialmente_nublado;0,0009;0,0008;0,0012;0,0012;0,0009;0,004;0,057;0,2211;0,3248;0,526;0,7545;0,9617;0,822;0,8035;0,5807;0,4739;0,176;0,0564;0,0055;0,0007;0,0007;0,0005;0,0003;0,0004
6;parcialmente_nublado;0,0011;0,0008;0,0012;0,0013;0,0007;0,003;0,0575;0,1678;0,3852;0,6084;0,5518;0,8773;0,895;0,6636;0,5453;0,4494;0,1655;0,058;0,0047;0,0009;0,0005;0,0004;0,0004;0,0004
7;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0132;0,0955;0,2052;0,4418;0,4812;0,5957;0,5021;0,729;0,5451;0,4213;0,3564;0,1956;0,049;0,0048;0,0;0,0001;0,002;0,0018;0,0019
8;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0125;0,0997;0,2855;0,4033;0,6373;0,7419;0,6058;0,6935;0,7392;0,4526;0,3503;0,1929;0,0596;0,0035;0,0;0,0003;0,0016;0,0017;0,0014
9;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0032;0,0484;0,2412;0,3869;0,7239;1,0;0,9973;1,0;0,7445;0,7623;0,5067;0,2454;0,0538;0,002;0,0003;0,0;0,0;0,0;0,0001
10;parcialmente_nublado;0,0007;0,001;0,0012;0,0013;0,0008;0,0046;0,0633;0,1899;0,4686;0,6224;0,6103;0,8224;0,715;0,7765;0,5888;0,291;0,1821;0,0545;0,0052;0,0008;0,0006;0,0003;0,0003;0,0004
11;nublado;0,0006;0,0;0,0;0,0001;0,0;0,0125;0,1088;0,2471;0,2733;0,6279;0,5804;0,8224;0,6142;0,5464;0,4077;0,3595;0,1795;0,0546;0,0041;0,0;0,0002;0,0014;0,0017;0,0021
12;parcialmente_nublado;0,001;0,001;0,0011;0,001;0,0008;0,0036;0,0619;0,1891;0,3336;0,5951;0,758;0,9727;1,0;0,7891;0,5276;0,3894;0,2141;0,0554;0,0053;0,0008;0,0007;0,0005;0,0004;0,0004
13;parcialmente_nublado;0,0009;0,001;0,0012;0,0011;0,0007;0,004;0,0531;0,1885;0,4037;0,7156;0,8329;0,9809;0,9953;0,8069;0,5852;0,3687;0,2113;0,0565;0,005;0,0007;0,0005;0,0004;0,0003;0,0005
14;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0032;0,0448;0,1807;0,3779;0,7854;0,7715;0,8436;1,0;0,9556;0,7846;0,4239;0,1714;0,0501;0,0023;0,0003;0,0;0,0;0,0;0,0001
15;parcialmente_nublado;0,001;0,0009;0,0011;0,0011;0,0009;0,0037;0,0506;0,1625;0,4276;0,6651;0,7262;0,8732;1,0;0,7455;0,6403;0,4575;0,2033;0,0476;0,0057;0,0009;0,0005;0,0004;0,0004;0,0003
16;parcialmente_nublado;0,001;0,0009;0,0012;0,0009;0,0008;0,004;0,0641;0,1938;0,4129;0,5726;0,8335;0,668;0,8822;0,6475;0,5718;0,3945;0,1867;0,0449;0,0048;0,0009;0,0006;0,0004;0,0003;0,0005
17;nublado;0,0006;0,0;0,0;0,0001;0,0;0,0112;0,0749;0,2594;0,379;0,582;0,5772;0,7812;0,7252;0,5564;0,3731;0,3328;0,1785;0,0514;0,0046;0,0;0,0002;0,0018;0,0013;0,0015
18;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0035;0,0437;0,191;0,442;0,9627;1,0;1,0;1,0;1,0;0,5966;0,4523;0,282;0,0504;0,0023;0,0003;0,0;0,0;0,0;0,0001
