id_realizacao;tipo_dia;pv_unidades;pv_potencia_total_kw;bess_unidades;bess_potencia_total_kw;subtensao_manhã;sobretensao_manhã;subtensao_tarde;sobretensao_tarde;subtensao_noite;sobretensao_noite;subtensao_madrugada;sobretensao_madrugada;subtensao_bess_carga;sobretensao_bess_carga;subtensao_bess_pós_carga_pré_descarga;sobretensao_bess_pós_carga_pré_descarga;subtensao_bess_descarga;sobretensao_bess_descarga;subtensao_bess_fora_de_operacao;sobretensao_bess_fora_de_operacao;horas_com_erro_max_control;horas_com_voltvar_ativo;pen_pct
1;ceu_aberto;5;884,51;5;309,56;1;7;1;6;2;0;2;0;1;6;1;6;1;0;2;7;0;19;50
2;ceu_aberto;5;884,5;5;309,57;1;6;1;6;2;0;2;0;1;6;1;6;1;0;2;6;0;19;50
3;parcialmente_nublado;5;884,5;5;309,57;1;6;1;6;2;0;2;2;1;6;1;0;1;0;2;8;0;24;50
4;ceu_aberto;5;884,5;5;309,57;1;6;1;6;2;0;2;0;1;6;1;6;1;0;2;6;0;19;50
5;nublado;5;884,5;5;309,57000000000005;1;6;1;5;2;0;2;0;1;5;1;4;1;0;2;6;0;21;50
6;ceu_aberto;5;884,5;5;309,57000000000005;1;7;1;6;2;0;2;0;1;6;1;6;1;0;2;7;0;19;50
7;nublado;5;884,5;5;309,57;1;6;1;5;2;0;2;0;1;5;1;0;1;0;2;6;0;21;50
8;ceu_aberto;5;884,5;5;309,57;1;8;1;6;2;0;2;0;1;6;1;6;1;0;2;8;0;19;50
9;parcialmente_nublado;5;884,5;5;309,58;1;7;1;6;2;0;2;2;1;6;1;0;1;0;2;9;0;24;50
10;nublado;5;884,5;5;309,57;1;6;1;6;2;0;2;0;1;6;1;5;1;0;2;6;0;21;50
11;parcialmente_nublado;5;884,49;5;309,58000000000004;1;6;1;6;2;0;2;2;1;6;1;0;1;0;2;8;0;24;50
12;nublado;5;884,51;5;309,59;1;6;1;6;2;0;2;0;1;6;1;0;1;0;2;6;0;21;50
13;ceu_aberto;5;884,5;5;309,57;1;7;1;6;2;0;2;0;1;6;1;5;1;0;2;7;0;19;50
14;ceu_aberto;5;884,5;5;309,57;1;7;1;6;2;0;2;0;1;6;1;6;1;0;2;7;0;19;50
15;ceu_aberto;5;884,5;5;309,58;1;7;1;6;2;0;2;0;1;6;1;6;1;0;2;7;0;19;50
16;ceu_aberto;5;884,49;5;309,58;1;7;1;6;2;0;2;0;1;7;1;6;1;0;2;7;0;19;50
17;parcialmente_nublado;5;884,5;5;309,5899999999999;1;6;1;6;2;0;2;0;1;6;1;0;1;0;2;6;0;24;50
18;ceu_aberto;5;884,5;5;309,56999999999994;1;7;1;6;2;0;2;0;1;6;1;5;1;0;2;7;0;19;50
19;ceu_aberto;5;884,5;5;309,57;1;6;1;6;2;0;2;0;1;6;1;5;1;0;2;6;0;19;50
20;ceu_aberto;5;884,51;5;309,58;1;7;1;6;2;0;2;0;1;6;1;6;1;0;2;7;0;19;50
21;parcialmente_nublado;5;884,49;5;309,58;1;6;1;6;2;0;2;2;1;6;1;5;1;0;2;8;0;24;50
22;ceu_aberto;5;884,5;5;309,58;1;6;1;6;2;0;2;0;1;6;1;6;1;0;2;6;0;19;50
23;ceu_aberto;5;884,49;5;309,58;1;7;1;6;2;0;2;0;1;6;1;5;1;0;2;7;0;19;50
24;parcialmente_nublado;5;884,51;5;309,57;1;6;1;6;2;0;2;0;1;6;1;0;1;0;2;6;0;24;50
25;parcialmente_nublado;5;884,49;5;309,58;1;6;1;6;2;0;2;2;1;6;1;5;1;0;2;8;0;24;50
26;ceu_aberto;5;884,51;5;309,59000000000003;1;6;1;6;2;0;2;0;1;6;1;6;1;0;2;6;0;19;50
27;ceu_aberto;5;884,51;5;309,58;1;7;1;6;2;0;2;0;1;6;1;6;1;0;2;7;0;19;50
28;ceu_aberto;5;884,51;5;309,56999999999994;1;7;1;6;2;0;2;0;1;6;1;5;1;0;2;7;0;19;50
29;parcialmente_nublado;5;884,5;5;309,57000000000005;1;6;1;7;2;0;2;2;1;7;1;3;1;0;2;8;0;24;50
30;ceu_aberto;5;884,5;5;309,57;1;7;1;7;2;0;2;0;1;7;1;6;1;0;2;7;0;19;50
31;ceu_aberto;5;884,5;5;309,57;1;7;1;6;2;0;2;0;1;6;1;6;1;0;2;7;0;19;50
32;parcialmente_nublado;5;884,52;5;309,56;1;7;1;6;2;0;2;0;1;7;1;0;1;0;2;6;0;24;50
33;nublado;5;884,51;5;309,57;1;6;1;6;2;0;2;0;1;6;1;0;1;0;2;6;0;21;50
34;ceu_aberto;5;884,5;5;309,58000000000004;1;8;1;6;2;0;2;0;1;6;1;6;1;0;2;8;0;19;50
35;parcialmente_nublado;5;884,5;5;309,57;1;7;1;6;2;0;2;0;1;6;1;0;1;0;2;7;0;24;50
36;parcialmente_nublado;5;884,5;5;309,58000000000004;1;6;1;0;2;0;2;0;1;6;1;0;1;0;2;6;0;24;50
37;ceu_aberto;5;884,5;5;309,57;1;8;1;6;2;0;2;0;1;6;1;5;1;0;2;8;0;19;50
38;parcialmente_nublado;5;884,5;5;309,55999999999995;1;6;1;5;2;0;2;0;1;6;1;5;1;0;2;6;0;24;50
39;parcialmente_nublado;5;884,49;5;309,57;1;6;1;6;2;0;2;0;1;6;1;0;1;0;2;6;0;24;50
40;parcialmente_nublado;5;884,51;5;309,57;1;6;1;6;2;0;2;0;1;6;1;4;1;0;2;6;0;24;50
41;ceu_aberto;5;884,49;5;309,58;1;6;1;6;2;0;2;0;1;6;1;6;1;0;2;6;0;19;50
42;ceu_aberto;5;884,51;5;309,57;1;7;1;6;2;0;2;0;1;6;1;6;1;0;2;7;0;19;50
43;parcialmente_nublado;5;884,5;5;309,58000000000004;1;6;1;6;2;0;2;0;1;6;1;1;1;0;2;6;0;24;50
44;nublado;5;884,49;5;309,57000000000005;1;6;1;6;2;0;2;0;1;6;1;1;1;0;2;6;0;21;50
45;ceu_aberto;5;884,49;5;309,58;1;6;1;6;2;0;2;0;1;6;1;2;1;0;2;6;0;19;50
46;parcialmente_nublado;5;884,5;5;309,58;1;7;1;6;2;0;2;0;1;6;1;0;1;0;2;7;0;24;50
47;ceu_aberto;5;884,5;5;309,58;1;7;1;6;2;0;2;0;1;6;1;6;1;0;2;7;0;19;50
48;parcialmente_nublado;5;884,5;5;309,58000000000004;1;6;1;6;2;0;2;0;1;6;1;0;1;0;2;6;0;24;50
49;parcialmente_nublado;5;884,49;5;309,57;1;6;1;5;2;0;2;0;1;6;1;0;1;0;2;6;0;24;50
50;parcialmente_nublado;5;884,5;5;309,57;1;7;1;6;2;0;2;0;1;7;1;0;1;0;2;6;0;24;50
51;ceu_aberto;5;884,49;5;309,57;1;7;1;6;2;0;2;0;1;6;1;5;1;0;2;7;0;19;50
52;ceu_aberto;5;884,5;5;309,57000000000005;1;7;1;6;2;0;2;0;1;6;1;5;1;0;2;7;0;19;50
53;ceu_aberto;5;884,49;5;309,59;1;6;1;6;2;0;2;0;1;6;1;6;1;0;2;6;0;19;50
54;nublado;5;884,51;5;309,56;1;6;1;5;2;0;2;0;1;6;1;0;1;0;2;5;0;21;50
55;ceu_aberto;5;884,5;5;309,59000000000003;1;7;1;6;2;0;2;0;1;6;1;6;1;0;2;7;0;19;50
56;ceu_aberto;5;884,49;5;309,57;1;7;1;6;2;0;2;0;1;6;1;5;1;0;2;7;0;19;50
57;ceu_aberto;5;884,5;5;309,58;1;7;1;6;2;0;2;0;1;6;1;5;1;0;2;7;0;19;50
58;ceu_aberto;5;884,51;5;309,58;1;8;1;6;2;0;2;0;1;6;1;6;1;0;2;8;0;19;50
59;parcialmente_nublado;5;884,5;5;309,57;1;7;1;6;2;0;2;0;1;6;1;5;1;0;2;7;0;24;50
60;nublado;5;884,5;5;309,57;1;7;1;5;2;0;2;0;1;5;1;0;1;0;2;7;0;21;50
61;nublado;5;884,49;5;309,58;1;5;1;5;2;0;2;0;1;0;1;5;1;0;2;5;0;21;50
62;ceu_aberto;5;884,5;5;309,58;1;7;1;6;2;0;2;0;1;7;1;6;1;0;2;6;0;19;50
63;parcialmente_nublado;5;884,5;5;309,58;1;7;1;6;2;0;2;2;1;7;1;0;1;0;2;8;0;24;50
64;ceu_aberto;5;884,5;5;309,58;1;7;1;6;2;0;2;0;1;6;1;6;1;0;2;7;0;19;50
65;ceu_aberto;5;884,5;5;309,58000000000004;1;6;1;6;2;0;2;0;1;6;1;6;1;0;2;6;0;19;50
66;parcialmente_nublado;5;884,5;5;309,56999999999994;1;6;1;6;2;0;2;0;1;6;1;0;1;0;2;6;0;24;50
67;parcialmente_nublado;5;884,5;5;309,57;1;6;1;6;2;0;2;2;1;6;1;0;1;0;2;8;0;24;50
68;ceu_aberto;5;884,5;5;309,57;1;6;1;6;2;0;2;0;1;6;1;6;1;0;2;6;0;19;50
69;ceu_aberto;5;884,49;5;309,57;1;6;1;6;2;0;2;0;1;6;1;6;1;0;2;6;0;19;50
70;parcialmente_nublado;5;884,49;5;309,58;1;6;1;6;2;0;2;0;1;6;1;0;1;0;2;6;0;24;50
71;parcialmente_nublado;5;884,49;5;309,57;1;6;1;6;2;0;2;0;1;6;1;2;1;0;2;6;0;24;50
72;ceu_aberto;5;884,5;5;309,57;1;7;1;7;2;0;2;0;1;7;1;6;1;0;2;7;0;19;50
73;ceu_aberto;5;884,5;5;309,58;1;7;1;6;2;0;2;0;1;7;1;6;1;0;2;7;0;19;50
74;ceu_aberto;5;884,5;5;309,58000000000004;1;6;1;6;2;0;2;0;1;6;1;5;1;0;2;6;0;19;50
75;parcialmente_nublado;5;884,5;5;309,58000000000004;1;6;1;6;2;0;2;2;1;6;1;0;1;0;2;8;0;24;50
76;parcialmente_nublado;5;884,51;5;309,58000000000004;1;6;1;6;2;0;2;2;1;6;1;4;1;0;2;8;0;24;50
77;parcialmente_nublado;5;884,51;5;309,58;1;6;1;6;2;0;2;0;1;6;1;0;1;0;2;6;0;24;50
78;ceu_aberto;5;884,5;5;309,58;1;8;1;7;2;0;2;0;1;7;1;6;1;0;2;8;0;19;50
