id_realizacao;tipo_dia;penetracao_pct;pv_unidades;pv_potencia_total_kw;bess_unidades;bess_potencia_total_kw;razao_bess_pv
1;ceu_aberto;50,0;5;884,51;5;309,56;0,35
2;ceu_aberto;50,0;5;884,5;5;309,57;0,35
3;parcialmente_nublado;50,0;5;884,5;5;309,57;0,35
4;ceu_aberto;50,0;5;884,5;5;309,57;0,35
5;nublado;50,0;5;884,5;5;309,57;0,35
6;ceu_aberto;50,0;5;884,5;5;309,57;0,35
7;nublado;50,0;5;884,5;5;309,57;0,35
8;ceu_aberto;50,0;5;884,5;5;309,57;0,35
9;parcialmente_nublado;50,0;5;884,5;5;309,58;0,35
10;nublado;50,0;5;884,5;5;309,57;0,35
11;parcialmente_nublado;50,0;5;884,49;5;309,58;0,35
12;nublado;50,0;5;884,51;5;309,59;0,35
13;ceu_aberto;50,0;5;884,5;5;309,57;0,35
14;ceu_aberto;50,0;5;884,5;5;309,57;0,35
15;ceu_aberto;50,0;5;884,5;5;309,58;0,35
16;ceu_aberto;50,0;5;884,49;5;309,58;0,35
17;parcialmente_nublado;50,0;5;884,5;5;309,59;0,35
18;ceu_aberto;50,0;5;884,5;5;309,57;0,35
19;ceu_aberto;50,0;5;884,5;5;309,57;0,35
20;ceu_aberto;50,0;5;884,51;5;309,58;0,35
21;parcialmente_nublado;50,0;5;884,49;5;309,58;0,35
22;ceu_aberto;50,0;5;884,5;5;309,58;0,35
23;ceu_aberto;50,0;5;884,49;5;309,58;0,35
24;parcialmente_nublado;50,0;5;884,51;5;309,57;0,35
25;parcialmente_nublado;50,0;5;884,49;5;309,58;0,35
26;ceu_aberto;50,0;5;884,51;5;309,59;0,35
27;ceu_aberto;50,0;5;884,51;5;309,58;0,35
28;ceu_aberto;50,0;5;884,51;5;309,57;0,35
29;parcialmente_nublado;50,0;5;884,5;5;309,57;0,35
30;ceu_aberto;50,0;5;884,5;5;309,57;0,35
31;ceu_aberto;50,0;5;884,5;5;309,57;0,35
32;parcialmente_nublado;50,0;5;884,52;5;309,56;0,35
33;nublado;50,0;5;884,51;5;309,57;0,35
34;ceu_aberto;50,0;5;884,5;5;309,58;0,35
35;parcialmente_nublado;50,0;5;884,5;5;309,57;0,35
36;parcialmente_nublado;50,0;5;884,5;5;309,58;0,35
37;ceu_aberto;50,0;5;884,5;5;309,57;0,35
38;parcialmente_nublado;50,0;5;884,5;5;309,56;0,35
39;parcialmente_nublado;50,0;5;884,49;5;309,57;0,35
40;parcialmente_nublado;50,0;5;884,51;5;309,57;0,35
41;ceu_aberto;50,0;5;884,49;5;309,58;0,35
42;ceu_aberto;50,0;5;884,51;5;309,57;0,35
43;parcialmente_nublado;50,0;5;884,5;5;309,58;0,35
44;nublado;50,0;5;884,49;5;309,57;0,35
45;ceu_aberto;50,0;5;884,49;5;309,58;0,35
46;parcialmente_nublado;50,0;5;884,5;5;309,58;0,35
47;ceu_aberto;50,0;5;884,5;5;309,58;0,35
48;parcialmente_nublado;50,0;5;884,5;5;309,58;0,35
49;parcialmente_nublado;50,0;5;884,49;5;309,57;0,35
50;parcialmente_nublado;50,0;5;884,5;5;309,57;0,35
51;ceu_aberto;50,0;5;884,49;5;309,57;0,35
52;ceu_aberto;50,0;5;884,5;5;309,57;0,35
53;ceu_aberto;50,0;5;884,49;5;309,59;0,35
54;nublado;50,0;5;884,51;5;309,56;0,35
55;ceu_aberto;50,0;5;884,5;5;309,59;0,35
56;ceu_aberto;50,0;5;884,49;5;309,57;0,35
57;ceu_aberto;50,0;5;884,5;5;309,58;0,35
58;ceu_aberto;50,0;5;884,51;5;309,58;0,35
59;parcialmente_nublado;50,0;5;884,5;5;309,57;0,35
60;nublado;50,0;5;884,5;5;309,57;0,35
