id_realizacao;tipo_dia;barra;potencia_kw
1;ceu_aberto;860;153,78
1;ceu_aberto;840;192,43
1;ceu_aberto;844;179,94
1;ceu_aberto;848;187,06
1;ceu_aberto;890;171,3
2;ceu_aberto;860;160,44
2;ceu_aberto;840;162,64
2;ceu_aberto;844;179,26
2;ceu_aberto;848;180,58
2;ceu_aberto;890;201,58
3;parcialmente_nublado;860;168,09
3;parcialmente_nublado;840;194,72
3;parcialmente_nublado;844;179,66
3;parcialmente_nublado;848;167,08
3;parcialmente_nublado;890;174,95
4;ceu_aberto;860;172,76
4;ceu_aberto;840;200,88
4;ceu_aberto;844;178,03
4;ceu_aberto;848;152,02
4;ceu_aberto;890;180,81
5;nublado;860;185,14
5;nublado;840;160,77
5;nublado;844;196,94
5;nublado;848;175,89
5;nublado;890;165,76
6;ceu_aberto;860;159,36
6;ceu_aberto;840;166,58
6;ceu_aberto;844;180,33
6;ceu_aberto;848;199,77
6;ceu_aberto;890;178,46
7;nublado;860;180,83
7;nublado;840;174,89
7;nublado;844;161,93
7;nublado;848;168,71
7;nublado;890;198,14
8;ceu_aberto;860;174,41
8;ceu_aberto;840;151,73
8;ceu_aberto;844;181,38
8;ceu_aberto;848;196,47
8;ceu_aberto;890;180,51
9;parcialmente_nublado;860;201,54
9;parcialmente_nublado;840;169,86
9;parcialmente_nublado;844;160,63
9;parcialmente_nublado;848;181,28
9;parcialmente_nublado;890;171,19
10;nublado;860;190,93
10;nublado;840;146,07
10;nublado;844;181,63
10;nublado;848;179,14
10;nublado;890;186,73
11;parcialmente_nublado;860;164,72
11;parcialmente_nublado;840;169,18
11;parcialmente_nublado;844;184,91
11;parcialmente_nublado;848;197,85
11;parcialmente_nublado;890;167,83
12;nublado;860;161,23
12;nublado;840;162,85
12;nublado;844;178,15
12;nublado;848;179,26
12;nublado;890;203,02
13;ceu_aberto;860;176,05
13;ceu_aberto;840;176,79
13;ceu_aberto;844;162,43
13;ceu_aberto;848;187,69
13;ceu_aberto;890;181,54
14;ceu_aberto;860;164,22
14;ceu_aberto;840;159,47
14;ceu_aberto;844;179,89
14;ceu_aberto;848;166,46
14;ceu_aberto;890;214,46
15;ceu_aberto;860;181,47
15;ceu_aberto;840;164,47
15;ceu_aberto;844;182,64
15;ceu_aberto;848;180,91
15;ceu_aberto;890;175,01
16;ceu_aberto;860;163,24
16;ceu_aberto;840;159,74
16;ceu_aberto;844;174,99
16;ceu_aberto;848;220,83
16;ceu_aberto;890;165,69
17;parcialmente_nublado;860;149,31
17;parcialmente_nublado;840;185,7
17;parcialmente_nublado;844;149,28
17;parcialmente_nublado;848;216,63
17;parcialmente_nublado;890;183,58
18;ceu_aberto;860;139,2
18;ceu_aberto;840;165,77
18;ceu_aberto;844;227,83
18;ceu_aberto;848;179,56
18;ceu_aberto;890;172,14
19;ceu_aberto;860;155,86
19;ceu_aberto;840;150,04
19;ceu_aberto;844;184,17
19;ceu_aberto;848;179,92
19;ceu_aberto;890;214,51
20;ceu_aberto;860;149,7
20;ceu_aberto;840;155,6
20;ceu_aberto;844;190,65
20;ceu_aberto;848;196,68
20;ceu_aberto;890;191,88
21;parcialmente_nublado;860;180,5
21;parcialmente_nublado;840;176,68
21;parcialmente_nublado;844;154,18
21;parcialmente_nublado;848;183,95
21;parcialmente_nublado;890;189,18
22;ceu_aberto;860;170,9
22;ceu_aberto;840;184,84
22;ceu_aberto;844;182,43
22;ceu_aberto;848;144,54
22;ceu_aberto;890;201,79
23;ceu_aberto;860;171,62
23;ceu_aberto;840;162,13
23;ceu_aberto;844;178,53
23;ceu_aberto;848;178,74
23;ceu_aberto;890;193,47
24;parcialmente_nublado;860;177,78
24;parcialmente_nublado;840;192,57
24;parcialmente_nublado;844;164,94
24;parcialmente_nublado;848;172,74
24;parcialmente_nublado;890;176,48
25;parcialmente_nublado;860;162,91
25;parcialmente_nublado;840;198,26
25;parcialmente_nublado;844;163,22
25;parcialmente_nublado;848;170,96
25;parcialmente_nublado;890;189,14
26;ceu_aberto;860;159,44
26;ceu_aberto;840;173,37
26;ceu_aberto;844;182,44
