id_realizacao;tipo_dia;pv_unidades;pv_potencia_total_kw;bess_unidades;bess_potencia_total_kw;defeitos_manhã;defeitos_tarde;defeitos_noite;defeitos_madrugada;horas_com_erro_max_control;pen_pct
1;parcialmente_nublado;5;1592,1;5;602,11;7;7;1;1;0;90
2;nublado;5;1592,1;5;691,64;7;2;1;1;0;90
3;ceu_aberto;5;1550,0;5;664,66;8;7;1;1;0;90
4;ceu_aberto;4;1592,1;5;555,0999999999999;8;7;1;1;0;90
5;parcialmente_nublado;3;1592,1;5;822,73;7;2;1;1;0;90
6;nublado;5;1500,0;5;795,8900000000001;7;2;2;1;0;90
7;parcialmente_nublado;4;1592,1;5;821,73;8;8;1;1;0;90
8;ceu_aberto;5;1450,0;5;752,05;8;7;1;1;0;90
9;parcialmente_nublado;5;1592,1;5;746,71;7;2;1;1;0;90
10;ceu_aberto;3;1592,1;5;679,1;27;14;1;1;0;90
11;ceu_aberto;5;900,0;5;660,75;7;7;1;1;0;90
12;ceu_aberto;4;1592,1;5;643,36;8;8;1;1;0;90
13;parcialmente_nublado;5;1592,1;5;701,4200000000001;8;7;1;1;0;90
14;nublado;4;1592,1;5;831,62;8;7;1;1;0;90
15;ceu_aberto;5;1592,1;5;1007,31;8;7;5;1;0;90
16;ceu_aberto;4;1592,1;5;909,0600000000001;12;7;2;1;0;90
17;ceu_aberto;5;1150,0;5;879,26;12;7;2;1;0;90
18;nublado;4;1592,1;5;874,52;9;4;1;1;0;90
19;parcialmente_nublado;4;1592,1;5;730,66;2;1;1;1;0;90
20;ceu_aberto;3;1592,1;5;971,0299999999999;7;2;2;1;0;90
21;ceu_aberto;4;1592,1;5;674,6;8;8;1;1;0;90
22;ceu_aberto;3;1592,1;5;685,9999999999999;19;19;1;1;0;90
23;ceu_aberto;4;1592,1;5;705,41;8;7;1;1;0;90
24;nublado;5;1592,1;5;876,75;8;2;1;1;0;90
25;ceu_aberto;5;1100,0;5;776,3299999999999;1;2;1;1;0;90
26;ceu_aberto;5;700,0;5;612,4599999999999;1;1;1;1;0;90
27;ceu_aberto;5;1350,0;5;629,9999999999999;22;8;1;1;0;90
28;parcialmente_nublado;5;1592,1;5;778,8100000000001;8;7;1;1;0;90
29;parcialmente_nublado;4;1592,1;5;818,02;8;8;1;1;0;90
30;nublado;5;1450,0;5;672,61;2;1;1;1;0;90
31;parcialmente_nublado;5;1050,0;5;654,5799999999999;2;1;1;1;0;90
32;nublado;3;1592,1;5;594,97;7;1;1;1;0;90
33;nublado;5;1100,0;5;751,9499999999999;1;1;1;1;0;90
34;parcialmente_nublado;5;1592,1;5;693,01;8;7;1;1;0;90
35;parcialmente_nublado;3;1592,1;5;659,26;7;1;1;1;0;90
36;ceu_aberto;3;1592,1;5;787,13;9;8;1;1;0;90
37;parcialmente_nublado;4;1592,1;5;970,3499999999999;19;7;2;1;0;90
38;parcialmente_nublado;5;1592,1;5;615,7;8;7;1;1;0;90
39;parcialmente_nublado;5;1400,0;5;740,1099999999999;7;2;1;1;0;90
40;parcialmente_nublado;5;1592,1;5;713,0500000000001;8;7;1;1;0;90
41;parcialmente_nublado;4;1592,1;5;805,77;16;8;2;1;0;90
42;nublado;5;1000,0;5;735,1299999999999;2;1;1;1;0;90
43;ceu_aberto;5;1592,1;5;434,62;8;8;1;1;0;90
44;ceu_aberto;5;1150,0;5;801,43;18;7;1;1;0;90
45;ceu_aberto;3;1592,1;5;923,35;8;7;2;1;0;90
46;ceu_aberto;4;1592,1;5;740,8;22;18;1;1;0;90
47;nublado;4;1592,1;5;978,9699999999999;8;2;2;1;0;90
48;nublado;4;1592,1;5;729,98;2;1;1;1;0;90
49;ceu_aberto;4;1592,1;5;885,09;22;20;2;1;0;90
50;nublado;3;1592,1;5;722,9000000000001;8;2;1;1;0;90
