id_realizacao;tipo_dia;pv_unidades;pv_potencia_total_kw;bess_unidades;bess_potencia_total_kw;defeitos_manhã;defeitos_tarde;defeitos_noite;defeitos_madrugada;horas_com_erro_max_control;pen_pct
1;nublado;4;1061,4;5;693,02;1;1;1;1;0;60
2;parcialmente_nublado;4;1061,4;5;755,47;1;1;1;1;0;60
3;parcialmente_nublado;4;1061,4;5;731,5600000000001;8;5;1;1;0;60
4;nublado;4;1061,4;5;1000,46;2;1;2;1;0;60
5;parcialmente_nublado;2;1061,4;5;909,9199999999998;7;7;5;1;0;60
6;nublado;2;1061,4;5;866,0899999999999;7;1;1;1;0;60
7;nublado;2;1061,4;5;804,38;1;1;1;1;0;60
8;ceu_aberto;2;1061,4;5;677,25;8;7;1;1;0;60
9;ceu_aberto;4;1061,4;5;828,21;7;2;1;1;0;60
10;parcialmente_nublado;5;1061,4;5;606,5400000000001;2;1;1;1;0;60
11;ceu_aberto;3;1061,4;5;745,36;1;1;1;1;0;60
12;parcialmente_nublado;3;1061,4;5;954,25;7;1;7;1;0;60
13;nublado;2;1061,4;5;761,85;2;1;1;1;0;60
14;nublado;5;700,0;5;824,27;1;1;2;1;0;60
15;parcialmente_nublado;2;1061,4;5;532,15;7;2;1;1;0;60
16;parcialmente_nublado;3;1061,4;5;673,55;1;1;1;1;0;60
17;parcialmente_nublado;3;1061,4;5;883,5899999999999;1;1;2;1;0;60
18;nublado;3;1061,4;5;889,63;1;1;1;1;0;60
19;parcialmente_nublado;2;1061,4;5;799,6099999999999;7;7;1;1;0;60
20;nublado;3;1061,4;5;870,3599999999999;7;1;1;1;0;60
21;nublado;2;1061,4;5;674,7099999999999;7;1;1;1;0;60
22;nublado;3;1061,4;5;775,29;5;1;1;1;0;60
23;parcialmente_nublado;5;1061,4;5;827,5600000000001;4;1;2;1;0;60
24;nublado;4;1061,4;5;810,4300000000001;1;1;1;1;0;60
25;nublado;4;1061,4;5;829,65;5;1;1;1;0;60
26;parcialmente_nublado;4;1061,4;5;726,53;2;1;1;1;0;60
27;ceu_aberto;5;1061,4;5;1059,66;7;2;6;1;0;60
28;nublado;3;1061,4;5;697,2800000000001;2;1;1;1;0;60
29;nublado;2;1061,4;5;603,56;7;1;1;1;0;60
30;parcialmente_nublado;4;1061,4;5;785,57;2;1;1;1;0;60
31;parcialmente_nublado;2;1061,4;5;741,27;1;1;1;1;0;60
32;nublado;3;1061,4;5;675,91;2;1;1;1;0;60
33;ceu_aberto;3;1061,4;5;932,1999999999999;5;7;2;1;0;60
34;nublado;3;1061,4;5;717,4200000000001;1;1;1;1;0;60
35;nublado;3;1061,4;5;829,4;2;1;1;1;0;60
36;nublado;3;1061,4;5;705,94;2;1;1;1;0;60
37;nublado;4;1061,4;5;686,5400000000001;1;1;1;1;0;60
38;parcialmente_nublado;2;1061,4;5;860,0600000000001;2;1;2;1;0;60
39;ceu_aberto;2;1061,4;5;625,84;7;2;1;1;0;60
40;parcialmente_nublado;4;1061,4;5;808,0600000000001;1;1;1;1;0;60
41;nublado;2;1061,4;5;578,73;7;1;1;1;0;60
42;nublado;4;1061,4;5;840,98;1;1;1;1;0;60
43;nublado;2;1061,4;5;551,8199999999999;1;1;1;1;0;60
44;ceu_aberto;2;1061,4;5;1001,74;1;1;5;1;0;60
45;ceu_aberto;3;1061,4;5;668,41;8;7;1;1;0;60
46;parcialmente_nublado;3;1061,4;5;697,89;5;1;1;1;0;60
47;ceu_aberto;2;1061,4;5;739,6500000000001;7;7;1;1;0;60
48;parcialmente_nublado;2;1061,4;5;795,46;7;1;2;1;0;60
49;ceu_aberto;4;1061,4;5;788,9;7;7;1;1;0;60
50;ceu_aberto;5;1061,4;5;876,75;2;1;1;1;0;60
