id_realizacao;tipo_dia;classe;nome;barra;potencia_kw;capacidade_kwh;perfil
1;nublado;PVSystem;PV_barra860;860;82,07;;PV_irr_real1
1;nublado;PVSystem;PV_barra840;840;61,15;;PV_irr_real1
1;nublado;PVSystem;PV_barra844;844;59,26;;PV_irr_real1
1;nublado;PVSystem;PV_barra848;848;80,36;;PV_irr_real1
1;nublado;PVSystem;PV_barra890;890;70,96;;PV_irr_real1
1;nublado;Storage;BESS_barra860;860;27,25;98.61;BESS_fixo
1;nublado;Storage;BESS_barra840;840;22,91;66.9;BESS_fixo
1;nublado;Storage;BESS_barra844;844;23,2;51.1;BESS_fixo
1;nublado;Storage;BESS_barra848;848;24,75;85.07;BESS_fixo
1;nublado;Storage;BESS_barra890;890;25,73;54.79;BESS_fixo
2;nublado;PVSystem;PV_barra860;860;68,28;;PV_irr_real2
2;nublado;PVSystem;PV_barra840;840;77,52;;PV_irr_real2
2;nublado;PVSystem;PV_barra844;844;81,4;;PV_irr_real2
2;nublado;PVSystem;PV_barra848;848;67,1;;PV_irr_real2
2;nublado;PVSystem;PV_barra890;890;59,5;;PV_irr_real2
2;nublado;Storage;BESS_barra860;860;25,14;99.55;BESS_fixo
2;nublado;Storage;BESS_barra840;840;27,4;93.55;BESS_fixo
2;nublado;Storage;BESS_barra844;844;24,31;81.51;BESS_fixo
2;nublado;Storage;BESS_barra848;848;26,69;88.4;BESS_fixo
2;nublado;Storage;BESS_barra890;890;20,29;78.16;BESS_fixo
3;ceu_aberto;PVSystem;PV_barra860;860;77,55;;PV_irr_real3
3;ceu_aberto;PVSystem;PV_barra840;840;75,66;;PV_irr_real3
3;ceu_aberto;PVSystem;PV_barra844;844;63,45;;PV_irr_real3
3;ceu_aberto;PVSystem;PV_barra848;848;63,88;;PV_irr_real3
3;ceu_aberto;PVSystem;PV_barra890;890;73,26;;PV_irr_real3
3;ceu_aberto;Storage;BESS_barra860;860;24,83;69.21;BESS_fixo
3;ceu_aberto;Storage;BESS_barra840;840;24,38;53.42;BESS_fixo
3;ceu_aberto;Storage;BESS_barra844;844;26,9;85.17;BESS_fixo
3;ceu_aberto;Storage;BESS_barra848;848;23,38;88.6;BESS_fixo
3;ceu_aberto;Storage;BESS_barra890;890;24,34;69.46;BESS_fixo
4;parcialmente_nublado;PVSystem;PV_barra860;860;67,54;;PV_irr_real4
4;parcialmente_nublado;PVSystem;PV_barra840;840;67,3;;PV_irr_real4
