id_realizacao;tipo_dia;barra;potencia_kw
1;nublado;860;82,07
1;nublado;840;61,15
1;nublado;844;59,26
1;nublado;848;80,36
1;nublado;890;70,96
2;nublado;860;68,28
2;nublado;840;77,52
2;nublado;844;81,4
2;nublado;848;67,1
2;nublado;890;59,5
3;ceu_aberto;860;77,55
3;ceu_aberto;840;75,66
3;ceu_aberto;844;63,45
3;ceu_aberto;848;63,88
3;ceu_aberto;890;73,26
4;parcialmente_nublado;860;67,54
4;parcialmente_nublado;840;67,3
4;parcialmente_nublado;844;73,37
4;parcialmente_nublado;848;68,69
4;parcialmente_nublado;890;76,9
5;ceu_aberto;860;75,39
5;ceu_aberto;840;71,15
5;ceu_aberto;844;70,2
5;ceu_aberto;848;59,83
5;ceu_aberto;890;77,22
6;parcialmente_nublado;860;72,12
6;parcialmente_nublado;840;74,06
6;parcialmente_nublado;844;74,02
6;parcialmente_nublado;848;71,17
6;parcialmente_nublado;890;62,43
7;ceu_aberto;860;69,12
7;ceu_aberto;840;73,42
7;ceu_aberto;844;63,27
7;ceu_aberto;848;72,72
7;ceu_aberto;890;75,27
8;parcialmente_nublado;860;68,09
8;parcialmente_nublado;840;72,83
8;parcialmente_nublado;844;78,92
8;parcialmente_nublado;848;65,34
8;parcialmente_nublado;890;68,62
9;parcialmente_nublado;860;77,65
9;parcialmente_nublado;840;77,49
9;parcialmente_nublado;844;64,46
9;parcialmente_nublado;848;67,07
9;parcialmente_nublado;890;67,12
10;parcialmente_nublado;860;65,33
10;parcialmente_nublado;840;66,31
10;parcialmente_nublado;844;72,2
10;parcialmente_nublado;848;71,79
10;parcialmente_nublado;890;78,17
11;ceu_aberto;860;68,54
11;ceu_aberto;840;60,5
11;ceu_aberto;844;82,01
11;ceu_aberto;848;70,36
11;ceu_aberto;890;72,39
12;ceu_aberto;860;70,43
12;ceu_aberto;840;67,1
12;ceu_aberto;844;76,37
12;ceu_aberto;848;72,06
12;ceu_aberto;890;67,84
13;parcialmente_nublado;860;75,55
13;parcialmente_nublado;840;75,83
13;parcialmente_nublado;844;63,94
13;parcialmente_nublado;848;74,58
13;parcialmente_nublado;890;63,9
14;nublado;860;68,45
