id_realizacao;tipo_dia;h00;h01;h02;h03;h04;h05;h06;h07;h08;h09;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23
1;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0031;0,0418;0,2035;0,3994;0,7646;0,8959;0,8621;1,0;0,8495;0,6977;0,5394;0,2345;0,0498;0,0021;0,0003;0,0;0,0;0,0;0,0001
2;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,003;0,0462;0,2161;0,4009;0,7369;0,9244;1,0;0,8196;0,9568;0,7873;0,4929;0,2646;0,0474;0,0019;0,0003;0,0;0,0;0,0;0,0001
3;parcialmente_nublado;0,001;0,0009;0,0011;0,0012;0,0009;0,0043;0,056;0,1789;0,3558;0,5676;0,784;1,0;0,9542;0,8504;0,7001;0,4485;0,1921;0,0533;0,0054;0,0008;0,0007;0,0004;0,0004;0,0004
4;parcialmente_nublado;0,0009;0,0009;0,0011;0,001;0,0008;0,0035;0,0494;0,2083;0,3647;0,5038;0,757;0,8482;0,9648;0,7855;0,6464;0,4388;0,1831;0,0581;0,0048;0,0009;0,0006;0,0004;0,0005;0,0004
5;parcialmente_nublado;0,0009;0,001;0,001;0,001;0,001;0,0038;0,0629;0,1758;0,3486;0,6599;0,9197;0,8029;0,8642;0,6208;0,5546;0,3754;0,1959;0,0472;0,006;0,0009;0,0007;0,0004;0,0004;0,0005
6;parcialmente_nublado;0,0009;0,0009;0,0011;0,0013;0,0007;0,004;0,0549;0,2067;0,2948;0,4598;0,7416;0,9454;0,7408;0,7399;0,5834;0,3562;0,21;0,0586;0,0044;0,0007;0,0006;0,0003;0,0004;0,0004
7;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0032;0,0498;0,18;0,4515;0,6797;0,9987;0,909;0,9339;0,9622;0,7087;0,4752;0,2602;0,0471;0,0021;0,0003;0,0;0,0;0,0;0,0001
8;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0032;0,0421;0,2067;0,414;0,6579;0,9311;0,9816;1,0;0,8857;0,7547;0,5453;0,2227;0,0423;0,002;0,0003;0,0;0,0;0,0;0,0001
9;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0031;0,0369;0,2191;0,4558;0,6359;0,8538;1,0;1,0;0,89;0,6613;0,5448;0,2218;0,0413;0,0022;0,0003;0,0;0,0;0,0;0,0001
10;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0031;0,0435;0,1941;0,4726;0,6507;0,8663;0,9612;0,9841;0,862;0,7555;0,5458;0,2452;0,0465;0,002;0,0003;0,0;0,0;0,0;0,0001
11;parcialmente_nublado;0,001;0,001;0,001;0,001;0,0008;0,004;0,0517;0,1996;0,3957;0,5507;0,8943;0,9365;0,8011;0,6634;0,5869;0,3495;0,1751;0,0551;0,0061;0,0009;0,0007;0,0004;0,0005;0,0004
12;parcialmente_nublado;0,001;0,0008;0,0011;0,0013;0,0006;0,0042;0,0499;0,1785;0,3712;0,6717;0,6425;0,9235;0,965;0,6475;0,6054;0,316;0,204;0,0594;0,0061;0,0009;0,0007;0,0004;0,0003;0,0005
13;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0033;0,0482;0,1975;0,462;0,6855;0,8327;0,8677;1,0;0,9487;0,8745;0,4564;0,2709;0,0449;0,002;0,0003;0,0;0,0;0,0;0,0001
14;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,003;0,0507;0,2151;0,4591;0,7057;0,8866;1,0;1,0;1,0;0,785;0,5079;0,242;0,0412;0,002;0,0003;0,0;0,0;0,0;0,0001
15;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0028;0,0435;0,1967;0,493;0,6763;0,9729;0,8536;0,9685;0,9352;0,7255;0,4978;0,2404;0,0504;0,0019;0,0003;0,0;0,0;0,0;0,0001
16;nublado;0,0006;0,0;0,0;0,0001;0,0;0,0099;0,0839;0,1703;0,3581;0,5024;0,4824;0,6763;0,5163;0,6227;0,3643;0,2658;0,1973;0,0681;0,0047;0,0;0,0002;0,0018;0,0015;0,0014
17;parcialmente_nublado;0,0008;0,0009;0,0011;0,001;0,0007;0,0036;0,0507;0,1539;0,507;0,5475;0,7491;0,697;0,663;0,7436;0,5944;0,2843;0,1851;0,0486;0,0052;0,0008;0,0008;0,0005;0,0003;0,0004
18;parcialmente_nublado;0,001;0,0011;0,0011;0,0013;0,0008;0,0051;0,0491;0,208;0,3867;0,6038;0,7752;0,7621;0,9848;0,6054;0,5653;0,4316;0,1867;0,0528;0,0059;0,0008;0,0007;0,0003;0,0003;0,0004
19;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0028;0,0478;0,2464;0,4736;0,6928;0,9999;1,0;1,0;0,8221;0,7473;0,5912;0,2423;0,0519;0,0021;0,0003;0,0;0,0;0,0;0,0001
20;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0032;0,0449;0,2256;0,4878;0,6696;0,8682;1,0;0,9728;0,9046;0,7331;0,5117;0,2204;0,0517;0,0023;0,0003;0,0;0,0;0,0;0,0001
21;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0029;0,0422;0,2038;0,4603;0,7207;0,8624;0,8189;1,0;1,0;0,7745;0,5438;0,2525;0,0455;0,0023;0,0003;0,0;0,0;0,0;0,0001
