hour,bess,bus,v_pu,q_kvar,q_pu,q_active,pnom_kw
1,bess_barra890,890,0.984019,0.0,0.0,False,50.82
1,bess_barra860,860,1.025215,0.0,0.0,False,69.71
1,bess_barra844,844,1.025469,0.0,0.0,False,203.73
1,bess_barra840,840,1.025153,0.0,0.0,False,138.23
1,bess_barra848,848,1.025942,0.0,0.0,False,163.48
2,bess_barra890,890,0.980485,0.0,0.0,False,50.82
2,bess_barra860,860,1.024202,0.0,0.0,False,69.71
2,bess_barra844,844,1.024471,0.0,0.0,False,203.73
2,bess_barra840,840,1.024099,0.0,0.0,False,138.23
2,bess_barra848,848,1.024912,0.0,0.0,False,163.48
3,bess_barra890,890,0.931052,22.1474,1.0,True,50.82
3,bess_barra860,860,1.015993,0.0,0.0,False,69.71
3,bess_barra844,844,1.016209,0.0,0.0,False,203.73
3,bess_barra840,840,1.015821,0.0,0.0,False,138.23
3,bess_barra848,848,1.016731,0.0,0.0,False,163.48
4,bess_barra890,890,0.937994,22.1474,1.0,True,50.82
4,bess_barra860,860,1.024624,0.0,0.0,False,69.71
4,bess_barra844,844,1.024922,0.0,0.0,False,203.73
4,bess_barra840,840,1.024509,0.0,0.0,False,138.23
4,bess_barra848,848,1.02555,0.0,0.0,False,163.48
5,bess_barra890,890,0.937994,22.1474,1.0,True,50.82
5,bess_barra860,860,1.024624,0.0,0.0,False,69.71
5,bess_barra844,844,1.024922,0.0,0.0,False,203.73
5,bess_barra840,840,1.024509,0.0,0.0,False,138.23
5,bess_barra848,848,1.02555,0.0,0.0,False,163.48
6,bess_barra890,890,0.937994,22.1474,1.0,True,50.82
6,bess_barra860,860,1.024624,0.0,0.0,False,69.71
6,bess_barra844,844,1.024922,0.0,0.0,False,203.73
6,bess_barra840,840,1.024509,0.0,0.0,False,138.23
6,bess_barra848,848,1.02555,0.0,0.0,False,163.48
7,bess_barra890,890,0.937994,22.1474,1.0,True,50.82
7,bess_barra860,860,1.024624,0.0,0.0,False,69.71
7,bess_barra844,844,1.024922,0.0,0.0,False,203.73
7,bess_barra840,840,1.024509,0.0,0.0,False,138.23
7,bess_barra848,848,1.02555,0.0,0.0,False,163.48
8,bess_barra890,890,0.937994,22.1474,1.0,True,50.82
8,bess_barra860,860,1.024624,0.0,0.0,False,69.71
8,bess_barra844,844,1.024922,0.0,0.0,False,203.73
8,bess_barra840,840,1.024509,0.0,0.0,False,138.23
8,bess_barra848,848,1.02555,0.0,0.0,False,163.48
9,bess_barra890,890,0.937994,22.1474,1.0,True,50.82
9,bess_barra860,860,1.024624,0.0,0.0,False,69.71
9,bess_barra844,844,1.024922,0.0,0.0,False,203.73
9,bess_barra840,840,1.024509,0.0,0.0,False,138.23
9,bess_barra848,848,1.02555,0.0,0.0,False,163.48
10,bess_barra890,890,0.937994,22.1474,1.0,True,50.82
10,bess_barra860,860,1.024624,0.0,0.0,False,69.71
10,bess_barra844,844,1.024922,0.0,0.0,False,203.73
10,bess_barra840,840,1.024509,0.0,0.0,False,138.23
10,bess_barra848,848,1.02555,0.0,0.0,False,163.48
11,bess_barra890,890,0.937994,22.1474,1.0,True,50.82
11,bess_barra860,860,1.024624,0.0,0.0,False,69.71
11,bess_barra844,844,1.024922,0.0,0.0,False,203.73
11,bess_barra840,840,1.024509,0.0,0.0,False,138.23
11,bess_barra848,848,1.02555,0.0,0.0,False,163.48
12,bess_barra890,890,0.937994,22.1474,1.0,True,50.82
12,bess_barra860,860,1.024624,0.0,0.0,False,69.71
12,bess_barra844,844,1.024922,0.0,0.0,False,203.73
12,bess_barra840,840,1.024509,0.0,0.0,False,138.23
12,bess_barra848,848,1.02555,0.0,0.0,False,163.48
13,bess_barra890,890,0.937994,22.1474,1.0,True,50.82
13,bess_barra860,860,1.024624,0.0,0.0,False,69.71
13,bess_barra844,844,1.024922,0.0,0.0,False,203.73
13,bess_barra840,840,1.024509,0.0,0.0,False,138.23
13,bess_barra848,848,1.02555,0.0,0.0,False,163.48
14,bess_barra890,890,0.937994,22.1474,1.0,True,50.82
14,bess_barra860,860,1.024624,0.0,0.0,False,69.71
14,bess_barra844,844,1.024922,0.0,0.0,False,203.73
14,bess_barra840,840,1.024509,0.0,0.0,False,138.23
14,bess_barra848,848,1.02555,0.0,0.0,False,163.48
15,bess_barra890,890,0.937994,22.1474,1.0,True,50.82
15,bess_barra860,860,1.024624,0.0,0.0,False,69.71
15,bess_barra844,844,1.024922,0.0,0.0,False,203.73
15,bess_barra840,840,1.024509,0.0,0.0,False,138.23
15,bess_barra848,848,1.02555,0.0,0.0,False,163.48
16,bess_barra890,890,0.937994,22.1474,1.0,True,50.82
16,bess_barra860,860,1.024624,0.0,0.0,False,69.71
16,bess_barra844,844,1.024922,0.0,0.0,False,203.73
16,bess_barra840,840,1.024509,0.0,0.0,False,138.23
16,bess_barra848,848,1.02555,0.0,0.0,False,163.48
17,bess_barra890,890,0.937994,22.1474,1.0,True,50.82
17,bess_barra860,860,1.024624,0.0,0.0,False,69.71
17,bess_barra844,844,1.024922,0.0,0.0,False,203.73
17,bess_barra840,840,1.024509,0.0,0.0,False,138.23
17,bess_barra848,848,1.02555,0.0,0.0,False,163.48
18,bess_barra890,890,0.937994,22.1474,1.0,True,50.82
18,bess_barra860,860,1.024624,0.0,0.0,False,69.71
18,bess_barra844,844,1.024922,0.0,0.0,False,203.73
18,bess_barra840,840,1.024509,0.0,0.0,False,138.23
18,bess_barra848,848,1.02555,0.0,0.0,False,163.48
19,bess_barra890,890,0.937994,22.1474,1.0,True,50.82
19,bess_barra860,860,1.024624,0.0,0.0,False,69.71
19,bess_barra844,844,1.024922,0.0,0.0,False,203.73
19,bess_barra840,840,1.024509,0.0,0.0,False,138.23
19,bess_barra848,848,1.02555,0.0,0.0,False,163.48
20,bess_barra890,890,0.937994,22.1474,1.0,True,50.82
20,bess_barra860,860,1.024624,0.0,0.0,False,69.71
20,bess_barra844,844,1.024922,0.0,0.0,False,203.73
20,bess_barra840,840,1.024509,0.0,0.0,False,138.23
20,bess_barra848,848,1.02555,0.0,0.0,False,163.48
21,bess_barra890,890,0.937994,22.1474,1.0,True,50.82
21,bess_barra860,860,1.024624,0.0,0.0,False,69.71
21,bess_barra844,844,1.024922,0.0,0.0,False,203.73
21,bess_barra840,840,1.024509,0.0,0.0,False,138.23
21,bess_barra848,848,1.02555,0.0,0.0,False,163.48
22,bess_barra890,890,0.937994,22.1474,1.0,True,50.82
22,bess_barra860,860,1.024624,0.0,0.0,False,69.71
22,bess_barra844,844,1.024922,0.0,0.0,False,203.73
22,bess_barra840,840,1.024509,0.0,0.0,False,138.23
22,bess_barra848,848,1.02555,0.0,0.0,False,163.48
23,bess_barra890,890,0.937994,22.1474,1.0,True,50.82
23,bess_barra860,860,1.024624,0.0,0.0,False,69.71
23,bess_barra844,844,1.024922,0.0,0.0,False,203.73
23,bess_barra840,840,1.024509,0.0,0.0,False,138.23
23,bess_barra848,848,1.02555,0.0,0.0,False,163.48
24,bess_barra890,890,0.937994,22.1474,1.0,True,50.82
24,bess_barra860,860,1.024624,0.0,0.0,False,69.71
24,bess_barra844,844,1.024922,0.0,0.0,False,203.73
24,bess_barra840,840,1.024509,0.0,0.0,False,138.23
24,bess_barra848,848,1.02555,0.0,0.0,False,163.48
