id_realizacao;tipo_dia;pv_unidades;pv_potencia_total_kw;bess_unidades;bess_potencia_total_kw;defeitos_manhã;defeitos_tarde;defeitos_noite;defeitos_madrugada;defeitos_bess_carga;defeitos_bess_pós_carga_pré_descarga;defeitos_bess_descarga;defeitos_bess_fora_de_operacao;horas_com_erro_max_control;pen_pct
1;ceu_aberto;2;1061,4;5;719,5600000000001;8;7;1;1;10;1;7;1;0;60
2;parcialmente_nublado;5;1061,4;5;658,72;2;1;1;1;7;1;7;1;0;60
3;ceu_aberto;4;1061,4;5;740,7800000000001;7;7;1;1;10;1;7;1;0;60
4;nublado;5;750,0;5;1073,75;1;1;6;1;1;1;10;1;0;60
5;nublado;3;1061,4;5;613,5200000000001;2;1;1;1;2;1;1;1;0;60
6;nublado;3;1061,4;5;821,7;1;1;1;1;1;1;8;1;0;60
7;parcialmente_nublado;3;1061,4;5;947,4;7;5;2;1;9;1;9;1;0;60
8;nublado;4;1061,4;5;654,32;2;1;1;1;1;1;7;1;0;60
9;ceu_aberto;3;1061,4;5;847,9100000000001;1;1;1;1;2;1;9;1;0;60
10;ceu_aberto;3;1061,4;5;575,15;1;1;1;1;1;1;7;1;0;60
11;ceu_aberto;4;1061,4;5;853,9200000000001;8;7;1;1;9;5;9;1;0;60
12;ceu_aberto;3;1061,4;5;683,38;8;8;1;1;9;1;7;1;0;60
13;parcialmente_nublado;5;1061,4;5;777,4100000000001;1;1;1;1;1;1;7;1;0;60
14;nublado;4;1061,4;5;608,91;1;1;1;1;1;1;5;1;0;60
15;nublado;4;1061,4;5;466,5;1;1;1;1;1;1;1;1;0;60
16;ceu_aberto;3;1061,4;5;973,64;1;1;2;1;1;1;9;1;0;60
17;parcialmente_nublado;5;900,0;5;678,1399999999999;2;1;1;1;2;1;7;1;0;60
18;nublado;4;1061,4;5;698,75;1;1;1;1;1;1;7;1;0;60
19;parcialmente_nublado;4;1061,4;5;723,98;1;1;1;1;1;1;7;1;0;60
20;nublado;3;1061,4;5;786,1700000000001;1;1;1;1;2;1;8;1;0;60
21;ceu_aberto;2;1061,4;5;634,9;1;1;1;1;5;1;2;1;0;60
22;nublado;5;1061,4;5;985,29;1;1;2;1;1;1;9;1;0;60
23;ceu_aberto;2;1061,4;5;926,5;7;7;2;1;9;2;9;1;0;60
24;ceu_aberto;3;1061,4;5;675,68;8;7;1;1;9;2;7;1;0;60
25;ceu_aberto;3;1061,4;5;767,6999999999999;1;1;1;1;1;1;7;1;0;60
26;nublado;4;1061,4;5;609,08;2;1;1;1;2;1;2;1;0;60
27;ceu_aberto;3;1061,4;5;657,2099999999999;8;7;1;1;9;2;7;1;0;60
28;nublado;4;1061,4;5;736,81;2;1;1;1;1;1;7;1;0;60
29;nublado;4;1061,4;5;995,85;1;1;2;1;1;1;9;1;0;60
30;parcialmente_nublado;3;1061,4;5;830,91;7;5;1;1;7;1;9;1;0;60
31;nublado;5;1061,4;5;792,03;7;1;1;1;7;1;7;1;0;60
32;ceu_aberto;5;1061,4;5;782,8000000000001;7;7;1;1;10;1;7;1;0;60
33;parcialmente_nublado;3;1061,4;5;939,3;1;1;2;1;1;1;9;1;0;60
34;parcialmente_nublado;3;1061,4;5;843,36;7;1;2;1;5;1;9;1;0;60
35;ceu_aberto;4;1061,4;5;768,47;8;7;1;1;9;1;9;1;0;60
36;nublado;5;1000,0;5;963,26;1;1;2;1;1;1;9;1;0;60
37;ceu_aberto;2;1061,4;5;616,78;1;1;1;1;1;1;7;1;0;60
38;parcialmente_nublado;4;1061,4;5;624,98;1;2;1;1;7;1;7;1;0;60
39;ceu_aberto;5;1061,4;5;1068,09;8;7;7;1;9;2;10;1;0;60
40;nublado;4;1061,4;5;679,45;1;1;1;1;1;1;7;1;0;60
41;nublado;3;1061,4;5;719,97;1;1;1;1;1;1;9;1;0;60
42;ceu_aberto;5;1061,4;5;832,5699999999999;6;2;1;1;7;1;7;1;0;60
43;nublado;2;1061,4;5;805,68;1;1;1;1;1;1;7;1;0;60
44;nublado;4;1061,4;5;551,55;5;1;1;1;1;1;2;1;0;60
45;ceu_aberto;4;1061,4;5;631,97;5;2;1;1;8;1;7;1;0;60
46;nublado;5;1061,4;5;669,8000000000001;2;1;1;1;1;1;7;1;0;60
47;parcialmente_nublado;4;1061,4;5;623,8;6;2;1;1;8;1;7;1;0;60
48;parcialmente_nublado;5;1061,4;5;714,94;5;2;1;1;7;1;7;1;0;60
49;nublado;3;1061,4;5;833,68;7;1;1;1;1;1;8;1;0;60
50;ceu_aberto;4;1061,4;5;881,48;8;7;2;1;9;2;9;1;0;60
51;nublado;2;1061,4;5;784,4;1;1;1;1;1;1;7;1;0;60
52;ceu_aberto;3;1061,4;5;791,1600000000001;8;7;1;1;9;1;9;1;0;60
53;parcialmente_nublado;4;1061,4;5;702,53;2;1;1;1;2;1;8;1;0;60
54;parcialmente_nublado;5;1061,4;5;761,76;7;2;1;1;7;1;7;1;0;60
55;nublado;3;1061,4;5;578,59;1;1;1;1;1;1;1;1;0;60
56;nublado;2;1061,4;5;670,98;1;1;1;1;3;1;7;1;0;60
57;nublado;3;1061,4;5;1102,4;7;1;7;1;1;1;10;1;0;60
58;parcialmente_nublado;5;1061,4;5;1067,26;1;1;7;1;1;1;10;1;0;60
59;parcialmente_nublado;4;1061,4;5;973,6899999999999;7;1;2;1;2;1;9;1;0;60
60;parcialmente_nublado;4;1061,4;5;955,48;1;1;2;1;1;1;9;1;0;60
61;parcialmente_nublado;5;1061,4;5;531,85;7;1;1;1;7;1;1;1;0;60
62;nublado;2;1061,4;5;768,12;7;1;1;1;1;1;8;1;0;60
63;nublado;3;1061,4;5;775,24;1;1;1;1;1;1;8;1;0;60
64;parcialmente_nublado;2;1061,4;5;846,1400000000001;5;1;1;1;7;1;8;1;0;60
65;ceu_aberto;2;1061,4;5;359,0;1;1;1;1;1;1;1;1;0;60
66;nublado;2;1061,4;5;787,0099999999999;7;1;1;1;2;1;7;1;0;60
67;parcialmente_nublado;2;1061,4;5;842,13;7;2;1;1;7;1;8;1;0;60
68;ceu_aberto;4;1061,4;5;1017,5899999999999;2;2;6;1;5;1;10;1;0;60
