id_realizacao;tipo_dia;unidade_bess;barra;potencia_kw;capacidade_kwh;razao_armazenamento_h
1;ceu_aberto;1;6;56,44;337,13;5,973
1;ceu_aberto;2;21;139,53;379,12;2,717
1;ceu_aberto;3;27;73,68;426,4;5,787
1;ceu_aberto;4;8;232,06;441,57;1,903
1;ceu_aberto;5;12;208,93;442,93;2,12
1;ceu_aberto;6;20;146,05;441,97;3,026
1;ceu_aberto;7;31;209,9;161,27;0,768
1;ceu_aberto;8;29;240,0;179,23;0,747
2;nublado;1;23;170,59;414,74;2,431
2;nublado;2;13;105,02;168,81;1,607
2;nublado;3;5;179,39;228,71;1,275
2;nublado;4;16;111,76;426,59;3,817
2;nublado;5;22;200,88;172,23;0,857
2;nublado;6;25;187,56;149,62;0,798
2;nublado;7;6;95,78;152,03;1,587
2;nublado;8;28;229,81;307,97;1,34
3;nublado;1;28;94,15;311,24;3,306
3;nublado;2;23;86,46;436,08;5,044
3;nublado;3;10;155,97;468,84;3,006
3;nublado;4;1;143,57;391,45;2,727
3;nublado;5;25;154,63;432,83;2,799
3;nublado;6;18;220,82;387,13;1,753
3;nublado;7;27;115,65;131,48;1,137
3;nublado;8;21;110,52;444,41;4,021
4;parcialmente_nublado;1;19;145,92;135,13;0,926
4;parcialmente_nublado;2;22;131,73;198,9;1,51
4;parcialmente_nublado;3;28;72,79;364,87;5,013
4;parcialmente_nublado;4;34;222,28;149,06;0,671
4;parcialmente_nublado;5;5;219,85;311,95;1,419
4;parcialmente_nublado;6;6;221,66;394,83;1,781
4;parcialmente_nublado;7;32;51,57;384,79;7,462
4;parcialmente_nublado;8;15;97,87;128,2;1,31
5;ceu_aberto;1;18;163,99;329,78;2,011
5;ceu_aberto;2;21;85,2;469,49;5,51
5;ceu_aberto;3;31;216,39;217,24;1,004
5;ceu_aberto;4;1;221,28;498,33;2,252
5;ceu_aberto;5;10;100,25;476,53;4,753
5;ceu_aberto;6;33;65,66;426,46;6,495
5;ceu_aberto;7;16;199,28;371,37;1,864
5;ceu_aberto;8;22;157,71;164,66;1,044
6;parcialmente_nublado;1;5;203,61;174,48;0,857
6;parcialmente_nublado;2;27;137,12;422,76;3,083
6;parcialmente_nublado;3;27;220,2;388,37;1,764
6;parcialmente_nublado;4;13;166,2;369,37;2,222
6;parcialmente_nublado;5;23;108,74;321,74;2,959
6;parcialmente_nublado;6;28;69,12;419,42;6,068
6;parcialmente_nublado;7;27;239,48;431,38;1,801
6;parcialmente_nublado;8;10;235,51;349,55;1,484
7;nublado;1;8;132,74;328,39;2,474
7;nublado;2;13;221,34;226,03;1,021
7;nublado;3;25;97,74;364,66;3,731
7;nublado;4;9;205,27;390,91;1,904
7;nublado;5;23;116,03;196,49;1,693
7;nublado;6;11;124,02;436,85;3,522
7;nublado;7;24;176,55;471,82;2,672
7;nublado;8;29;129,53;300,17;2,317
8;parcialmente_nublado;1;28;111,39;429,32;3,854
8;parcialmente_nublado;2;32;103,31;339,3;3,284
8;parcialmente_nublado;3;8;194,34;164,43;0,846
8;parcialmente_nublado;4;7;81,63;334,87;4,102
8;parcialmente_nublado;5;25;219,9;490,68;2,231
8;parcialmente_nublado;6;26;66,66;174,03;2,611
8;parcialmente_nublado;7;5;77,67;374,32;4,819
8;parcialmente_nublado;8;25;207,47;147,92;0,713
9;parcialmente_nublado;1;16;236,29;412,58;1,746
9;parcialmente_nublado;2;12;187,61;169,3;0,902
9;parcialmente_nublado;3;27;62,15;455,48;7,329
9;parcialmente_nublado;4;21;200,76;418,11;2,083
9;parcialmente_nublado;5;26;235,36;478,23;2,032
9;parcialmente_nublado;6;2;95,32;131,04;1,375
9;parcialmente_nublado;7;24;238,3;122,11;0,512
9;parcialmente_nublado;8;5;53,27;116,26;2,182
10;parcialmente_nublado;1;9;84,5;368,04;4,356
10;parcialmente_nublado;2;2;249,84;240,49;0,963
10;parcialmente_nublado;3;17;200,85;287,13;1,43
10;parcialmente_nublado;4;24;223,43;307,47;1,376
10;parcialmente_nublado;5;17;243,38;432,88;1,779
10;parcialmente_nublado;6;24;197,32;237,87;1,206
