id_realizacao;tipo_dia;h00;h01;h02;h03;h04;h05;h06;h07;h08;h09;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23
1;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0116;0,0666;0,3034;0,4867;0,5177;0,6927;0,6977;0,6508;0,5793;0,5228;0,2509;0,2216;0,0439;0,0048;0,0;0,0002;0,0013;0,0017;0,0016
2;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0026;0,042;0,1998;0,4234;0,6527;0,9139;0,884;0,9294;1,0;0,7593;0,525;0,166;0,0422;0,0022;0,0003;0,0;0,0;0,0;0,0001
3;nublado;0,0004;0,0;0,0;0,0001;0,0;0,0113;0,0927;0,235;0,3637;0,6109;0,6725;0,6944;0,79;0,582;0,4881;0,3677;0,2229;0,0432;0,0041;0,0;0,0002;0,0017;0,0018;0,002
4;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0031;0,0406;0,2095;0,5607;0,6886;1,0;1,0;1,0;0,9178;0,751;0,5777;0,2068;0,0491;0,0024;0,0003;0,0;0,0;0,0;0,0001
5;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0133;0,0881;0,2661;0,4142;0,5877;0,5437;0,7213;0,5534;0,5414;0,5613;0,3814;0,1559;0,0532;0,0044;0,0;0,0002;0,0019;0,0017;0,0017
6;nublado;0,0006;0,0;0,0;0,0001;0,0;0,013;0,0723;0,2775;0,4596;0,5602;0,5803;0,7679;0,6795;0,6206;0,5154;0,3719;0,1885;0,0535;0,0045;0,0;0,0002;0,0015;0,0015;0,002
7;parcialmente_nublado;0,0011;0,001;0,0009;0,0011;0,0008;0,0037;0,0502;0,2015;0,3806;0,5849;0,7387;0,8683;0,8285;0,8616;0,4741;0,3883;0,1843;0,0537;0,0055;0,0008;0,0007;0,0003;0,0003;0,0005
8;parcialmente_nublado;0,0009;0,0011;0,001;0,0011;0,0008;0,0043;0,0431;0,2105;0,3742;0,602;0,7856;0,9519;1,0;0,7851;0,6966;0,3465;0,1405;0,0603;0,0067;0,001;0,0007;0,0004;0,0003;0,0004
9;parcialmente_nublado;0,0008;0,0008;0,001;0,0011;0,0007;0,0036;0,0586;0,1731;0,3989;0,5586;0,789;1,0;0,9096;0,7095;0,569;0,4567;0,1437;0,0472;0,0055;0,0008;0,0005;0,0003;0,0004;0,0004
10;parcialmente_nublado;0,001;0,0008;0,001;0,001;0,0009;0,0035;0,0465;0,1935;0,389;0,5861;0,7394;0,9138;0,6636;0,7041;0,5092;0,4246;0,225;0,053;0,0056;0,0007;0,0007;0,0004;0,0004;0,0004
11;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,003;0,0461;0,2007;0,4301;0,7284;0,9185;1,0;1,0;0,7171;0,7302;0,5194;0,2471;0,0459;0,0022;0,0002;0,0;0,0;0,0;0,0001
12;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0028;0,0425;0,2267;0,4262;0,6806;0,9491;0,9325;1,0;0,7945;0,6679;0,467;0,2125;0,0546;0,0019;0,0003;0,0;0,0;0,0;0,0001
13;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0028;0,0408;0,2144;0,4971;0,615;0,7929;1,0;1,0;0,8051;0,6864;0,5735;0,2709;0,0484;0,0023;0,0003;0,0;0,0;0,0;0,0001
14;parcialmente_nublado;0,0009;0,0007;0,0011;0,0011;0,0009;0,0039;0,0517;0,1708;0,4481;0,7398;0,7394;0,941;0,9235;0,6697;0,6448;0,4596;0,1917;0,0501;0,0058;0,0008;0,0006;0,0004;0,0004;0,0004
15;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0035;0,051;0,2061;0,4299;0,6671;0,8464;1,0;0,7897;0,811;0,7685;0,6673;0,2161;0,0326;0,0024;0,0003;0,0;0,0;0,0;0,0001
16;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0032;0,045;0,2241;0,3823;0,6525;0,9871;1,0;1,0;0,8435;0,7792;0,5319;0,2109;0,0392;0,002;0,0003;0,0;0,0;0,0;0,0001
17;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0136;0,0943;0,2376;0,3249;0,6212;0,5324;0,7569;0,699;0,5725;0,4221;0,2951;0,1505;0,0585;0,0047;0,0;0,0002;0,0017;0,0015;0,0016
18;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0126;0,0791;0,2778;0,3812;0,4823;0,7138;0,6605;0,6759;0,625;0,3853;0,2798;0,1731;0,055;0,0041;0,0;0,0002;0,0015;0,0012;0,0013
19;nublado;0,0004;0,0;0,0;0,0001;0,0;0,0114;0,0972;0,3053;0,4512;0,6368;0,6874;0,6101;0,6322;0,4961;0,4176;0,3538;0,1914;0,0524;0,0046;0,0;0,0002;0,0013;0,0017;0,0016
20;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0126;0,0964;0,2258;0,5108;0,5321;0,5719;0,665;0,6699;0,5815;0,4795;0,3624;0,1855;0,0572;0,0038;0,0;0,0002;0,002;0,0017;0,002
21;parcialmente_nublado;0,001;0,0009;0,0009;0,001;0,0006;0,0049;0,0574;0,1639;0,4906;0,6743;0,8593;0,7472;0,8079;0,9136;0,517;0,3048;0,2045;0,049;0,0055;0,0008;0,0006;0,0005;0,0004;0,0003
22;nublado;0,0006;0,0;0,0;0,0001;0,0;0,0116;0,1003;0,2732;0,4156;0,5461;0,6373;0,623;0,7584;0,5506;0,4684;0,305;0,2002;0,0631;0,004;0,0;0,0002;0,0014;0,0015;0,0015
23;parcialmente_nublado;0,0008;0,0008;0,0011;0,001;0,0008;0,0049;0,06;0,1952;0,4327;0,5319;0,9295;0,675;0,829;0,669;0,5854;0,4046;0,1805;0,0514;0,0069;0,0009;0,0005;0,0004;0,0004;0,0005
24;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0033;0,0427;0,2375;0,4211;0,7535;0,966;0,8714;0,9342;0,9752;0,6072;0,5044;0,1434;0,0483;0,0022;0,0002;0,0;0,0;0,0;0,0001
