id_realizacao;tipo_dia;unidade_pv;barra;potencia_kw
1;nublado;1;19;400,0
1;nublado;2;1;400,0
1;nublado;3;33;261,4
2;nublado;1;17;800,0
2;nublado;2;7;261,4
3;nublado;1;27;200,0
3;nublado;2;19;150,0
3;nublado;3;23;50,0
3;nublado;4;21;350,0
3;nublado;5;13;50,0
3;nublado;6;27;150,0
3;nublado;7;7;111,4
4;parcialmente_nublado;1;30;150,0
4;parcialmente_nublado;2;27;100,0
4;parcialmente_nublado;3;6;400,0
4;parcialmente_nublado;4;16;411,4
5;parcialmente_nublado;1;2;400,0
5;parcialmente_nublado;2;19;50,0
5;parcialmente_nublado;3;32;100,0
5;parcialmente_nublado;4;2;100,0
5;parcialmente_nublado;5;23;50,0
5;parcialmente_nublado;6;22;50,0
5;parcialmente_nublado;7;26;311,4
6;parcialmente_nublado;1;11;100,0
6;parcialmente_nublado;2;27;750,0
6;parcialmente_nublado;3;26;211,4
7;parcialmente_nublado;1;14;300,0
7;parcialmente_nublado;2;13;450,0
7;parcialmente_nublado;3;25;50,0
7;parcialmente_nublado;4;9;261,4
8;nublado;1;11;300,0
8;nublado;2;2;450,0
8;nublado;3;21;311,4
9;parcialmente_nublado;1;20;150,0
9;parcialmente_nublado;2;29;150,0
9;parcialmente_nublado;3;12;550,0
9;parcialmente_nublado;4;32;211,4
10;ceu_aberto;1;27;50,0
10;ceu_aberto;2;19;250,0
10;ceu_aberto;3;15;150,0
10;ceu_aberto;4;33;150,0
10;ceu_aberto;5;25;461,4
11;parcialmente_nublado;1;26;200,0
11;parcialmente_nublado;2;3;150,0
11;parcialmente_nublado;3;10;100,0
11;parcialmente_nublado;4;28;611,4
12;nublado;1;25;150,0
12;nublado;2;31;300,0
12;nublado;3;18;50,0
12;nublado;4;29;561,4
13;ceu_aberto;1;29;350,0
13;ceu_aberto;2;3;600,0
13;ceu_aberto;3;19;111,4
14;nublado;1;8;250,0
14;nublado;2;21;400,0
14;nublado;3;10;400,0
14;nublado;4;3;11,4
15;parcialmente_nublado;1;22;300,0
15;parcialmente_nublado;2;11;350,0
15;parcialmente_nublado;3;6;200,0
15;parcialmente_nublado;4;33;150,0
15;parcialmente_nublado;5;14;61,4
16;parcialmente_nublado;1;9;950,0
16;parcialmente_nublado;2;12;100,0
16;parcialmente_nublado;3;17;11,4
17;nublado;1;24;450,0
17;nublado;2;28;250,0
17;nublado;3;18;100,0
17;nublado;4;30;261,4
18;nublado;1;29;550,0
18;nublado;2;24;511,4
19;parcialmente_nublado;1;18;700,0
19;parcialmente_nublado;2;18;50,0
19;parcialmente_nublado;3;11;311,4
20;ceu_aberto;1;22;450,0
20;ceu_aberto;2;25;250,0
20;ceu_aberto;3;17;361,4
21;ceu_aberto;1;3;50,0
21;ceu_aberto;2;21;550,0
21;ceu_aberto;3;5;461,4
22;nublado;1;21;900,0
22;nublado;2;16;161,4
23;nublado;1;26;600,0
23;nublado;2;2;250,0
23;nublado;3;6;200,0
23;nublado;4;25;11,4
24;ceu_aberto;1;32;250,0
24;ceu_aberto;2;11;811,4
25;ceu_aberto;1;27;850,0
25;ceu_aberto;2;8;50,0
25;ceu_aberto;3;18;50,0
25;ceu_aberto;4;19;111,4
26;parcialmente_nublado;1;14;250,0
26;parcialmente_nublado;2;27;750,0
26;parcialmente_nublado;3;29;61,4
27;ceu_aberto;1;2;450,0
27;ceu_aberto;2;8;300,0
27;ceu_aberto;3;27;311,4
28;ceu_aberto;1;1;850,0
28;ceu_aberto;2;27;150,0
28;ceu_aberto;3;30;61,4
29;nublado;1;30;200,0
29;nublado;2;20;400,0
29;nublado;3;34;200,0
29;nublado;4;32;100,0
29;nublado;5;10;161,4
30;ceu_aberto;1;22;50,0
30;ceu_aberto;2;33;250,0
30;ceu_aberto;3;16;100,0
30;ceu_aberto;4;18;200,0
30;ceu_aberto;5;34;461,4
31;parcialmente_nublado;1;20;700,0
31;parcialmente_nublado;2;11;200,0
31;parcialmente_nublado;3;8;161,4
32;parcialmente_nublado;1;1;50,0
32;parcialmente_nublado;2;23;150,0
32;parcialmente_nublado;3;5;600,0
32;parcialmente_nublado;4;34;150,0
32;parcialmente_nublado;5;10;111,4
33;nublado;1;11;250,0
33;nublado;2;32;250,0
33;nublado;3;24;100,0
33;nublado;4;27;461,4
34;nublado;1;27;150,0
34;nublado;2;31;550,0
34;nublado;3;3;350,0
