id_realizacao;tipo_dia;penetracao_pct;pv_unidades;pv_potencia_total_kw;bess_unidades
1;ceu_aberto;140,0;8;3080,0;28
2;nublado;140,0;6;3080,0;28
3;parcialmente_nublado;140,0;13;3080,0;28
4;parcialmente_nublado;140,0;6;3080,0;28
5;nublado;140,0;9;3080,0;28
6;parcialmente_nublado;140,0;11;3080,0;28
7;parcialmente_nublado;140,0;5;3080,0;28
8;ceu_aberto;140,0;10;3080,0;28
9;ceu_aberto;140,0;6;3080,0;28
10;ceu_aberto;140,0;7;3080,0;28
11;parcialmente_nublado;140,0;10;3080,0;28
12;ceu_aberto;140,0;6;3080,0;28
13;ceu_aberto;140,0;9;3080,0;28
14;ceu_aberto;140,0;9;3080,0;28
15;nublado;140,0;9;3080,0;28
16;ceu_aberto;140,0;6;3080,0;28
17;parcialmente_nublado;140,0;10;3080,0;28
18;ceu_aberto;140,0;9;3080,0;28
19;parcialmente_nublado;140,0;10;3080,0;28
20;parcialmente_nublado;140,0;12;3080,0;28
21;parcialmente_nublado;140,0;6;3080,0;28
22;nublado;140,0;8;3080,0;28
23;nublado;140,0;7;3080,0;28
24;parcialmente_nublado;140,0;6;3080,0;28
25;nublado;140,0;8;3080,0;28
26;parcialmente_nublado;140,0;8;3080,0;28
27;ceu_aberto;140,0;11;3080,0;28
28;ceu_aberto;140,0;11;3080,0;28
29;nublado;140,0;8;3080,0;28
30;nublado;140,0;7;3080,0;28
31;parcialmente_nublado;140,0;13;3080,0;28
32;nublado;140,0;6;3080,0;28
33;ceu_aberto;140,0;5;3080,0;28
34;ceu_aberto;140,0;12;3080,0;28
35;ceu_aberto;140,0;12;3080,0;28
36;ceu_aberto;140,0;9;3080,0;28
37;nublado;140,0;7;3080,0;28
38;ceu_aberto;140,0;6;3080,0;28
39;nublado;140,0;12;3080,0;28
40;parcialmente_nublado;140,0;7;3080,0;28
41;ceu_aberto;140,0;7;3080,0;28
42;ceu_aberto;140,0;8;3080,0;28
43;nublado;140,0;8;3080,0;28
44;parcialmente_nublado;140,0;9;3080,0;28
45;ceu_aberto;140,0;7;3080,0;28
46;parcialmente_nublado;140,0;7;3080,0;28
47;nublado;140,0;11;3080,0;28
48;parcialmente_nublado;140,0;11;3080,0;28
49;nublado;140,0;10;3080,0;28
50;ceu_aberto;140,0;8;3080,0;28
