id_realizacao;tipo_dia;barra;potencia_kw
1;ceu_aberto;860;350,0
1;ceu_aberto;800;600,0
1;ceu_aberto;844;150,0
1;ceu_aberto;832;100,0
1;ceu_aberto;826;450,0
1;ceu_aberto;862;550,0
1;ceu_aberto;824;50,0
1;ceu_aberto;814;830,0
2;nublado;824;150,0
2;nublado;832;550,0
2;nublado;862;550,0
2;nublado;800;850,0
2;nublado;852;350,0
2;nublado;860;630,0
3;parcialmente_nublado;848;300,0
3;parcialmente_nublado;820;250,0
3;parcialmente_nublado;890;500,0
3;parcialmente_nublado;828;100,0
3;parcialmente_nublado;860;300,0
3;parcialmente_nublado;832;250,0
3;parcialmente_nublado;816;350,0
3;parcialmente_nublado;806;150,0
3;parcialmente_nublado;858;250,0
3;parcialmente_nublado;824;250,0
3;parcialmente_nublado;802;50,0
3;parcialmente_nublado;830;250,0
3;parcialmente_nublado;808;80,0
4;parcialmente_nublado;834;550,0
4;parcialmente_nublado;856;700,0
4;parcialmente_nublado;806;250,0
4;parcialmente_nublado;820;750,0
4;parcialmente_nublado;860;750,0
4;parcialmente_nublado;818;80,0
5;nublado;806;150,0
5;nublado;846;650,0
5;nublado;826;450,0
5;nublado;888;550,0
5;nublado;808;300,0
5;nublado;816;50,0
5;nublado;830;100,0
5;nublado;818;800,0
5;nublado;822;30,0
6;parcialmente_nublado;834;650,0
6;parcialmente_nublado;846;200,0
6;parcialmente_nublado;836;50,0
6;parcialmente_nublado;830;50,0
6;parcialmente_nublado;852;800,0
6;parcialmente_nublado;800;400,0
6;parcialmente_nublado;818;150,0
6;parcialmente_nublado;814;150,0
6;parcialmente_nublado;820;200,0
6;parcialmente_nublado;854;100,0
6;parcialmente_nublado;826;330,0
7;parcialmente_nublado;806;900,0
7;parcialmente_nublado;846;800,0
7;parcialmente_nublado;862;150,0
7;parcialmente_nublado;830;900,0
7;parcialmente_nublado;824;330,0
8;ceu_aberto;816;100,0
8;ceu_aberto;824;450,0
8;ceu_aberto;860;200,0
8;ceu_aberto;826;250,0
8;ceu_aberto;806;750,0
8;ceu_aberto;800;50,0
8;ceu_aberto;822;350,0
8;ceu_aberto;846;150,0
8;ceu_aberto;848;200,0
8;ceu_aberto;814;580,0
9;ceu_aberto;822;150,0
9;ceu_aberto;850;650,0
9;ceu_aberto;806;550,0
9;ceu_aberto;808;800,0
9;ceu_aberto;842;450,0
9;ceu_aberto;820;480,0
10;ceu_aberto;846;300,0
10;ceu_aberto;808;700,0
10;ceu_aberto;888;300,0
10;ceu_aberto;800;400,0
10;ceu_aberto;858;350,0
10;ceu_aberto;816;400,0
10;ceu_aberto;806;630,0
11;parcialmente_nublado;822;150,0
11;parcialmente_nublado;838;50,0
11;parcialmente_nublado;834;200,0
11;parcialmente_nublado;844;550,0
11;parcialmente_nublado;816;450,0
11;parcialmente_nublado;818;350,0
11;parcialmente_nublado;836;200,0
11;parcialmente_nublado;812;650,0
11;parcialmente_nublado;830;450,0
11;parcialmente_nublado;848;30,0
12;ceu_aberto;858;300,0
12;ceu_aberto;816;500,0
12;ceu_aberto;824;900,0
12;ceu_aberto;890;500,0
12;ceu_aberto;842;800,0
12;ceu_aberto;846;80,0
13;ceu_aberto;822;100,0
13;ceu_aberto;888;300,0
13;ceu_aberto;852;900,0
13;ceu_aberto;858;150,0
13;ceu_aberto;842;50,0
13;ceu_aberto;824;750,0
13;ceu_aberto;862;200,0
13;ceu_aberto;856;250,0
13;ceu_aberto;820;380,0
14;ceu_aberto;810;550,0
14;ceu_aberto;806;100,0
14;ceu_aberto;824;150,0
14;ceu_aberto;862;400,0
14;ceu_aberto;836;250,0
