id_realizacao;tipo_dia;unidade_pv;barra;potencia_kw
1;parcialmente_nublado;1;11;200,0
1;parcialmente_nublado;2;23;450,0
1;parcialmente_nublado;3;13;100,0
1;parcialmente_nublado;4;24;600,0
1;parcialmente_nublado;5;25;500,0
1;parcialmente_nublado;6;26;626,6
2;parcialmente_nublado;1;8;400,0
2;parcialmente_nublado;2;33;200,0
2;parcialmente_nublado;3;2;250,0
2;parcialmente_nublado;4;3;150,0
2;parcialmente_nublado;5;34;450,0
2;parcialmente_nublado;6;7;400,0
2;parcialmente_nublado;7;7;626,6
3;parcialmente_nublado;1;3;650,0
3;parcialmente_nublado;2;9;100,0
3;parcialmente_nublado;3;20;350,0
3;parcialmente_nublado;4;3;650,0
3;parcialmente_nublado;5;6;400,0
3;parcialmente_nublado;6;34;300,0
3;parcialmente_nublado;7;31;26,6
4;parcialmente_nublado;1;26;50,0
4;parcialmente_nublado;2;25;550,0
4;parcialmente_nublado;3;3;150,0
4;parcialmente_nublado;4;8;100,0
4;parcialmente_nublado;5;6;100,0
4;parcialmente_nublado;6;6;300,0
4;parcialmente_nublado;7;17;600,0
4;parcialmente_nublado;8;13;400,0
4;parcialmente_nublado;9;33;226,6
5;parcialmente_nublado;1;28;450,0
5;parcialmente_nublado;2;28;450,0
5;parcialmente_nublado;3;33;550,0
5;parcialmente_nublado;4;22;500,0
5;parcialmente_nublado;5;31;100,0
5;parcialmente_nublado;6;24;100,0
5;parcialmente_nublado;7;28;326,6
6;nublado;1;8;850,0
6;nublado;2;10;150,0
6;nublado;3;9;200,0
6;nublado;4;13;400,0
6;nublado;5;25;400,0
6;nublado;6;8;100,0
6;nublado;7;14;300,0
6;nublado;8;12;50,0
6;nublado;9;2;26,6
7;parcialmente_nublado;1;30;300,0
7;parcialmente_nublado;2;25;300,0
7;parcialmente_nublado;3;4;50,0
7;parcialmente_nublado;4;20;550,0
7;parcialmente_nublado;5;10;350,0
7;parcialmente_nublado;6;24;450,0
7;parcialmente_nublado;7;13;150,0
7;parcialmente_nublado;8;2;326,6
8;ceu_aberto;1;3;200,0
8;ceu_aberto;2;34;500,0
8;ceu_aberto;3;10;500,0
8;ceu_aberto;4;1;100,0
8;ceu_aberto;5;1;100,0
8;ceu_aberto;6;22;100,0
8;ceu_aberto;7;7;650,0
8;ceu_aberto;8;2;150,0
8;ceu_aberto;9;27;176,6
9;ceu_aberto;1;23;250,0
9;ceu_aberto;2;8;750,0
9;ceu_aberto;3;13;50,0
9;ceu_aberto;4;33;50,0
9;ceu_aberto;5;14;100,0
9;ceu_aberto;6;32;650,0
9;ceu_aberto;7;5;250,0
9;ceu_aberto;8;4;150,0
9;ceu_aberto;9;2;226,6
10;parcialmente_nublado;1;15;200,0
10;parcialmente_nublado;2;4;200,0
10;parcialmente_nublado;3;15;450,0
10;parcialmente_nublado;4;30;850,0
10;parcialmente_nublado;5;8;550,0
10;parcialmente_nublado;6;20;226,6
11;ceu_aberto;1;11;200,0
11;ceu_aberto;2;30;250,0
11;ceu_aberto;3;9;300,0
11;ceu_aberto;4;33;150,0
11;ceu_aberto;5;15;350,0
11;ceu_aberto;6;9;350,0
11;ceu_aberto;7;15;100,0
11;ceu_aberto;8;19;100,0
11;ceu_aberto;9;29;500,0
11;ceu_aberto;10;20;176,6
12;ceu_aberto;1;16;500,0
12;ceu_aberto;2;34;250,0
12;ceu_aberto;3;17;100,0
12;ceu_aberto;4;33;100,0
12;ceu_aberto;5;31;100,0
12;ceu_aberto;6;10;100,0
12;ceu_aberto;7;27;750,0
12;ceu_aberto;8;19;450,0
12;ceu_aberto;9;20;126,6
13;parcialmente_nublado;1;26;150,0
13;parcialmente_nublado;2;16;750,0
13;parcialmente_nublado;3;7;1000,0
13;parcialmente_nublado;4;5;300,0
13;parcialmente_nublado;5;31;276,6
14;ceu_aberto;1;4;300,0
14;ceu_aberto;2;6;950,0
14;ceu_aberto;3;33;700,0
14;ceu_aberto;4;11;526,6
15;ceu_aberto;1;28;900,0
15;ceu_aberto;2;14;950,0
15;ceu_aberto;3;3;500,0
15;ceu_aberto;4;17;100,0
15;ceu_aberto;5;17;26,6
16;nublado;1;4;850,0
16;nublado;2;29;100,0
16;nublado;3;26;400,0
16;nublado;4;29;750,0
16;nublado;5;5;350,0
16;nublado;6;11;26,6
17;ceu_aberto;1;22;400,0
17;ceu_aberto;2;19;1000,0
17;ceu_aberto;3;29;50,0
17;ceu_aberto;4;29;250,0
17;ceu_aberto;5;16;500,0
17;ceu_aberto;6;24;276,6
18;nublado;1;3;300,0
18;nublado;2;17;50,0
18;nublado;3;2;350,0
18;nublado;4;25;650,0
18;nublado;5;2;250,0
18;nublado;6;7;300,0
18;nublado;7;10;50,0
18;nublado;8;25;350,0
18;nublado;9;26;176,6
19;nublado;1;1;400,0
19;nublado;2;33;100,0
19;nublado;3;7;50,0
19;nublado;4;20;150,0
19;nublado;5;19;100,0
19;nublado;6;27;50,0
19;nublado;7;22;750,0
19;nublado;8;8;550,0
19;nublado;9;2;326,6
20;ceu_aberto;1;2;750,0
20;ceu_aberto;2;9;300,0
20;ceu_aberto;3;7;600,0
20;ceu_aberto;4;13;600,0
