id_realizacao;tipo_dia;classe;nome;barra;potencia_kw;capacidade_kwh;perfil
1;parcialmente_nublado;PVSystem;PV_barra860;860;544,76;;PV_irr_real1
1;parcialmente_nublado;PVSystem;PV_barra840;840;517,2;;PV_irr_real1
1;parcialmente_nublado;PVSystem;PV_barra844;844;559,9;;PV_irr_real1
1;parcialmente_nublado;PVSystem;PV_barra848;848;512,82;;PV_irr_real1
1;parcialmente_nublado;PVSystem;PV_barra890;890;518,83;;PV_irr_real1
1;parcialmente_nublado;Storage;BESS_barra860;860;206,07;504.49;BESS_fixo
1;parcialmente_nublado;Storage;BESS_barra840;840;180,47;549.44;BESS_fixo
1;parcialmente_nublado;Storage;BESS_barra844;844;187,31;633.78;BESS_fixo
1;parcialmente_nublado;Storage;BESS_barra848;848;189,95;661.32;BESS_fixo
1;parcialmente_nublado;Storage;BESS_barra890;890;164,92;633.19;BESS_fixo
2;parcialmente_nublado;PVSystem;PV_barra860;860;460,23;;PV_irr_real2
2;parcialmente_nublado;PVSystem;PV_barra840;840;532,78;;PV_irr_real2
2;parcialmente_nublado;PVSystem;PV_barra844;844;493,35;;PV_irr_real2
2;parcialmente_nublado;PVSystem;PV_barra848;848;621,92;;PV_irr_real2
2;parcialmente_nublado;PVSystem;PV_barra890;890;545,22;;PV_irr_real2
2;parcialmente_nublado;Storage;BESS_barra860;860;195,96;757.18;BESS_fixo
2;parcialmente_nublado;Storage;BESS_barra840;840;210,0;683.84;BESS_fixo
2;parcialmente_nublado;Storage;BESS_barra844;844;184,2;545.34;BESS_fixo
2;parcialmente_nublado;Storage;BESS_barra848;848;167,61;434.38;BESS_fixo
2;parcialmente_nublado;Storage;BESS_barra890;890;170,96;491.93;BESS_fixo
3;ceu_aberto;PVSystem;PV_barra860;860;472,65;;PV_irr_real3
3;ceu_aberto;PVSystem;PV_barra840;840;527,94;;PV_irr_real3
3;ceu_aberto;PVSystem;PV_barra844;844;591,27;;PV_irr_real3
3;ceu_aberto;PVSystem;PV_barra848;848;489,64;;PV_irr_real3
3;ceu_aberto;PVSystem;PV_barra890;890;572,0;;PV_irr_real3
3;ceu_aberto;Storage;BESS_barra860;860;184,8;652.18;BESS_fixo
3;ceu_aberto;Storage;BESS_barra840;840;206,79;691.13;BESS_fixo
3;ceu_aberto;Storage;BESS_barra844;844;163,82;429.75;BESS_fixo
3;ceu_aberto;Storage;BESS_barra848;848;189,53;754.54;BESS_fixo
3;ceu_aberto;Storage;BESS_barra890;890;183,79;399.15;BESS_fixo
4;ceu_aberto;PVSystem;PV_barra860;860;536,9;;PV_irr_real4
4;ceu_aberto;PVSystem;PV_barra840;840;533,21;;PV_irr_real4
4;ceu_aberto;PVSystem;PV_barra844;844;552,62;;PV_irr_real4
4;ceu_aberto;PVSystem;PV_barra848;848;458,11;;PV_irr_real4
4;ceu_aberto;PVSystem;PV_barra890;890;572,65;;PV_irr_real4
4;ceu_aberto;Storage;BESS_barra860;860;213,17;460.52;BESS_fixo
4;ceu_aberto;Storage;BESS_barra840;840;175,1;690.48;BESS_fixo
4;ceu_aberto;Storage;BESS_barra844;844;182,72;722.06;BESS_fixo
4;ceu_aberto;Storage;BESS_barra848;848;160,92;419.6;BESS_fixo
4;ceu_aberto;Storage;BESS_barra890;890;196,81;625.53;BESS_fixo
5;ceu_aberto;PVSystem;PV_barra860;860;580,58;;PV_irr_real5
5;ceu_aberto;PVSystem;PV_barra840;840;550,32;;PV_irr_real5
5;ceu_aberto;PVSystem;PV_barra844;844;502,38;;PV_irr_real5
5;ceu_aberto;PVSystem;PV_barra848;848;475,69;;PV_irr_real5
5;ceu_aberto;PVSystem;PV_barra890;890;544,53;;PV_irr_real5
5;ceu_aberto;Storage;BESS_barra860;860;195,4;575.26;BESS_fixo
5;ceu_aberto;Storage;BESS_barra840;840;176,63;554.11;BESS_fixo
5;ceu_aberto;Storage;BESS_barra844;844;182,55;605.86;BESS_fixo
5;ceu_aberto;Storage;BESS_barra848;848;187,77;423.17;BESS_fixo
5;ceu_aberto;Storage;BESS_barra890;890;186,37;599.22;BESS_fixo
6;parcialmente_nublado;PVSystem;PV_barra860;860;499,31;;PV_irr_real6
6;parcialmente_nublado;PVSystem;PV_barra840;840;529,42;;PV_irr_real6
6;parcialmente_nublado;PVSystem;PV_barra844;844;524,37;;PV_irr_real6
6;parcialmente_nublado;PVSystem;PV_barra848;848;591,27;;PV_irr_real6
6;parcialmente_nublado;PVSystem;PV_barra890;890;509,14;;PV_irr_real6
6;parcialmente_nublado;Storage;BESS_barra860;860;188,97;663.96;BESS_fixo
6;parcialmente_nublado;Storage;BESS_barra840;840;151,79;335.46;BESS_fixo
6;parcialmente_nublado;Storage;BESS_barra844;844;217,07;443.92;BESS_fixo
6;parcialmente_nublado;Storage;BESS_barra848;848;179,75;513.84;BESS_fixo
6;parcialmente_nublado;Storage;BESS_barra890;890;191,16;552.52;BESS_fixo
7;parcialmente_nublado;PVSystem;PV_barra860;860;562,26;;PV_irr_real7
7;parcialmente_nublado;PVSystem;PV_barra840;840;513,6;;PV_irr_real7
7;parcialmente_nublado;PVSystem;PV_barra844;844;547,98;;PV_irr_real7
7;parcialmente_nublado;PVSystem;PV_barra848;848;474,7;;PV_irr_real7
7;parcialmente_nublado;PVSystem;PV_barra890;890;554,96;;PV_irr_real7
7;parcialmente_nublado;Storage;BESS_barra860;860;160,36;507.08;BESS_fixo
7;parcialmente_nublado;Storage;BESS_barra840;840;184,19;668.16;BESS_fixo
7;parcialmente_nublado;Storage;BESS_barra844;844;215,38;550.9;BESS_fixo
7;parcialmente_nublado;Storage;BESS_barra848;848;212,58;819.63;BESS_fixo
7;parcialmente_nublado;Storage;BESS_barra890;890;156,21;415.19;BESS_fixo
8;nublado;PVSystem;PV_barra860;860;550,06;;PV_irr_real8
8;nublado;PVSystem;PV_barra840;840;575,8;;PV_irr_real8
8;nublado;PVSystem;PV_barra844;844;434,21;;PV_irr_real8
8;nublado;PVSystem;PV_barra848;848;588,92;;PV_irr_real8
8;nublado;PVSystem;PV_barra890;890;504,51;;PV_irr_real8
8;nublado;Storage;BESS_barra860;860;145,78;399.96;BESS_fixo
8;nublado;Storage;BESS_barra840;840;186,76;511.44;BESS_fixo
8;nublado;Storage;BESS_barra844;844;176,08;398.16;BESS_fixo
8;nublado;Storage;BESS_barra848;848;216,99;791.68;BESS_fixo
8;nublado;Storage;BESS_barra890;890;203,12;552.63;BESS_fixo
9;nublado;PVSystem;PV_barra860;860;482,59;;PV_irr_real9
9;nublado;PVSystem;PV_barra840;840;612,55;;PV_irr_real9
9;nublado;PVSystem;PV_barra844;844;501,69;;PV_irr_real9
9;nublado;PVSystem;PV_barra848;848;545,45;;PV_irr_real9
9;nublado;PVSystem;PV_barra890;890;511,22;;PV_irr_real9
9;nublado;Storage;BESS_barra860;860;172,9;513.19;BESS_fixo
9;nublado;Storage;BESS_barra840;840;186,84;689.71;BESS_fixo
9;nublado;Storage;BESS_barra844;844;213,65;566.62;BESS_fixo
9;nublado;Storage;BESS_barra848;848;169,77;462.14;BESS_fixo
9;nublado;Storage;BESS_barra890;890;185,56;615.2;BESS_fixo
10;parcialmente_nublado;PVSystem;PV_barra860;860;495,01;;PV_irr_real10
10;parcialmente_nublado;PVSystem;PV_barra840;840;497,11;;PV_irr_real10
10;parcialmente_nublado;PVSystem;PV_barra844;844;555,18;;PV_irr_real10
10;parcialmente_nublado;PVSystem;PV_barra848;848;481,93;;PV_irr_real10
10;parcialmente_nublado;PVSystem;PV_barra890;890;624,26;;PV_irr_real10
10;parcialmente_nublado;Storage;BESS_barra860;860;165,62;495.71;BESS_fixo
10;parcialmente_nublado;Storage;BESS_barra840;840;183,77;644.26;BESS_fixo
10;parcialmente_nublado;Storage;BESS_barra844;844;190,38;511.93;BESS_fixo
10;parcialmente_nublado;Storage;BESS_barra848;848;205,51;598.01;BESS_fixo
10;parcialmente_nublado;Storage;BESS_barra890;890;183,45;582.66;BESS_fixo
11;parcialmente_nublado;PVSystem;PV_barra860;860;534,3;;PV_irr_real11
11;parcialmente_nublado;PVSystem;PV_barra840;840;429,89;;PV_irr_real11
11;parcialmente_nublado;PVSystem;PV_barra844;844;583,58;;PV_irr_real11
11;parcialmente_nublado;PVSystem;PV_barra848;848;499,68;;PV_irr_real11
11;parcialmente_nublado;PVSystem;PV_barra890;890;606,05;;PV_irr_real11
11;parcialmente_nublado;Storage;BESS_barra860;860;198,76;400.89;BESS_fixo
11;parcialmente_nublado;Storage;BESS_barra840;840;190,5;634.79;BESS_fixo
11;parcialmente_nublado;Storage;BESS_barra844;844;184,11;588.17;BESS_fixo
11;parcialmente_nublado;Storage;BESS_barra848;848;186,87;623.95;BESS_fixo
11;parcialmente_nublado;Storage;BESS_barra890;890;168,47;356.1;BESS_fixo
12;parcialmente_nublado;PVSystem;PV_barra860;860;547,78;;PV_irr_real12
12;parcialmente_nublado;PVSystem;PV_barra840;840;528,7;;PV_irr_real12
12;parcialmente_nublado;PVSystem;PV_barra844;844;538,57;;PV_irr_real12
12;parcialmente_nublado;PVSystem;PV_barra848;848;547,92;;PV_irr_real12
12;parcialmente_nublado;PVSystem;PV_barra890;890;490,53;;PV_irr_real12
12;parcialmente_nublado;Storage;BESS_barra860;860;169,2;582.05;BESS_fixo
12;parcialmente_nublado;Storage;BESS_barra840;840;199,33;794.1;BESS_fixo
12;parcialmente_nublado;Storage;BESS_barra844;844;193,42;607.98;BESS_fixo
12;parcialmente_nublado;Storage;BESS_barra848;848;164,7;612.88;BESS_fixo
12;parcialmente_nublado;Storage;BESS_barra890;890;202,07;575.39;BESS_fixo
13;parcialmente_nublado;PVSystem;PV_barra860;860;533,44;;PV_irr_real13
13;parcialmente_nublado;PVSystem;PV_barra840;840;645,52;;PV_irr_real13
13;parcialmente_nublado;PVSystem;PV_barra844;844;516,21;;PV_irr_real13
13;parcialmente_nublado;PVSystem;PV_barra848;848;537,17;;PV_irr_real13
13;parcialmente_nublado;PVSystem;PV_barra890;890;421,15;;PV_irr_real13
13;parcialmente_nublado;Storage;BESS_barra860;860;196,73;658.1;BESS_fixo
13;parcialmente_nublado;Storage;BESS_barra840;840;169,15;550.8;BESS_fixo
13;parcialmente_nublado;Storage;BESS_barra844;844;210,29;719.4;BESS_fixo
13;parcialmente_nublado;Storage;BESS_barra848;848;168,04;411.45;BESS_fixo
13;parcialmente_nublado;Storage;BESS_barra890;890;184,52;384.8;BESS_fixo
14;parcialmente_nublado;PVSystem;PV_barra860;860;456,71;;PV_irr_real14
