id_realizacao;tipo_dia;classe;nome;barra;potencia_kw;capacidade_kwh;perfil
1;parcialmente_nublado;PVSystem;PV_barra860;860;495,57;;PV_irr_real1
1;parcialmente_nublado;PVSystem;PV_barra840;840;483,99;;PV_irr_real1
1;parcialmente_nublado;PVSystem;PV_barra844;844;509,24;;PV_irr_real1
1;parcialmente_nublado;PVSystem;PV_barra848;848;508,55;;PV_irr_real1
1;parcialmente_nublado;PVSystem;PV_barra890;890;479,26;;PV_irr_real1
1;parcialmente_nublado;Storage;BESS_barra860;860;160,76;323.07;BESS_fixo
1;parcialmente_nublado;Storage;BESS_barra840;840;186,32;510.15;BESS_fixo
1;parcialmente_nublado;Storage;BESS_barra844;844;170,57;360.17;BESS_fixo
1;parcialmente_nublado;Storage;BESS_barra848;848;187,8;633.89;BESS_fixo
1;parcialmente_nublado;Storage;BESS_barra890;890;161,35;334.98;BESS_fixo
2;ceu_aberto;PVSystem;PV_barra860;860;487,46;;PV_irr_real2
2;ceu_aberto;PVSystem;PV_barra840;840;503,26;;PV_irr_real2
2;ceu_aberto;PVSystem;PV_barra844;844;520,97;;PV_irr_real2
2;ceu_aberto;PVSystem;PV_barra848;848;501,1;;PV_irr_real2
2;ceu_aberto;PVSystem;PV_barra890;890;463,81;;PV_irr_real2
2;ceu_aberto;Storage;BESS_barra860;860;147,15;357.48;BESS_fixo
2;ceu_aberto;Storage;BESS_barra840;840;179,14;437.51;BESS_fixo
2;ceu_aberto;Storage;BESS_barra844;844;187,1;588.63;BESS_fixo
2;ceu_aberto;Storage;BESS_barra848;848;182,64;710.65;BESS_fixo
2;ceu_aberto;Storage;BESS_barra890;890;170,78;397.58;BESS_fixo
3;parcialmente_nublado;PVSystem;PV_barra860;860;508,86;;PV_irr_real3
3;parcialmente_nublado;PVSystem;PV_barra840;840;485,31;;PV_irr_real3
3;parcialmente_nublado;PVSystem;PV_barra844;844;521,43;;PV_irr_real3
3;parcialmente_nublado;PVSystem;PV_barra848;848;443,68;;PV_irr_real3
3;parcialmente_nublado;PVSystem;PV_barra890;890;517,32;;PV_irr_real3
3;parcialmente_nublado;Storage;BESS_barra860;860;191,22;538.14;BESS_fixo
3;parcialmente_nublado;Storage;BESS_barra840;840;177,28;367.12;BESS_fixo
3;parcialmente_nublado;Storage;BESS_barra844;844;154,72;363.6;BESS_fixo
3;parcialmente_nublado;Storage;BESS_barra848;848;184,23;606.02;BESS_fixo
3;parcialmente_nublado;Storage;BESS_barra890;890;159,37;524.72;BESS_fixo
4;ceu_aberto;PVSystem;PV_barra860;860;556,74;;PV_irr_real4
4;ceu_aberto;PVSystem;PV_barra840;840;482,7;;PV_irr_real4
4;ceu_aberto;PVSystem;PV_barra844;844;423,99;;PV_irr_real4
4;ceu_aberto;PVSystem;PV_barra848;848;485,33;;PV_irr_real4
4;ceu_aberto;PVSystem;PV_barra890;890;527,85;;PV_irr_real4
4;ceu_aberto;Storage;BESS_barra860;860;149,98;458.9;BESS_fixo
4;ceu_aberto;Storage;BESS_barra840;840;187,57;563.21;BESS_fixo
4;ceu_aberto;Storage;BESS_barra844;844;163,1;380.6;BESS_fixo
4;ceu_aberto;Storage;BESS_barra848;848;203,47;650.71;BESS_fixo
4;ceu_aberto;Storage;BESS_barra890;890;162,7;457.92;BESS_fixo
5;parcialmente_nublado;PVSystem;PV_barra860;860;426,43;;PV_irr_real5
5;parcialmente_nublado;PVSystem;PV_barra840;840;485,84;;PV_irr_real5
5;parcialmente_nublado;PVSystem;PV_barra844;844;498,01;;PV_irr_real5
5;parcialmente_nublado;PVSystem;PV_barra848;848;528,05;;PV_irr_real5
5;parcialmente_nublado;PVSystem;PV_barra890;890;538,27;;PV_irr_real5
5;parcialmente_nublado;Storage;BESS_barra860;860;178,71;384.47;BESS_fixo
5;parcialmente_nublado;Storage;BESS_barra840;840;156,82;573.68;BESS_fixo
5;parcialmente_nublado;Storage;BESS_barra844;844;182,71;693.46;BESS_fixo
5;parcialmente_nublado;Storage;BESS_barra848;848;177,82;441.93;BESS_fixo
5;parcialmente_nublado;Storage;BESS_barra890;890;170,75;450.7;BESS_fixo
6;parcialmente_nublado;PVSystem;PV_barra860;860;473,93;;PV_irr_real6
6;parcialmente_nublado;PVSystem;PV_barra840;840;546,39;;PV_irr_real6
6;parcialmente_nublado;PVSystem;PV_barra844;844;483,22;;PV_irr_real6
6;parcialmente_nublado;PVSystem;PV_barra848;848;475,04;;PV_irr_real6
6;parcialmente_nublado;PVSystem;PV_barra890;890;498,0;;PV_irr_real6
6;parcialmente_nublado;Storage;BESS_barra860;860;171,09;382.93;BESS_fixo
6;parcialmente_nublado;Storage;BESS_barra840;840;196,9;488.46;BESS_fixo
