id_realizacao;tipo_dia;barra;potencia_kw
<<<<<<< HEAD
1;parcialmente_nublado;860;650,0
1;parcialmente_nublado;848;750,0
1;parcialmente_nublado;890;100,0
1;parcialmente_nublado;840;950,0
1;parcialmente_nublado;844;250,0
2;nublado;848;650,0
2;nublado;840;200,0
2;nublado;890;300,0
2;nublado;860;550,0
2;nublado;844;800,0
3;ceu_aberto;860;400,0
3;ceu_aberto;840;1000,0
3;ceu_aberto;844;600,0
3;ceu_aberto;848;350,0
3;ceu_aberto;890;400,0
4;parcialmente_nublado;860;300,0
4;parcialmente_nublado;848;50,0
4;parcialmente_nublado;840;550,0
4;parcialmente_nublado;890;250,0
4;parcialmente_nublado;844;100,0
5;parcialmente_nublado;840;50,0
5;parcialmente_nublado;860;50,0
5;parcialmente_nublado;890;50,0
5;parcialmente_nublado;844;750,0
5;parcialmente_nublado;848;350,0
6;ceu_aberto;844;400,0
6;ceu_aberto;848;100,0
6;ceu_aberto;890;300,0
6;ceu_aberto;860;500,0
6;ceu_aberto;840;200,0
7;parcialmente_nublado;860;300,0
7;parcialmente_nublado;848;300,0
7;parcialmente_nublado;844;100,0
7;parcialmente_nublado;890;200,0
7;parcialmente_nublado;840;200,0
8;nublado;848;150,0
8;nublado;844;500,0
8;nublado;890;300,0
8;nublado;840;700,0
8;nublado;860;500,0
9;parcialmente_nublado;860;350,0
9;parcialmente_nublado;840;300,0
9;parcialmente_nublado;844;50,0
9;parcialmente_nublado;848;450,0
9;parcialmente_nublado;890;150,0
10;ceu_aberto;844;100,0
10;ceu_aberto;840;300,0
10;ceu_aberto;890;300,0
10;ceu_aberto;860;250,0
10;ceu_aberto;848;700,0
11;nublado;848;200,0
11;nublado;890;100,0
11;nublado;840;250,0
11;nublado;844;600,0
11;nublado;860;100,0
12;ceu_aberto;860;200,0
12;ceu_aberto;844;100,0
12;ceu_aberto;890;300,0
12;ceu_aberto;848;400,0
12;ceu_aberto;840;550,0
13;parcialmente_nublado;860;750,0
13;parcialmente_nublado;844;750,0
13;parcialmente_nublado;848;400,0
13;parcialmente_nublado;840;700,0
13;parcialmente_nublado;890;230,4
14;parcialmente_nublado;840;450,0
14;parcialmente_nublado;848;350,0
14;parcialmente_nublado;844;1000,0
14;parcialmente_nublado;890;250,0
14;parcialmente_nublado;860;400,0
15;nublado;844;300,0
15;nublado;848;600,0
15;nublado;860;100,0
15;nublado;890;650,0
15;nublado;840;400,0
16;parcialmente_nublado;840;400,0
16;parcialmente_nublado;860;700,0
16;parcialmente_nublado;890;50,0
16;parcialmente_nublado;848;400,0
16;parcialmente_nublado;844;450,0
17;ceu_aberto;890;550,0
17;ceu_aberto;860;300,0
17;ceu_aberto;840;200,0
17;ceu_aberto;848;250,0
17;ceu_aberto;844;200,0
18;parcialmente_nublado;840;400,0
18;parcialmente_nublado;848;650,0
18;parcialmente_nublado;860;200,0
18;parcialmente_nublado;890;800,0
18;parcialmente_nublado;844;50,0
19;ceu_aberto;840;100,0
19;ceu_aberto;890;200,0
19;ceu_aberto;860;550,0
19;ceu_aberto;848;150,0
19;ceu_aberto;844;500,0
20;parcialmente_nublado;860;750,0
20;parcialmente_nublado;840;550,0
20;parcialmente_nublado;890;350,0
20;parcialmente_nublado;844;100,0
20;parcialmente_nublado;848;100,0
21;parcialmente_nublado;844;550,0
21;parcialmente_nublado;860;750,0
21;parcialmente_nublado;848;150,0
21;parcialmente_nublado;890;250,0
21;parcialmente_nublado;840;200,0
22;ceu_aberto;890;450,0
22;ceu_aberto;860;100,0
22;ceu_aberto;844;450,0
22;ceu_aberto;848;50,0
22;ceu_aberto;840;750,0
23;parcialmente_nublado;860;100,0
23;parcialmente_nublado;840;100,0
23;parcialmente_nublado;844;300,0
23;parcialmente_nublado;890;450,0
23;parcialmente_nublado;848;50,0
24;nublado;844;900,0
24;nublado;890;350,0
24;nublado;860;250,0
24;nublado;840;50,0
24;nublado;848;50,0
25;nublado;860;600,0
25;nublado;890;750,0
25;nublado;848;800,0
25;nublado;844;100,0
25;nublado;840;580,4
26;nublado;848;200,0
26;nublado;890;100,0
26;nublado;840;650,0
26;nublado;860;800,0
26;nublado;844;300,0
27;ceu_aberto;890;100,0
27;ceu_aberto;840;50,0
27;ceu_aberto;848;800,0
27;ceu_aberto;860;150,0
27;ceu_aberto;844;400,0
28;ceu_aberto;844;500,0
28;ceu_aberto;890;100,0
28;ceu_aberto;840;450,0
28;ceu_aberto;848;50,0
28;ceu_aberto;860;300,0
29;parcialmente_nublado;890;100,0
29;parcialmente_nublado;860;550,0
29;parcialmente_nublado;848;200,0
29;parcialmente_nublado;844;250,0
29;parcialmente_nublado;840;400,0
30;ceu_aberto;844;650,0
30;ceu_aberto;848;150,0
30;ceu_aberto;860;300,0
30;ceu_aberto;840;250,0
30;ceu_aberto;890;150,0
31;parcialmente_nublado;860;50,0
31;parcialmente_nublado;844;450,0
31;parcialmente_nublado;848;200,0
31;parcialmente_nublado;890;500,0
31;parcialmente_nublado;840;50,0
32;parcialmente_nublado;890;250,0
32;parcialmente_nublado;840;100,0
32;parcialmente_nublado;848;150,0
32;parcialmente_nublado;860;400,0
32;parcialmente_nublado;844;850,0
33;nublado;844;50,0
33;nublado;848;150,0
33;nublado;890;800,0
33;nublado;860;450,0
33;nublado;840;800,0
34;nublado;860;100,0
34;nublado;848;250,0
34;nublado;840;750,0
34;nublado;890;400,0
34;nublado;844;700,0
35;ceu_aberto;860;100,0
35;ceu_aberto;840;50,0
35;ceu_aberto;890;700,0
35;ceu_aberto;848;350,0
35;ceu_aberto;844;50,0
36;nublado;844;50,0
36;nublado;848;400,0
36;nublado;860;200,0
36;nublado;890;150,0
36;nublado;840;350,0
37;parcialmente_nublado;860;250,0
37;parcialmente_nublado;840;50,0
37;parcialmente_nublado;844;50,0
37;parcialmente_nublado;890;950,0
37;parcialmente_nublado;848;50,0
38;parcialmente_nublado;860;50,0
38;parcialmente_nublado;848;50,0
38;parcialmente_nublado;844;950,0
38;parcialmente_nublado;890;800,0
38;parcialmente_nublado;840;300,0
39;nublado;844;50,0
