id_realizacao;tipo_dia;h00;h01;h02;h03;h04;h05;h06;h07;h08;h09;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23
1;parcialmente_nublado;0,0012;0,0009;0,0014;0,001;0,0007;0,0035;0,0561;0,2109;0,3689;0,5904;0,6481;0,8666;0,6733;0,7954;0,6224;0,4216;0,2255;0,0529;0,0055;0,0008;0,0006;0,0004;0,0005;0,0003
2;nublado;0,0004;0,0;0,0;0,0001;0,0;0,011;0,1015;0,2295;0,4067;0,5986;0,576;0,6523;0,7775;0,5374;0,4026;0,3529;0,1891;0,0583;0,0032;0,0;0,0002;0,0018;0,0019;0,0022
3;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0033;0,0416;0,1952;0,3882;0,7302;0,9061;0,9577;1,0;0,8778;0,9148;0,5856;0,2414;0,044;0,002;0,0003;0,0;0,0;0,0;0,0001
4;parcialmente_nublado;0,001;0,0008;0,0011;0,001;0,0008;0,0044;0,0486;0,1725;0,2891;0,6274;0,7221;0,694;0,8549;0,8051;0,5807;0,3723;0,1695;0,0565;0,007;0,0006;0,0006;0,0003;0,0004;0,0004
5;parcialmente_nublado;0,0011;0,001;0,001;0,001;0,0009;0,0036;0,051;0,1912;0,4735;0,6477;0,8514;0,8739;1,0;0,7645;0,532;0,4418;0,1855;0,0516;0,0058;0,0007;0,0007;0,0004;0,0004;0,0004
6;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,003;0,0452;0,1905;0,4585;0,6445;0,7916;1,0;0,8619;0,7531;0,7475;0,3536;0,2893;0,0344;0,0019;0,0004;0,0;0,0;0,0;0,0001
7;parcialmente_nublado;0,0009;0,0007;0,0011;0,0011;0,0007;0,004;0,0506;0,1447;0,3406;0,6421;0,8588;0,7773;0,858;0,6176;0,6551;0,4132;0,2041;0,048;0,0056;0,0007;0,0006;0,0005;0,0004;0,0004
8;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0098;0,0914;0,2602;0,3251;0,5311;0,6051;0,7392;0,643;0,581;0,4359;0,3733;0,2052;0,0506;0,0043;0,0;0,0002;0,0015;0,0017;0,0017
9;parcialmente_nublado;0,0009;0,001;0,0011;0,0011;0,001;0,0044;0,0574;0,2326;0,4063;0,6776;0,788;0,7997;1,0;0,852;0,5432;0,4675;0,1712;0,0605;0,0052;0,0007;0,0005;0,0003;0,0004;0,0004
10;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0032;0,0521;0,2087;0,4441;0,7037;0,8368;0,9228;1,0;0,5473;0,8202;0,5803;0,2323;0,055;0,002;0,0003;0,0;0,0;0,0;0,0001
11;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0136;0,0935;0,267;0,465;0,5899;0,7077;0,7552;0,5658;0,5957;0,5433;0,3653;0,22;0,0478;0,0037;0,0;0,0002;0,0018;0,001;0,0013
12;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0035;0,0386;0,2095;0,4611;0,6705;0,8862;0,9952;1,0;1,0;0,7509;0,5292;0,2478;0,04;0,0016;0,0003;0,0;0,0;0,0;0,0001
13;parcialmente_nublado;0,0011;0,0009;0,0011;0,0011;0,0007;0,005;0,062;0,2196;0,3651;0,7382;0,7196;0,6901;1,0;0,6184;0,5535;0,439;0,2374;0,057;0,0056;0,001;0,0006;0,0004;0,0003;0,0004
14;parcialmente_nublado;0,0011;0,0009;0,0011;0,0013;0,0006;0,0045;0,0582;0,1923;0,3416;0,5996;0,79;1,0;0,9369;0,7406;0,5684;0,335;0,2261;0,0543;0,0052;0,0008;0,0007;0,0004;0,0004;0,0004
15;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0125;0,0943;0,2456;0,3885;0,4471;0,764;0,6505;0,7263;0,6451;0,4706;0,3652;0,1844;0,068;0,0047;0,0;0,0002;0,0013;0,0017;0,0018
16;parcialmente_nublado;0,0011;0,001;0,0011;0,001;0,0009;0,004;0,0557;0,1657;0,3623;0,5756;0,7098;0,8136;0,9599;0,7084;0,5373;0,4079;0,1867;0,0382;0,0045;0,0007;0,0007;0,0004;0,0003;0,0003
17;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,003;0,0444;0,2569;0,5884;0,6667;0,8688;0,9659;0,772;0,943;0,7758;0,4813;0,2057;0,0407;0,0021;0,0003;0,0;0,0;0,0;0,0001
18;parcialmente_nublado;0,001;0,0008;0,001;0,001;0,0008;0,0042;0,0491;0,1717;0,3651;0,5762;0,6439;1,0;0,9947;0,5487;0,4983;0,4404;0,1937;0,0427;0,0061;0,0008;0,0005;0,0004;0,0004;0,0004
19;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0032;0,0401;0,2192;0,5027;0,494;0,9233;0,9501;1,0;0,8624;0,7277;0,4232;0,1876;0,0472;0,0021;0,0003;0,0;0,0;0,0;0,0001
20;parcialmente_nublado;0,001;0,0009;0,0011;0,0009;0,0008;0,0036;0,0452;0,191;0,3025;0,6229;0,9401;0,8767;1,0;0,7385;0,593;0,345;0,1622;0,0574;0,0059;0,0008;0,0006;0,0004;0,0004;0,0005
21;parcialmente_nublado;0,0012;0,0008;0,0011;0,0012;0,0008;0,0041;0,0573;0,1961;0,3788;0,6947;0,9639;1,0;0,9051;0,8741;0,5406;0,3214;0,2032;0,0614;0,0063;0,0007;0,0006;0,0004;0,0004;0,0004
22;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0023;0,0475;0,2194;0,429;0,4872;0,7846;1,0;1,0;0,8884;0,6092;0,498;0,263;0,0539;0,0024;0,0003;0,0;0,0;0,0;0,0001
23;parcialmente_nublado;0,0011;0,001;0,001;0,0012;0,0008;0,0044;0,0574;0,1929;0,4358;0,6678;0,8223;0,8756;0,9664;0,5302;0,6188;0,4142;0,2104;0,0512;0,0048;0,0008;0,0006;0,0004;0,0004;0,0004
24;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0121;0,0828;0,2492;0,3763;0,4985;0,7094;0,7907;0,7624;0,6413;0,4796;0,3307;0,1967;0,0551;0,0039;0,0;0,0002;0,0016;0,0019;0,0018
25;nublado;0,0006;0,0;0,0;0,0001;0,0;0,0128;0,0857;0,2315;0,3265;0,4322;0,5874;0,6396;0,7589;0,6519;0,4713;0,3957;0,1906;0,0567;0,0037;0,0;0,0002;0,0012;0,0014;0,0019
26;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0096;0,1119;0,2843;0,4361;0,4725;0,6739;0,4609;0,6838;0,7477;0,5916;0,3472;0,1706;0,0423;0,0049;0,0;0,0002;0,0015;0,0018;0,0016
27;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0031;0,0428;0,2076;0,4103;0,6226;0,8734;0,9946;1,0;0,9609;0,7639;0,5895;0,1648;0,0517;0,0021;0,0003;0,0;0,0;0,0;0,0001
28;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0026;0,0465;0,2602;0,4051;0,7549;0,6983;0,8077;0,9892;0,7941;0,7344;0,45;0,2537;0,0478;0,0017;0,0003;0,0;0,0;0,0;0,0001
29;parcialmente_nublado;0,0009;0,0009;0,0009;0,0011;0,0008;0,0039;0,0464;0,1916;0,3739;0,588;0,9467;0,7927;0,7729;0,9684;0,5776;0,3197;0,2078;0,0489;0,006;0,0007;0,0007;0,0003;0,0005;0,0003
30;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0028;0,044;0,181;0,4719;0,8434;0,8476;0,805;1,0;0,8908;0,6758;0,4542;0,2183;0,0435;0,0017;0,0003;0,0;0,0;0,0;0,0001
31;parcialmente_nublado;0,0012;0,0008;0,0013;0,001;0,0008;0,0042;0,0491;0,1877;0,3679;0,8045;0,8532;0,8508;1,0;0,5857;0,6388;0,381;0,1788;0,0577;0,0051;0,0006;0,0005;0,0004;0,0003;0,0005
32;parcialmente_nublado;0,0011;0,0008;0,0012;0,0012;0,0006;0,0037;0,0402;0,2215;0,4368;0,623;0,7205;0,9538;0,8723;0,7766;0,4331;0,355;0,1818;0,0536;0,0053;0,001;0,0005;0,0005;0,0005;0,0005
33;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0096;0,0806;0,2275;0,4609;0,4901;0,6241;0,5528;0,8283;0,6393;0,5638;0,3952;0,2166;0,0468;0,0036;0,0;0,0002;0,0015;0,0017;0,0021
34;nublado;0,0006;0,0;0,0;0,0001;0,0;0,011;0,0896;0,2668;0,4009;0,5994;0,5501;0,7688;0,7311;0,6425;0,4061;0,3427;0,1591;0,0436;0,0044;0,0;0,0002;0,0017;0,0016;0,0016
35;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0031;0,0416;0,1843;0,4537;0,6288;0,79;0,7944;0,8621;0,7919;0,6427;0,5435;0,2739;0,0389;0,0018;0,0003;0,0;0,0;0,0;0,0001
36;nublado;0,0004;0,0;0,0;0,0001;0,0;0,0104;0,0833;0,2636;0,4515;0,5398;0,7371;0,8072;0,6229;0,678;0,4875;0,3304;0,2041;0,0479;0,0038;0,0;0,0002;0,0019;0,0015;0,0019
