id_realizacao;tipo_dia;barra;potencia_kw;capacidade_kwh;razao_armazenamento_h
1;parcialmente_nublado;860;237,96;207,24;0,871
1;parcialmente_nublado;840;179,71;478,13;2,661
1;parcialmente_nublado;844;184,9;499,01;2,699
1;parcialmente_nublado;848;88,75;274,96;3,098
1;parcialmente_nublado;890;161,44;321,21;1,99
2;nublado;848;108,38;373,16;3,443
2;nublado;844;113,39;284,43;2,508
2;nublado;890;138,61;104,48;0,754
2;nublado;840;239,44;286,25;1,195
2;nublado;860;161,2;340,54;2,113
3;ceu_aberto;840;73,66;102,77;1,395
3;ceu_aberto;860;174,65;168,75;0,966
3;ceu_aberto;890;101,95;323,28;3,171
3;ceu_aberto;844;212,78;318,52;1,497
3;ceu_aberto;848;154,58;305,74;1,978
4;parcialmente_nublado;848;93,41;376,08;4,026
4;parcialmente_nublado;860;215,01;489,76;2,278
4;parcialmente_nublado;890;137,82;419,65;3,045
4;parcialmente_nublado;840;232,46;210,32;0,905
4;parcialmente_nublado;844;153,68;106,59;0,694
5;parcialmente_nublado;844;236,72;215,51;0,91
5;parcialmente_nublado;890;66,19;480,37;7,257
5;parcialmente_nublado;848;59,08;329,26;5,573
5;parcialmente_nublado;840;117,57;492,59;4,19
5;parcialmente_nublado;860;234,1;154,68;0,661
6;ceu_aberto;844;194,42;323,38;1,663
6;ceu_aberto;890;85,84;167,32;1,949
6;ceu_aberto;840;244,92;300,61;1,227
6;ceu_aberto;848;150,93;163,86;1,086
6;ceu_aberto;860;102,22;203,66;1,992
7;parcialmente_nublado;860;114,37;187,5;1,639
7;parcialmente_nublado;848;137,14;179,52;1,309
7;parcialmente_nublado;844;115,85;476,52;4,113
7;parcialmente_nublado;840;73,8;384,61;5,212
7;parcialmente_nublado;890;67,39;124,2;1,843
8;nublado;844;228,22;472,05;2,068
8;nublado;840;90,97;265,75;2,921
8;nublado;848;198,95;432,75;2,175
8;nublado;860;100,15;481,6;4,809
8;nublado;890;193,5;112,27;0,58
9;parcialmente_nublado;890;99,75;124,24;1,246
9;parcialmente_nublado;844;110,74;239,41;2,162
9;parcialmente_nublado;860;193,08;214,0;1,108
9;parcialmente_nublado;848;160,42;123,85;0,772
9;parcialmente_nublado;840;199,44;213,76;1,072
10;ceu_aberto;844;217,72;255,39;1,173
10;ceu_aberto;860;236,17;233,75;0,99
10;ceu_aberto;840;246,95;160,99;0,652
10;ceu_aberto;890;190,38;240,51;1,263
10;ceu_aberto;848;133,22;202,06;1,517
11;nublado;844;56,72;474,69;8,369
11;nublado;890;197,17;191,6;0,972
11;nublado;860;143,39;343,68;2,397
11;nublado;848;193,02;230,42;1,194
11;nublado;840;191,43;442,29;2,31
12;ceu_aberto;848;180,23;327,97;1,82
12;ceu_aberto;860;178,7;238,81;1,336
12;ceu_aberto;844;165,8;365,18;2,203
12;ceu_aberto;890;177,66;132,23;0,744
12;ceu_aberto;840;84,24;219,8;2,609
13;parcialmente_nublado;844;224,18;117,03;0,522
13;parcialmente_nublado;848;247,47;395,12;1,597
