id_realizacao;tipo_dia;unidade_bess;barra;potencia_kw;capacidade_kwh;razao_armazenamento_h
1;nublado;1;4;206,9;129,3;0,625
1;nublado;2;19;156,18;213,17;1,365
1;nublado;3;18;92,12;247,81;2,69
1;nublado;4;28;147,68;161,55;1,094
1;nublado;5;23;231,67;370,74;1,6
1;nublado;6;2;152,18;424,31;2,788
1;nublado;7;19;107,94;437,53;4,053
1;nublado;8;33;218,73;489,47;2,238
1;nublado;9;14;140,16;255,63;1,824
1;nublado;10;5;141,04;484,43;3,435
1;nublado;11;34;77,07;218,38;2,834
1;nublado;12;21;76,26;431,94;5,664
1;nublado;13;9;135,57;493,46;3,64
1;nublado;14;31;210,65;442,21;2,099
2;ceu_aberto;1;26;143,68;123,4;0,859
2;ceu_aberto;2;3;139,22;396,15;2,845
2;ceu_aberto;3;27;243,64;306,08;1,256
2;ceu_aberto;4;4;218,02;346,23;1,588
2;ceu_aberto;5;26;179,89;394,08;2,191
2;ceu_aberto;6;16;241,47;163,89;0,679
2;ceu_aberto;7;26;168,51;229,55;1,362
2;ceu_aberto;8;33;155,68;321,89;2,068
2;ceu_aberto;9;28;219,74;342,57;1,559
2;ceu_aberto;10;1;118,52;417,36;3,521
2;ceu_aberto;11;30;154,59;457,67;2,961
2;ceu_aberto;12;32;184,69;333,42;1,805
2;ceu_aberto;13;10;83,43;466,61;5,593
2;ceu_aberto;14;7;51,09;414,76;8,118
3;nublado;1;11;75,55;187,48;2,482
3;nublado;2;30;244,03;157,11;0,644
3;nublado;3;9;173,25;341,95;1,974
3;nublado;4;7;68,09;477,02;7,006
3;nublado;5;14;137,77;199,33;1,447
3;nublado;6;19;195,28;417,29;2,137
3;nublado;7;14;85,49;216,41;2,531
3;nublado;8;5;142,69;125,85;0,882
3;nublado;9;26;224,93;486,34;2,162
3;nublado;10;5;68,03;392,46;5,769
3;nublado;11;21;155,96;493,14;3,162
3;nublado;12;15;65,93;338,66;5,137
3;nublado;13;2;137,09;477,17;3,481
3;nublado;14;7;133,1;327,25;2,459
4;ceu_aberto;1;15;215,1;338,16;1,572
4;ceu_aberto;2;34;108,15;234,83;2,171
4;ceu_aberto;3;30;137,43;298,71;2,174
4;ceu_aberto;4;18;161,04;253,04;1,571
4;ceu_aberto;5;14;69,84;351,92;5,039
4;ceu_aberto;6;5;199,88;322,86;1,615
4;ceu_aberto;7;11;143,79;297,97;2,072
4;ceu_aberto;8;15;158,07;459,38;2,906
4;ceu_aberto;9;17;96,28;333,52;3,464
4;ceu_aberto;10;4;247,71;191,41;0,773
4;ceu_aberto;11;32;106,26;125,33;1,179
4;ceu_aberto;12;7;172,29;237,07;1,376
4;ceu_aberto;13;15;69,4;300,58;4,331
4;ceu_aberto;14;13;166,99;188,9;1,131
5;ceu_aberto;1;18;208,31;329,06;1,58
5;ceu_aberto;2;3;117,69;394,21;3,35
5;ceu_aberto;3;25;198,97;407,06;2,046
5;ceu_aberto;4;11;238,32;330,4;1,386
5;ceu_aberto;5;10;198,87;285,53;1,436
5;ceu_aberto;6;7;238,31;268,18;1,125
5;ceu_aberto;7;17;248,98;414,59;1,665
5;ceu_aberto;8;29;196,91;257,9;1,31
5;ceu_aberto;9;20;177,03;371,28;2,097
5;ceu_aberto;10;21;240,66;408,61;1,698
5;ceu_aberto;11;25;144,76;333,35;2,303
5;ceu_aberto;12;26;157,52;239,19;1,518
5;ceu_aberto;13;4;107,07;119,98;1,121
5;ceu_aberto;14;18;161,38;267,73;1,659
6;ceu_aberto;1;12;153,0;428,71;2,802
6;ceu_aberto;2;10;209,05;204,92;0,98
6;ceu_aberto;3;30;189,02;189,89;1,005
6;ceu_aberto;4;9;126,4;119,04;0,942
6;ceu_aberto;5;5;78,34;497,54;6,351
6;ceu_aberto;6;24;199,64;445,83;2,233
6;ceu_aberto;7;32;86,0;300,79;3,498
6;ceu_aberto;8;28;193,94;111,26;0,574
6;ceu_aberto;9;25;243,82;233,9;0,959
6;ceu_aberto;10;33;56,86;176,23;3,099
6;ceu_aberto;11;3;247,76;338,89;1,368
6;ceu_aberto;12;19;84,1;445,22;5,294
6;ceu_aberto;13;8;71,32;329,34;4,618
6;ceu_aberto;14;9;81,63;353,12;4,326
