id_realizacao;tipo_dia;unidade_pv;barra;potencia_kw
1;nublado;1;34;50,0
1;nublado;2;16;100,0
1;nublado;3;33;200,0
1;nublado;4;33;350,0
1;nublado;5;30;538,3
2;ceu_aberto;1;3;50,0
2;ceu_aberto;2;16;50,0
2;ceu_aberto;3;13;350,0
2;ceu_aberto;4;17;600,0
2;ceu_aberto;5;27;188,3
3;nublado;1;5;50,0
3;nublado;2;15;650,0
3;nublado;3;16;538,3
4;ceu_aberto;1;4;300,0
4;ceu_aberto;2;1;600,0
4;ceu_aberto;3;11;250,0
4;ceu_aberto;4;8;88,3
5;ceu_aberto;1;12;400,0
5;ceu_aberto;2;5;400,0
5;ceu_aberto;3;14;438,3
6;ceu_aberto;1;20;200,0
6;ceu_aberto;2;11;150,0
6;ceu_aberto;3;30;100,0
6;ceu_aberto;4;23;50,0
6;ceu_aberto;5;18;700,0
6;ceu_aberto;6;10;38,3
7;nublado;1;10;400,0
7;nublado;2;21;750,0
7;nublado;3;9;50,0
7;nublado;4;17;38,3
8;nublado;1;20;50,0
8;nublado;2;31;300,0
8;nublado;3;20;450,0
8;nublado;4;29;438,3
9;nublado;1;26;150,0
9;nublado;2;26;850,0
9;nublado;3;25;150,0
9;nublado;4;22;88,3
10;nublado;1;10;650,0
10;nublado;2;9;350,0
10;nublado;3;4;238,3
11;parcialmente_nublado;1;3;50,0
11;parcialmente_nublado;2;19;50,0
11;parcialmente_nublado;3;18;450,0
11;parcialmente_nublado;4;15;150,0
11;parcialmente_nublado;5;27;150,0
11;parcialmente_nublado;6;5;388,3
12;parcialmente_nublado;1;33;400,0
12;parcialmente_nublado;2;14;250,0
12;parcialmente_nublado;3;28;150,0
12;parcialmente_nublado;4;2;150,0
12;parcialmente_nublado;5;12;288,3
13;nublado;1;27;50,0
13;nublado;2;31;300,0
13;nublado;3;15;200,0
13;nublado;4;4;300,0
13;nublado;5;28;388,3
14;parcialmente_nublado;1;20;250,0
14;parcialmente_nublado;2;22;250,0
14;parcialmente_nublado;3;23;350,0
14;parcialmente_nublado;4;9;150,0
14;parcialmente_nublado;5;5;150,0
14;parcialmente_nublado;6;18;88,3
15;nublado;1;21;50,0
15;nublado;2;32;100,0
15;nublado;3;16;200,0
15;nublado;4;17;888,3
16;nublado;1;33;150,0
16;nublado;2;22;350,0
16;nublado;3;4;250,0
16;nublado;4;2;488,3
17;ceu_aberto;1;30;200,0
17;ceu_aberto;2;24;650,0
17;ceu_aberto;3;18;100,0
17;ceu_aberto;4;8;288,3
18;parcialmente_nublado;1;31;100,0
18;parcialmente_nublado;2;2;400,0
18;parcialmente_nublado;3;20;650,0
18;parcialmente_nublado;4;33;88,3
19;ceu_aberto;1;6;350,0
19;ceu_aberto;2;10;850,0
19;ceu_aberto;3;8;38,3
20;ceu_aberto;1;26;250,0
20;ceu_aberto;2;2;300,0
20;ceu_aberto;3;2;300,0
20;ceu_aberto;4;31;100,0
20;ceu_aberto;5;22;288,3
21;nublado;1;13;300,0
21;nublado;2;11;150,0
21;nublado;3;4;150,0
21;nublado;4;15;638,3
22;parcialmente_nublado;1;13;450,0
22;parcialmente_nublado;2;4;100,0
22;parcialmente_nublado;3;27;200,0
22;parcialmente_nublado;4;16;488,3
23;parcialmente_nublado;1;31;50,0
23;parcialmente_nublado;2;19;650,0
23;parcialmente_nublado;3;11;100,0
23;parcialmente_nublado;4;30;438,3
24;ceu_aberto;1;5;750,0
24;ceu_aberto;2;8;350,0
24;ceu_aberto;3;25;100,0
24;ceu_aberto;4;19;38,3
25;ceu_aberto;1;14;400,0
25;ceu_aberto;2;3;350,0
25;ceu_aberto;3;8;488,3
26;parcialmente_nublado;1;31;300,0
26;parcialmente_nublado;2;10;100,0
26;parcialmente_nublado;3;8;150,0
26;parcialmente_nublado;4;18;300,0
26;parcialmente_nublado;5;32;250,0
26;parcialmente_nublado;6;16;138,3
27;ceu_aberto;1;2;250,0
27;ceu_aberto;2;28;550,0
27;ceu_aberto;3;24;438,3
28;nublado;1;8;350,0
28;nublado;2;34;600,0
28;nublado;3;23;100,0
28;nublado;4;19;188,3
29;parcialmente_nublado;1;29;550,0
29;parcialmente_nublado;2;24;300,0
29;parcialmente_nublado;3;18;100,0
29;parcialmente_nublado;4;20;250,0
29;parcialmente_nublado;5;15;38,3
30;parcialmente_nublado;1;4;300,0
30;parcialmente_nublado;2;5;900,0
30;parcialmente_nublado;3;12;38,3
31;ceu_aberto;1;1;300,0
31;ceu_aberto;2;34;50,0
31;ceu_aberto;3;2;550,0
31;ceu_aberto;4;24;50,0
31;ceu_aberto;5;22;50,0
31;ceu_aberto;6;24;238,3
32;ceu_aberto;1;33;500,0
32;ceu_aberto;2;34;100,0
32;ceu_aberto;3;34;50,0
32;ceu_aberto;4;31;588,3
33;nublado;1;5;300,0
33;nublado;2;18;650,0
33;nublado;3;31;100,0
33;nublado;4;16;188,3
34;parcialmente_nublado;1;27;650,0
34;parcialmente_nublado;2;27;350,0
34;parcialmente_nublado;3;23;50,0
34;parcialmente_nublado;4;31;188,3
35;ceu_aberto;1;10;350,0
35;ceu_aberto;2;32;500,0
35;ceu_aberto;3;31;150,0
35;ceu_aberto;4;33;238,3
36;ceu_aberto;1;23;550,0
36;ceu_aberto;2;32;600,0
36;ceu_aberto;3;24;88,3
37;parcialmente_nublado;1;34;250,0
37;parcialmente_nublado;2;10;550,0
37;parcialmente_nublado;3;29;438,3
38;nublado;1;16;250,0
38;nublado;2;2;300,0
38;nublado;3;21;100,0
38;nublado;4;7;588,3
39;ceu_aberto;1;13;900,0
39;ceu_aberto;2;32;338,3
40;parcialmente_nublado;1;5;200,0
40;parcialmente_nublado;2;22;350,0
40;parcialmente_nublado;3;17;200,0
40;parcialmente_nublado;4;24;400,0
40;parcialmente_nublado;5;14;88,3
41;nublado;1;7;150,0
41;nublado;2;13;400,0
41;nublado;3;5;350,0
41;nublado;4;9;338,3
42;ceu_aberto;1;12;250,0
42;ceu_aberto;2;22;700,0
42;ceu_aberto;3;4;288,3
43;parcialmente_nublado;1;14;350,0
43;parcialmente_nublado;2;19;250,0
43;parcialmente_nublado;3;33;300,0
43;parcialmente_nublado;4;9;300,0
43;parcialmente_nublado;5;2;38,3
44;ceu_aberto;1;31;500,0
44;ceu_aberto;2;12;400,0
44;ceu_aberto;3;12;250,0
44;ceu_aberto;4;31;88,3
45;nublado;1;1;700,0
45;nublado;2;2;300,0
45;nublado;3;17;238,3
46;parcialmente_nublado;1;18;150,0
46;parcialmente_nublado;2;29;350,0
46;parcialmente_nublado;3;33;200,0
46;parcialmente_nublado;4;16;538,3
47;parcialmente_nublado;1;6;550,0
47;parcialmente_nublado;2;28;250,0
47;parcialmente_nublado;3;9;150,0
47;parcialmente_nublado;4;8;288,3
48;parcialmente_nublado;1;33;850,0
48;parcialmente_nublado;2;23;388,3
49;parcialmente_nublado;1;34;50,0
49;parcialmente_nublado;2;7;250,0
49;parcialmente_nublado;3;29;50,0
49;parcialmente_nublado;4;7;200,0
49;parcialmente_nublado;5;18;200,0
49;parcialmente_nublado;6;12;488,3
50;parcialmente_nublado;1;28;800,0
50;parcialmente_nublado;2;1;50,0
50;parcialmente_nublado;3;23;388,3
