id_realizacao;tipo_dia;barra;potencia_kw;capacidade_kwh;razao_armazenamento_h
1;ceu_aberto;860;14,05;29,08;2,07
1;ceu_aberto;840;12,31;43,88;3,565
1;ceu_aberto;844;13,74;33,33;2,426
1;ceu_aberto;848;9,91;31,71;3,2
1;ceu_aberto;890;11,92;34,96;2,933
2;ceu_aberto;860;14,58;54,98;3,771
2;ceu_aberto;840;11,64;29,2;2,509
2;ceu_aberto;844;10,89;31,91;2,93
2;ceu_aberto;848;9,8;19,74;2,014
2;ceu_aberto;890;15,01;49,57;3,302
3;ceu_aberto;860;11,52;35,95;3,121
3;ceu_aberto;840;13,32;40,73;3,058
3;ceu_aberto;844;11,4;39,08;3,428
3;ceu_aberto;848;13,81;29,44;2,132
3;ceu_aberto;890;11,86;26,86;2,265
4;ceu_aberto;860;13,61;40,9;3,005
4;ceu_aberto;840;11,64;39,01;3,351
4;ceu_aberto;844;12,35;29,95;2,425
4;ceu_aberto;848;13,97;42,94;3,074
4;ceu_aberto;890;10,34;30,95;2,993
5;parcialmente_nublado;860;11,93;27,0;2,263
5;parcialmente_nublado;840;12,56;47,62;3,791
5;parcialmente_nublado;844;12,82;45,85;3,576
5;parcialmente_nublado;848;11,27;34,35;3,048
5;parcialmente_nublado;890;13,33;39,25;2,944
6;ceu_aberto;860;10,86;24,05;2,215
6;ceu_aberto;840;15,11;36,29;2,402
6;ceu_aberto;844;13,88;28,5;2,053
6;ceu_aberto;848;10,92;30,26;2,771
6;ceu_aberto;890;11,15;30,86;2,768
7;ceu_aberto;860;12,92;34,38;2,661
7;ceu_aberto;840;11,39;39,15;3,437
7;ceu_aberto;844;11,78;24,74;2,1
7;ceu_aberto;848;12,81;28,76;2,245
7;ceu_aberto;890;13,01;39,59;3,043
8;parcialmente_nublado;860;11,79;34,13;2,895
8;parcialmente_nublado;840;12,25;44,31;3,617
8;parcialmente_nublado;844;13,19;33,17;2,515
8;parcialmente_nublado;848;12,32;42,14;3,42
8;parcialmente_nublado;890;12,36;36,14;2,924
9;parcialmente_nublado;860;12,9;37,59;2,914
9;parcialmente_nublado;840;13,56;38,0;2,802
9;parcialmente_nublado;844;14,07;44,43;3,158
9;parcialmente_nublado;848;9,68;28,5;2,944
9;parcialmente_nublado;890;11,7;44,97;3,844
10;ceu_aberto;860;12,17;36,53;3,002
10;ceu_aberto;840;11,54;39,26;3,402
10;ceu_aberto;844;13,77;36,35;2,64
10;ceu_aberto;848;11,28;42,26;3,746
10;ceu_aberto;890;13,16;29,16;2,216
11;ceu_aberto;860;11,71;40,75;3,48
11;ceu_aberto;840;13,56;43,94;3,24
11;ceu_aberto;844;13,64;46,28;3,393
11;ceu_aberto;848;10,88;26,87;2,47
11;ceu_aberto;890;12,13;41,62;3,431
12;nublado;860;11,84;45,12;3,811
12;nublado;840;13,07;49,36;3,777
12;nublado;844;11,95;34,55;2,891
12;nublado;848;13,02;28,93;2,222
12;nublado;890;12,03;40,93;3,402
13;parcialmente_nublado;860;12,49;30,19;2,417
13;parcialmente_nublado;840;12,64;50,3;3,979
13;parcialmente_nublado;844;12,77;33,86;2,652
13;parcialmente_nublado;848;13,06;26,31;2,015
13;parcialmente_nublado;890;10,96;27,76;2,533
14;ceu_aberto;860;14,3;35,22;2,463
14;ceu_aberto;840;12,21;25,59;2,096
14;ceu_aberto;844;12,41;25,13;2,025
14;ceu_aberto;848;11,35;44,5;3,921
14;ceu_aberto;890;11,64;37,08;3,186
15;nublado;860;12,22;37,29;3,052
15;nublado;840;11,59;24,12;2,081
15;nublado;844;11,71;23,56;2,012
15;nublado;848;14,18;33,54;2,365
15;nublado;890;12,21;37,56;3,076
16;ceu_aberto;860;14,41;55,9;3,879
16;ceu_aberto;840;13,27;53,0;3,994
16;ceu_aberto;844;12,06;47,01;3,898
16;ceu_aberto;848;11,88;28,01;2,358
16;ceu_aberto;890;10,3;26,55;2,578
17;parcialmente_nublado;860;12,28;34,24;2,788
17;parcialmente_nublado;840;13,75;28,44;2,068
17;parcialmente_nublado;844;10,2;24,21;2,374
17;parcialmente_nublado;848;12,6;48,57;3,855
17;parcialmente_nublado;890;13,09;44,41;3,393
18;nublado;860;12,19;42,84;3,514
18;nublado;840;12,08;30,35;2,512
18;nublado;844;11,86;41,41;3,492
18;nublado;848;12,3;46,97;3,819
18;nublado;890;13,48;44,48;3,3
19;ceu_aberto;860;14,91;48,82;3,274
19;ceu_aberto;840;10,93;34,63;3,168
19;ceu_aberto;844;13,23;31,65;2,392
19;ceu_aberto;848;9,98;38,53;3,861
19;ceu_aberto;890;12,86;38,06;2,96
20;parcialmente_nublado;860;11,29;26,44;2,342
20;parcialmente_nublado;840;11,87;41,04;3,457
20;parcialmente_nublado;844;11,68;28,45;2,436
20;parcialmente_nublado;848;13,98;42,18;3,017
