id_realizacao;tipo_dia;barra;potencia_kw
1;ceu_aberto;860;550,0
1;ceu_aberto;890;150,0
1;ceu_aberto;844;150,0
1;ceu_aberto;840;100,0
1;ceu_aberto;848;350,0
2;parcialmente_nublado;860;650,0
2;parcialmente_nublado;890;50,0
2;parcialmente_nublado;840;100,0
2;parcialmente_nublado;844;200,0
2;parcialmente_nublado;848;500,0
3;ceu_aberto;890;650,0
3;ceu_aberto;840;100,0
3;ceu_aberto;844;900,0
3;ceu_aberto;860;500,0
3;ceu_aberto;848;500,0
4;nublado;848;400,0
4;nublado;860;150,0
4;nublado;840;800,0
4;nublado;890;100,0
4;nublado;844;100,0
5;parcialmente_nublado;848;50,0
5;parcialmente_nublado;890;700,0
5;parcialmente_nublado;840;400,0
5;parcialmente_nublado;860;350,0
5;parcialmente_nublado;844;550,0
6;nublado;890;700,0
6;nublado;860;200,0
6;nublado;844;100,0
6;nublado;840;150,0
6;nublado;848;100,0
7;ceu_aberto;890;200,0
7;ceu_aberto;840;800,0
7;ceu_aberto;848;700,0
7;ceu_aberto;860;700,0
7;ceu_aberto;844;750,0
8;ceu_aberto;890;50,0
8;ceu_aberto;844;500,0
8;ceu_aberto;848;200,0
8;ceu_aberto;860;350,0
8;ceu_aberto;840;800,0
9;ceu_aberto;890;650,0
9;ceu_aberto;848;950,0
9;ceu_aberto;844;250,0
9;ceu_aberto;860;300,0
9;ceu_aberto;840;400,0
10;parcialmente_nublado;848;450,0
10;parcialmente_nublado;860;100,0
10;parcialmente_nublado;840;650,0
10;parcialmente_nublado;844;150,0
10;parcialmente_nublado;890;100,0
11;parcialmente_nublado;840;650,0
11;parcialmente_nublado;848;550,0
11;parcialmente_nublado;860;250,0
11;parcialmente_nublado;844;550,0
11;parcialmente_nublado;890;800,0
12;nublado;890;350,0
12;nublado;840;150,0
12;nublado;860;50,0
12;nublado;848;950,0
12;nublado;844;700,0
13;ceu_aberto;844;250,0
13;ceu_aberto;890;100,0
13;ceu_aberto;860;50,0
13;ceu_aberto;848;650,0
13;ceu_aberto;840;350,0
14;ceu_aberto;844;450,0
14;ceu_aberto;890;500,0
14;ceu_aberto;848;700,0
14;ceu_aberto;840;350,0
14;ceu_aberto;860;150,0
15;parcialmente_nublado;890;600,0
15;parcialmente_nublado;848;400,0
15;parcialmente_nublado;860;800,0
15;parcialmente_nublado;844;300,0
15;parcialmente_nublado;840;100,0
16;ceu_aberto;844;150,0
