id_realizacao;tipo_dia;pv_unidades;pv_potencia_total_kw;bess_unidades;bess_potencia_total_kw;subtensao_manhã;sobretensao_manhã;subtensao_tarde;sobretensao_tarde;subtensao_noite;sobretensao_noite;subtensao_madrugada;sobretensao_madrugada;subtensao_bess_carga;sobretensao_bess_carga;subtensao_bess_pós_carga_pré_descarga;sobretensao_bess_pós_carga_pré_descarga;subtensao_bess_descarga;sobretensao_bess_descarga;subtensao_bess_fora_de_operacao;sobretensao_bess_fora_de_operacao;horas_com_erro_max_control;horas_com_voltvar_ativo;pen_pct
1;ceu_aberto;5;1592,1;5;557,22;4;7;1;7;2;6;2;0;4;7;1;7;1;6;2;7;0;19;90
2;ceu_aberto;5;1592,11;5;557,23;11;7;3;8;2;6;2;0;11;7;1;8;1;6;2;7;0;19;90
3;ceu_aberto;5;1592,09;5;557,23;4;7;2;7;2;6;2;0;2;7;1;7;1;6;5;7;0;19;90
4;ceu_aberto;5;1592,1;5;557,24;3;7;3;7;2;6;2;0;3;7;1;7;1;6;3;7;0;19;90
5;nublado;5;1592,11;5;557,23;1;7;1;6;2;6;2;0;1;6;1;6;1;6;2;7;0;21;90
6;parcialmente_nublado;5;1592,1;5;557,24;1;8;2;7;2;6;2;0;2;7;1;7;1;6;2;8;0;24;90
7;ceu_aberto;5;1592,11;5;557,23;2;9;2;7;2;6;2;0;2;7;1;7;1;6;2;9;0;19;90
8;parcialmente_nublado;5;1592,1;5;557,24;2;7;4;7;2;6;2;0;4;7;1;7;1;6;2;7;0;24;90
9;ceu_aberto;5;1592,11;5;557,24;22;7;22;7;2;6;2;0;22;7;1;7;1;6;3;7;0;19;90
10;parcialmente_nublado;5;1592,09;5;557,24;1;7;2;7;2;6;2;0;2;7;1;6;1;6;2;7;0;24;90
11;nublado;5;1592,1;5;557,23;1;7;1;7;2;6;2;0;1;7;1;7;1;6;2;7;0;21;90
12;ceu_aberto;5;1592,1;5;557,23;4;7;2;7;2;6;2;0;2;7;1;7;1;6;5;7;0;19;90
13;parcialmente_nublado;5;1592,1;5;557,24;1;7;1;7;2;6;2;0;1;7;1;6;1;6;2;7;0;24;90
14;ceu_aberto;5;1592,1;5;557,2399999999999;2;9;4;7;2;6;2;0;4;7;1;7;1;6;2;9;0;19;90
15;parcialmente_nublado;5;1592,1;5;557,23;3;7;2;7;2;6;2;0;3;7;1;6;1;6;2;7;0;24;90
16;ceu_aberto;5;1592,11;5;557,23;8;7;4;8;2;6;2;0;8;7;1;8;1;6;3;7;0;19;90
17;ceu_aberto;5;1592,11;5;557,23;2;9;4;7;2;6;2;0;4;7;1;7;1;6;2;9;0;19;90
18;ceu_aberto;5;1592,1;5;557,22;4;7;4;7;2;6;2;0;4;7;1;7;1;6;3;7;0;19;90
19;parcialmente_nublado;5;1592,1;5;557,23;17;7;1;7;2;6;2;0;2;7;1;7;1;6;18;7;0;24;90
20;ceu_aberto;5;1592,11;5;557,23;6;7;6;7;2;6;2;2;6;7;1;7;1;6;2;9;0;19;90
21;nublado;5;1592,1;5;557,24;1;7;2;6;2;6;2;0;2;6;1;6;1;6;2;7;0;21;90
