id_realizacao;tipo_dia;barra;potencia_kw
1;nublado;824;200,0
1;nublado;848;450,0
1;nublado;802;100,0
1;nublado;816;250,0
1;nublado;846;150,0
1;nublado;844;50,0
1;nublado;842;50,0
1;nublado;818;450,0
1;nublado;822;550,0
1;nublado;852;170,0
2;nublado;854;800,0
2;nublado;862;550,0
2;nublado;844;500,0
2;nublado;860;100,0
2;nublado;890;200,0
2;nublado;828;270,0
3;nublado;814;350,0
3;nublado;830;350,0
3;nublado;824;500,0
3;nublado;854;100,0
3;nublado;850;250,0
3;nublado;800;750,0
3;nublado;860;120,0
4;parcialmente_nublado;818;850,0
4;parcialmente_nublado;800;100,0
4;parcialmente_nublado;830;600,0
4;parcialmente_nublado;832;150,0
4;parcialmente_nublado;838;200,0
4;parcialmente_nublado;810;50,0
4;parcialmente_nublado;858;470,0
5;nublado;802;650,0
5;nublado;822;150,0
5;nublado;816;150,0
5;nublado;830;700,0
5;nublado;832;770,0
6;nublado;812;650,0
6;nublado;842;600,0
6;nublado;818;700,0
6;nublado;856;470,0
7;nublado;844;700,0
7;nublado;814;350,0
7;nublado;808;100,0
7;nublado;816;750,0
7;nublado;842;250,0
7;nublado;846;270,0
8;ceu_aberto;848;950,0
8;ceu_aberto;820;100,0
8;ceu_aberto;806;100,0
8;ceu_aberto;822;700,0
8;ceu_aberto;824;250,0
8;ceu_aberto;826;320,0
9;nublado;844;150,0
9;nublado;846;550,0
9;nublado;822;250,0
9;nublado;836;600,0
9;nublado;834;550,0
9;nublado;818;320,0
10;nublado;812;450,0
10;nublado;830;100,0
10;nublado;858;700,0
10;nublado;826;300,0
10;nublado;810;450,0
10;nublado;816;420,0
11;ceu_aberto;802;150,0
11;ceu_aberto;850;200,0
11;ceu_aberto;816;300,0
11;ceu_aberto;810;450,0
11;ceu_aberto;860;100,0
11;ceu_aberto;856;300,0
11;ceu_aberto;842;350,0
11;ceu_aberto;818;500,0
11;ceu_aberto;820;70,0
12;ceu_aberto;850;50,0
12;ceu_aberto;854;100,0
12;ceu_aberto;838;300,0
12;ceu_aberto;824;50,0
12;ceu_aberto;888;650,0
12;ceu_aberto;862;300,0
12;ceu_aberto;820;300,0
