id_realizacao;tipo_dia;classe;nome;barra;potencia_kw;capacidade_kwh;perfil
1;ceu_aberto;PVSystem;PV_barra860;860;451,16;;PV_irr_real1
1;ceu_aberto;PVSystem;PV_barra840;840;442,58;;PV_irr_real1
1;ceu_aberto;PVSystem;PV_barra844;844;509,24;;PV_irr_real1
1;ceu_aberto;PVSystem;PV_barra848;848;456,99;;PV_irr_real1
1;ceu_aberto;PVSystem;PV_barra890;890;439,73;;PV_irr_real1
1;ceu_aberto;Storage;BESS_barra860;860;154,41;514.54;BESS_fixo
1;ceu_aberto;Storage;BESS_barra840;840;157,68;496.83;BESS_fixo
1;ceu_aberto;Storage;BESS_barra844;844;138,61;457.08;BESS_fixo
1;ceu_aberto;Storage;BESS_barra848;848;194,21;591.66;BESS_fixo
1;ceu_aberto;Storage;BESS_barra890;890;159,99;373.34;BESS_fixo
2;ceu_aberto;PVSystem;PV_barra860;860;378,3;;PV_irr_real2
2;ceu_aberto;PVSystem;PV_barra840;840;545,32;;PV_irr_real2
2;ceu_aberto;PVSystem;PV_barra844;844;526,94;;PV_irr_real2
2;ceu_aberto;PVSystem;PV_barra848;848;407,4;;PV_irr_real2
2;ceu_aberto;PVSystem;PV_barra890;890;441,74;;PV_irr_real2
2;ceu_aberto;Storage;BESS_barra860;860;166,43;428.22;BESS_fixo
2;ceu_aberto;Storage;BESS_barra840;840;169,68;612.72;BESS_fixo
2;ceu_aberto;Storage;BESS_barra844;844;152,9;393.42;BESS_fixo
2;ceu_aberto;Storage;BESS_barra848;848;170,17;582.94;BESS_fixo
2;ceu_aberto;Storage;BESS_barra890;890;145,7;508.15;BESS_fixo
3;parcialmente_nublado;PVSystem;PV_barra860;860;466,26;;PV_irr_real3
3;parcialmente_nublado;PVSystem;PV_barra840;840;500,51;;PV_irr_real3
3;parcialmente_nublado;PVSystem;PV_barra844;844;350,87;;PV_irr_real3
3;parcialmente_nublado;PVSystem;PV_barra848;848;518,15;;PV_irr_real3
3;parcialmente_nublado;PVSystem;PV_barra890;890;463,91;;PV_irr_real3
3;parcialmente_nublado;Storage;BESS_barra860;860;146,04;464.42;BESS_fixo
3;parcialmente_nublado;Storage;BESS_barra840;840;167,28;380.83;BESS_fixo
