id_realizacao;tipo_dia;penetracao_pct;pv_unidades;pv_potencia_total_kw;bess_unidades
1;ceu_aberto;190,0;5;1600,0;5
2;parcialmente_nublado;190,0;5;1850,0;5
3;parcialmente_nublado;190,0;5;2300,0;5
4;ceu_aberto;190,0;5;2500,0;5
5;parcialmente_nublado;190,0;5;3150,0;5
6;ceu_aberto;190,0;5;950,0;5
7;parcialmente_nublado;190,0;5;2450,0;5
8;nublado;190,0;5;900,0;5
9;parcialmente_nublado;190,0;5;1550,0;5
10;ceu_aberto;190,0;5;1050,0;5
11;ceu_aberto;190,0;5;2750,0;5
12;nublado;190,0;5;1550,0;5
13;ceu_aberto;190,0;5;1750,0;5
14;nublado;190,0;5;1600,0;5
15;nublado;190,0;5;1400,0;5
16;nublado;190,0;5;2950,0;5
17;ceu_aberto;190,0;5;1450,0;5
18;nublado;190,0;5;1500,0;5
19;parcialmente_nublado;190,0;5;2200,0;5
20;ceu_aberto;190,0;5;2400,0;5
21;nublado;190,0;5;1750,0;5
22;nublado;190,0;5;1100,0;5
23;ceu_aberto;190,0;5;1900,0;5
24;nublado;190,0;5;1800,0;5
25;nublado;190,0;5;1500,0;5
26;nublado;190,0;5;1650,0;5
27;nublado;190,0;5;2000,0;5
28;parcialmente_nublado;190,0;5;1750,0;5
29;ceu_aberto;190,0;5;1350,0;5
30;parcialmente_nublado;190,0;5;1750,0;5
31;ceu_aberto;190,0;5;1900,0;5
32;parcialmente_nublado;190,0;5;2250,0;5
33;parcialmente_nublado;190,0;5;2150,0;5
34;ceu_aberto;190,0;5;2000,0;5
35;ceu_aberto;190,0;5;2550,0;5
36;parcialmente_nublado;190,0;5;1650,0;5
37;ceu_aberto;190,0;5;2650,0;5
38;nublado;190,0;5;2200,0;5
39;ceu_aberto;190,0;5;950,0;5
40;ceu_aberto;190,0;5;1250,0;5
41;nublado;190,0;5;1000,0;5
42;parcialmente_nublado;190,0;5;1750,0;5
43;parcialmente_nublado;190,0;5;1600,0;5
44;parcialmente_nublado;190,0;5;2200,0;5
45;parcialmente_nublado;190,0;5;2350,0;5
46;parcialmente_nublado;190,0;5;2150,0;5
47;ceu_aberto;190,0;5;1000,0;5
48;ceu_aberto;190,0;5;1350,0;5
49;nublado;190,0;5;2600,0;5
50;parcialmente_nublado;190,0;5;1700,0;5
51;parcialmente_nublado;190,0;5;2650,0;5
52;ceu_aberto;190,0;5;1150,0;5
53;nublado;190,0;5;2100,0;5
54;ceu_aberto;190,0;5;1900,0;5
55;nublado;190,0;5;2200,0;5
56;ceu_aberto;190,0;5;1500,0;5
57;ceu_aberto;190,0;5;2550,0;5
58;ceu_aberto;190,0;5;2300,0;5
59;parcialmente_nublado;190,0;5;1500,0;5
60;parcialmente_nublado;190,0;5;2700,0;5
61;nublado;190,0;5;2550,0;5
62;nublado;190,0;5;2000,0;5
63;nublado;190,0;5;2700,0;5
64;nublado;190,0;5;1500,0;5
65;ceu_aberto;190,0;5;2000,0;5
66;nublado;190,0;5;800,0;5
67;ceu_aberto;190,0;5;1900,0;5
68;ceu_aberto;190,0;5;1700,0;5
69;ceu_aberto;190,0;5;2400,0;5
70;ceu_aberto;190,0;5;2600,0;5
71;parcialmente_nublado;190,0;5;1400,0;5
72;parcialmente_nublado;190,0;5;2150,0;5
73;nublado;190,0;5;2400,0;5
74;parcialmente_nublado;190,0;5;2100,0;5
75;parcialmente_nublado;190,0;5;1750,0;5
76;nublado;190,0;5;2450,0;5
77;nublado;190,0;5;2800,0;5
78;ceu_aberto;190,0;5;1550,0;5
79;parcialmente_nublado;190,0;5;2100,0;5
80;nublado;190,0;5;2000,0;5
81;nublado;190,0;5;2200,0;5
82;ceu_aberto;190,0;5;1750,0;5
83;parcialmente_nublado;190,0;5;2800,0;5
84;parcialmente_nublado;190,0;5;2550,0;5
85;nublado;190,0;5;1950,0;5
86;parcialmente_nublado;190,0;5;2650,0;5
87;parcialmente_nublado;190,0;5;1650,0;5
88;parcialmente_nublado;190,0;5;2050,0;5
89;nublado;190,0;5;1900,0;5
90;ceu_aberto;190,0;5;1450,0;5
91;ceu_aberto;190,0;5;2750,0;5
92;parcialmente_nublado;190,0;5;1100,0;5
93;ceu_aberto;190,0;5;2000,0;5
94;nublado;190,0;5;2000,0;5
95;nublado;190,0;5;2350,0;5
96;parcialmente_nublado;190,0;5;2100,0;5
97;nublado;190,0;5;1950,0;5
98;parcialmente_nublado;190,0;5;1100,0;5
99;ceu_aberto;190,0;5;2500,0;5
100;nublado;190,0;5;1350,0;5
101;parcialmente_nublado;190,0;5;3361,1;5
102;nublado;190,0;5;1500,0;5
103;ceu_aberto;190,0;5;2600,0;5
104;ceu_aberto;190,0;5;2000,0;5
105;nublado;190,0;5;2550,0;5
106;nublado;190,0;5;1900,0;5
107;ceu_aberto;190,0;5;2000,0;5
108;ceu_aberto;190,0;5;1850,0;5
109;ceu_aberto;190,0;5;1850,0;5
110;nublado;190,0;5;1750,0;5
111;nublado;190,0;5;1950,0;5
112;nublado;190,0;5;2100,0;5
113;ceu_aberto;190,0;5;1650,0;5
114;nublado;190,0;5;2800,0;5
115;ceu_aberto;190,0;5;2250,0;5
116;parcialmente_nublado;190,0;5;2150,0;5
117;parcialmente_nublado;190,0;5;1500,0;5
118;parcialmente_nublado;190,0;5;1700,0;5
119;ceu_aberto;190,0;5;2000,0;5
120;ceu_aberto;190,0;5;3200,0;5
121;ceu_aberto;190,0;5;1300,0;5
122;nublado;190,0;5;2200,0;5
123;nublado;190,0;5;2000,0;5
124;nublado;190,0;5;1700,0;5
125;nublado;190,0;5;1500,0;5
126;ceu_aberto;190,0;5;2400,0;5
127;nublado;190,0;5;1750,0;5
128;nublado;190,0;5;1300,0;5
129;parcialmente_nublado;190,0;5;1750,0;5
130;ceu_aberto;190,0;5;2200,0;5
131;ceu_aberto;190,0;5;3050,0;5
132;ceu_aberto;190,0;5;2200,0;5
133;nublado;190,0;5;1550,0;5
134;nublado;190,0;5;1800,0;5
135;parcialmente_nublado;190,0;5;1900,0;5
136;parcialmente_nublado;190,0;5;3361,1;5
137;nublado;190,0;5;1500,0;5
138;nublado;190,0;5;1500,0;5
139;ceu_aberto;190,0;5;2050,0;5
140;parcialmente_nublado;190,0;5;1950,0;5
141;ceu_aberto;190,0;5;850,0;5
142;parcialmente_nublado;190,0;5;1050,0;5
143;ceu_aberto;190,0;5;1850,0;5
144;ceu_aberto;190,0;5;2200,0;5
145;nublado;190,0;5;1400,0;5
146;ceu_aberto;190,0;5;1700,0;5
147;nublado;190,0;5;2450,0;5
148;ceu_aberto;190,0;5;1350,0;5
149;nublado;190,0;5;1350,0;5
150;parcialmente_nublado;190,0;5;2000,0;5
