id_realizacao;tipo_dia;penetracao_pct;pv_unidades;pv_potencia_total_kw;bess_unidades;bess_potencia_total_kw;razao_bess_pv
1;ceu_aberto;110,00000000000001;5;1945,9;5;681,06;0,35
2;ceu_aberto;110,00000000000001;5;1945,89;5;681,07;0,35
3;ceu_aberto;110,00000000000001;5;1945,91;5;681,07;0,35
4;ceu_aberto;110,00000000000001;5;1945,8899999999999;5;681,06;0,35
5;ceu_aberto;110,00000000000001;5;1945,9;5;681,06;0,35
6;ceu_aberto;110,00000000000001;5;1945,9;5;681,06;0,35
7;parcialmente_nublado;110,00000000000001;5;1945,9;5;681,06;0,35
8;ceu_aberto;110,00000000000001;5;1945,9;5;681,06;0,35
9;ceu_aberto;110,00000000000001;5;1945,9;5;681,06;0,35
10;ceu_aberto;110,00000000000001;5;1945,9;5;681,06;0,35
11;ceu_aberto;110,00000000000001;5;1945,9;5;681,07;0,35
12;ceu_aberto;110,00000000000001;5;1945,89;5;681,07;0,35
13;nublado;110,00000000000001;5;1945,9;5;681,06;0,35
14;ceu_aberto;110,00000000000001;5;1945,8899999999999;5;681,06;0,35
15;parcialmente_nublado;110,00000000000001;5;1945,9;5;681,06;0,35
16;ceu_aberto;110,00000000000001;5;1945,91;5;681,07;0,35
17;ceu_aberto;110,00000000000001;5;1945,8899999999999;5;681,07;0,35
18;parcialmente_nublado;110,00000000000001;5;1945,8899999999999;5;681,06;0,35
19;parcialmente_nublado;110,00000000000001;5;1945,9;5;681,06;0,35
20;ceu_aberto;110,00000000000001;5;1945,9099999999999;5;681,07;0,35
21;parcialmente_nublado;110,00000000000001;5;1945,9;5;681,06;0,35
22;parcialmente_nublado;110,00000000000001;5;1945,9;5;681,07;0,35
23;parcialmente_nublado;110,00000000000001;5;1945,9;5;681,07;0,35
24;ceu_aberto;110,00000000000001;5;1945,9;5;681,06;0,35
25;parcialmente_nublado;110,00000000000001;5;1945,9099999999999;5;681,07;0,35
26;ceu_aberto;110,00000000000001;5;1945,91;5;681,08;0,35
27;parcialmente_nublado;110,00000000000001;5;1945,9;5;681,07;0,35
28;ceu_aberto;110,00000000000001;5;1945,8899999999999;5;681,07;0,35
29;parcialmente_nublado;110,00000000000001;5;1945,9;5;681,07;0,35
30;ceu_aberto;110,00000000000001;5;1945,9;5;681,07;0,35
31;ceu_aberto;110,00000000000001;5;1945,9;5;681,07;0,35
32;ceu_aberto;110,00000000000001;5;1945,9;5;681,07;0,35
33;ceu_aberto;110,00000000000001;5;1945,91;5;681,07;0,35
34;ceu_aberto;110,00000000000001;5;1945,9;5;681,06;0,35
35;ceu_aberto;110,00000000000001;5;1945,9;5;681,06;0,35
36;parcialmente_nublado;110,00000000000001;5;1945,9;5;681,06;0,35
37;ceu_aberto;110,00000000000001;5;1945,91;5;681,07;0,35
38;ceu_aberto;110,00000000000001;5;1945,9;5;681,07;0,35
39;parcialmente_nublado;110,00000000000001;5;1945,9;5;681,06;0,35
40;ceu_aberto;110,00000000000001;5;1945,9;5;681,07;0,35
41;ceu_aberto;110,00000000000001;5;1945,9;5;681,05;0,35
42;ceu_aberto;110,00000000000001;5;1945,9;5;681,06;0,35
43;ceu_aberto;110,00000000000001;5;1945,9;5;681,06;0,35
44;ceu_aberto;110,00000000000001;5;1945,9;5;681,06;0,35
45;ceu_aberto;110,00000000000001;5;1945,9;5;681,07;0,35
46;ceu_aberto;110,00000000000001;5;1945,9;5;681,06;0,35
47;nublado;110,00000000000001;5;1945,9;5;681,07;0,35
48;parcialmente_nublado;110,00000000000001;5;1945,9;5;681,06;0,35
49;ceu_aberto;110,00000000000001;5;1945,9;5;681,06;0,35
50;nublado;110,00000000000001;5;1945,9;5;681,06;0,35
51;ceu_aberto;110,00000000000001;5;1945,89;5;681,07;0,35
52;parcialmente_nublado;110,00000000000001;5;1945,9;5;681,07;0,35
53;ceu_aberto;110,00000000000001;5;1945,9;5;681,07;0,35
54;parcialmente_nublado;110,00000000000001;5;1945,9;5;681,06;0,35
55;ceu_aberto;110,00000000000001;5;1945,9;5;681,07;0,35
56;parcialmente_nublado;110,00000000000001;5;1945,9;5;681,07;0,35
57;parcialmente_nublado;110,00000000000001;5;1945,89;5;681,07;0,35
58;parcialmente_nublado;110,00000000000001;5;1945,9;5;681,07;0,35
59;nublado;110,00000000000001;5;1945,9;5;681,07;0,35
60;parcialmente_nublado;110,00000000000001;5;1945,91;5;681,05;0,35
61;parcialmente_nublado;110,00000000000001;5;1945,91;5;681,06;0,35
62;parcialmente_nublado;110,00000000000001;5;1945,9099999999999;5;681,06;0,35
63;parcialmente_nublado;110,00000000000001;5;1945,91;5;681,07;0,35
64;parcialmente_nublado;110,00000000000001;5;1945,9;5;681,07;0,35
65;parcialmente_nublado;110,00000000000001;5;1945,89;5;681,07;0,35
66;parcialmente_nublado;110,00000000000001;5;1945,9;5;681,06;0,35
67;ceu_aberto;110,00000000000001;5;1945,8899999999999;5;681,06;0,35
68;parcialmente_nublado;110,00000000000001;5;1945,9;5;681,07;0,35
69;ceu_aberto;110,00000000000001;5;1945,8899999999999;5;681,06;0,35
70;nublado;110,00000000000001;5;1945,9;5;681,07;0,35
71;ceu_aberto;110,00000000000001;5;1945,91;5;681,05;0,35
72;ceu_aberto;110,00000000000001;5;1945,9099999999999;5;681,07;0,35
73;parcialmente_nublado;110,00000000000001;5;1945,9;5;681,07;0,35
74;nublado;110,00000000000001;5;1945,8899999999999;5;681,07;0,35
75;ceu_aberto;110,00000000000001;5;1945,9;5;681,06;0,35
76;parcialmente_nublado;110,00000000000001;5;1945,9099999999999;5;681,06;0,35
77;ceu_aberto;110,00000000000001;5;1945,91;5;681,06;0,35
78;parcialmente_nublado;110,00000000000001;5;1945,9;5;681,06;0,35
79;nublado;110,00000000000001;5;1945,9099999999999;5;681,06;0,35
