id_realizacao;tipo_dia;pv_unidades;pv_potencia_total_kw;bess_unidades;bess_potencia_total_kw;subtensao_manhã;sobretensao_manhã;subtensao_tarde;sobretensao_tarde;subtensao_noite;sobretensao_noite;subtensao_madrugada;sobretensao_madrugada;subtensao_bess_carga;sobretensao_bess_carga;subtensao_bess_pós_carga_pré_descarga;sobretensao_bess_pós_carga_pré_descarga;subtensao_bess_descarga;sobretensao_bess_descarga;subtensao_bess_fora_de_operacao;sobretensao_bess_fora_de_operacao;horas_com_erro_max_control;horas_com_voltvar_ativo;pen_pct
1;ceu_aberto;5;2122,8;5;742,98;29;7;29;7;2;6;2;0;29;6;1;7;1;6;24;7;0;19;120
2;parcialmente_nublado;5;2122,8;5;742,98;6;7;24;7;2;7;2;0;24;7;1;7;1;7;7;7;0;24;120
3;ceu_aberto;5;2122,8;5;742,99;29;7;29;7;2;6;2;0;29;7;1;7;1;6;25;7;0;19;120
4;nublado;5;2122,79;5;742,98;2;9;3;7;2;8;2;0;3;7;1;7;1;7;2;10;0;21;120
5;parcialmente_nublado;5;2122,81;5;742,98;24;9;2;7;2;7;2;0;24;7;1;7;1;7;2;9;0;24;120
6;parcialmente_nublado;5;2122,8;5;742,99;29;9;29;7;2;6;2;0;29;7;1;7;1;6;2;9;0;24;120
7;parcialmente_nublado;5;2122,81;5;742,98;27;7;3;7;2;6;2;0;27;7;1;7;1;6;9;7;0;24;120
8;nublado;5;2122,8;5;742,9799999999999;1;7;2;7;2;6;2;0;2;6;1;7;1;6;2;7;0;21;120
9;ceu_aberto;5;2122,8;5;742,98;29;7;29;7;2;6;2;0;29;7;1;7;1;6;23;7;0;19;120
10;ceu_aberto;5;2122,8;5;742,98;29;7;29;7;2;6;2;0;29;7;4;7;1;6;15;7;0;19;120
11;nublado;5;2122,8;5;742,98;10;7;1;7;2;7;2;0;2;7;1;6;1;7;11;7;0;21;120
12;parcialmente_nublado;5;2122,8;5;742,98;29;9;26;7;2;6;2;0;29;7;1;7;1;6;3;9;0;24;120
13;ceu_aberto;5;2122,8;5;742,99;29;7;29;7;2;6;2;0;29;7;1;7;1;6;25;7;0;19;120
14;ceu_aberto;5;2122,79;5;742,98;29;7;29;7;2;6;2;0;29;7;1;7;1;6;24;7;0;19;120
15;parcialmente_nublado;5;2122,81;5;742,9799999999999;29;7;29;7;2;7;2;0;29;7;1;7;1;7;2;7;0;24;120
16;ceu_aberto;5;2122,8;5;742,97;29;7;29;7;2;7;2;0;29;7;1;7;1;7;25;7;0;19;120
17;parcialmente_nublado;5;2122,8;5;742,98;24;7;29;7;2;6;2;0;29;7;1;7;1;6;25;7;0;24;120
18;ceu_aberto;5;2122,8;5;742,98;29;7;29;7;2;7;2;0;29;7;1;7;1;7;23;7;0;19;120
19;parcialmente_nublado;5;2122,8;5;742,98;29;7;29;7;2;6;2;0;29;6;1;7;1;6;25;7;0;24;120
20;nublado;5;2122,7999999999997;5;742,98;24;7;2;7;2;6;2;0;2;7;1;7;1;6;25;7;0;21;120
21;parcialmente_nublado;5;2122,8;5;742,98;6;7;29;7;2;7;2;0;29;7;1;7;1;7;7;7;0;24;120
22;ceu_aberto;5;2122,79;5;742,98;29;7;29;7;2;6;2;0;29;7;1;7;1;6;18;7;0;19;120
23;ceu_aberto;5;2122,8;5;742,9699999999999;26;7;24;7;2;6;2;0;26;7;1;7;1;6;23;7;0;19;120
24;nublado;5;2122,8;5;742,99;2;7;1;6;2;6;2;0;2;7;1;6;1;6;2;7;0;21;120
25;ceu_aberto;5;2122,8;5;742,99;29;7;29;7;2;7;2;0;29;6;1;7;1;7;19;7;0;19;120
26;parcialmente_nublado;5;2122,8;5;742,9700000000001;29;7;29;7;2;8;2;0;29;7;1;7;1;8;23;7;0;24;120
27;ceu_aberto;5;2122,79;5;742,98;29;7;26;7;2;6;2;0;29;7;1;7;1;6;13;7;0;19;120
28;ceu_aberto;5;2122,79;5;742,99;29;7;27;7;2;6;2;0;29;7;2;7;1;6;16;7;0;19;120
29;parcialmente_nublado;5;2122,81;5;742,98;29;7;29;8;2;7;2;0;29;7;1;8;1;7;24;7;0;24;120
30;parcialmente_nublado;5;2122,8;5;742,98;29;9;29;7;2;6;2;0;29;6;1;7;1;6;2;9;0;24;120
31;parcialmente_nublado;5;2122,79;5;742,9799999999999;26;7;29;7;2;7;2;0;29;6;1;7;1;7;5;7;0;24;120
32;nublado;5;2122,79;5;742,99;15;7;1;7;2;6;2;0;1;7;1;7;1;6;16;7;0;21;120
33;ceu_aberto;5;2122,8;5;742,98;29;7;29;7;2;6;2;0;29;7;1;7;1;6;24;7;0;19;120
34;ceu_aberto;5;2122,81;5;742,98;29;7;29;7;2;7;2;0;29;7;1;7;1;7;23;7;0;19;120
35;parcialmente_nublado;5;2122,8;5;742,98;23;7;29;7;2;7;2;0;29;7;1;7;1;7;24;7;0;24;120
36;ceu_aberto;5;2122,8;5;742,98;29;7;29;9;2;6;2;0;29;7;1;9;1;6;23;7;0;19;120
37;ceu_aberto;5;2122,81;5;742,9799999999999;29;7;29;7;2;6;2;0;29;7;1;7;1;6;23;7;0;19;120
38;ceu_aberto;5;2122,79;5;742,97;29;7;29;7;2;6;2;0;29;7;1;7;1;6;25;7;0;19;120
39;ceu_aberto;5;2122,8;5;742,98;29;7;29;7;2;6;2;0;29;7;1;7;1;6;24;7;0;19;120
40;ceu_aberto;5;2122,8;5;742,98;29;7;29;7;2;6;2;0;29;6;1;7;1;6;13;7;0;19;120
41;ceu_aberto;5;2122,8;5;742,98;28;7;29;9;2;7;2;0;29;7;1;9;1;7;13;7;0;19;120
42;ceu_aberto;5;2122,8;5;742,98;29;7;29;7;2;7;2;0;29;6;1;7;1;7;7;7;0;19;120
43;parcialmente_nublado;5;2122,8;5;742,97;2;7;29;7;2;6;2;0;29;6;1;7;1;6;2;7;0;24;120
44;ceu_aberto;5;2122,7799999999997;5;742,97;29;7;29;7;2;6;2;0;29;7;1;7;1;6;25;7;0;19;120
45;ceu_aberto;5;2122,81;5;742,99;29;7;29;7;2;6;2;0;29;7;1;7;1;6;23;7;0;19;120
46;ceu_aberto;5;2122,7799999999997;5;742,99;29;7;29;8;2;6;2;0;29;7;1;8;1;6;24;7;0;19;120
