id_realizacao;tipo_dia;penetracao_pct;pv_unidades;pv_potencia_total_kw;bess_unidades;bess_potencia_total_kw;razao_bess_pv
1;nublado;70,0;5;1238,31;5;433,41;0,35
2;ceu_aberto;70,0;5;1238,3;5;433,41;0,35
3;ceu_aberto;70,0;5;1238,31;5;433,4;0,35
4;ceu_aberto;70,0;5;1238,31;5;433,41;0,35
5;ceu_aberto;70,0;5;1238,3;5;433,41;0,35
6;ceu_aberto;70,0;5;1238,3;5;433,39;0,35
7;ceu_aberto;70,0;5;1238,29;5;433,41;0,35
8;ceu_aberto;70,0;5;1238,3;5;433,41;0,35
9;ceu_aberto;70,0;5;1238,3;5;433,42;0,35
10;nublado;70,0;5;1238,3;5;433,4;0,35
11;nublado;70,0;5;1238,3;5;433,41;0,35
12;ceu_aberto;70,0;5;1238,31;5;433,4;0,35
13;parcialmente_nublado;70,0;5;1238,29;5;433,41;0,35
14;ceu_aberto;70,0;5;1238,29;5;433,4;0,35
15;parcialmente_nublado;70,0;5;1238,3;5;433,4;0,35
16;ceu_aberto;70,0;5;1238,3;5;433,4;0,35
17;ceu_aberto;70,0;5;1238,3;5;433,41;0,35
18;nublado;70,0;5;1238,3;5;433,41;0,35
19;parcialmente_nublado;70,0;5;1238,31;5;433,4;0,35
20;ceu_aberto;70,0;5;1238,3;5;433,41;0,35
21;parcialmente_nublado;70,0;5;1238,29;5;433,41;0,35
22;parcialmente_nublado;70,0;5;1238,29;5;433,41;0,35
23;ceu_aberto;70,0;5;1238,3;5;433,41;0,35
24;ceu_aberto;70,0;5;1238,3;5;433,41;0,35
25;parcialmente_nublado;70,0;5;1238,31;5;433,42;0,35
26;ceu_aberto;70,0;5;1238,31;5;433,41;0,35
27;ceu_aberto;70,0;5;1238,29;5;433,41;0,35
28;parcialmente_nublado;70,0;5;1238,31;5;433,41;0,35
29;nublado;70,0;5;1238,29;5;433,41;0,35
30;ceu_aberto;70,0;5;1238,3;5;433,4;0,35
31;parcialmente_nublado;70,0;5;1238,29;5;433,41;0,35
