hora,regulador,tap_pre_voltvar,tap_pos_voltvar
0,creg1a,1.0875,1.0875
0,creg1b,1.0250000000000001,1.0250000000000001
0,creg1c,1.03125,1.03125
0,creg2a,1.08125,1.08125
0,creg2b,1.08125,1.08125
0,creg2c,1.08125,1.08125
1,creg1a,1.0875,1.0875
1,creg1b,1.0250000000000001,1.0250000000000001
1,creg1c,1.03125,1.03125
1,creg2a,1.08125,1.08125
1,creg2b,1.08125,1.08125
1,creg2c,1.08125,1.08125
2,creg1a,1.0875,1.0875
2,creg1b,1.0250000000000001,1.0250000000000001
2,creg1c,1.03125,1.03125
2,creg2a,1.08125,1.08125
2,creg2b,1.08125,1.08125
2,creg2c,1.08125,1.08125
3,creg1a,1.0875,1.0875
3,creg1b,1.0250000000000001,1.0250000000000001
3,creg1c,1.03125,1.03125
3,creg2a,1.08125,1.08125
3,creg2b,1.08125,1.08125
3,creg2c,1.08125,1.08125
4,creg1a,1.0875,1.0875
4,creg1b,1.0250000000000001,1.0250000000000001
4,creg1c,1.03125,1.03125
4,creg2a,1.08125,1.08125
4,creg2b,1.08125,1.08125
4,creg2c,1.08125,1.08125
5,creg1a,1.0875,1.0875
5,creg1b,1.0250000000000001,1.0250000000000001
5,creg1c,1.03125,1.03125
5,creg2a,1.08125,1.08125
5,creg2b,1.08125,1.08125
5,creg2c,1.08125,1.08125
6,creg1a,1.0812499999999998,1.0812499999999998
6,creg1b,1.0250000000000001,1.0250000000000001
6,creg1c,1.03125,1.03125
6,creg2a,1.0625,1.0625
6,creg2b,1.0687499999999999,1.0687499999999999
6,creg2c,1.06875,1.06875
7,creg1a,1.0374999999999999,1.0374999999999999
7,creg1b,1.0,1.0
7,creg1c,0.9937500000000001,0.9937500000000001
7,creg2a,1.0250000000000001,1.0250000000000001
7,creg2b,1.025,1.025
7,creg2c,1.0250000000000001,1.0250000000000001
8,creg1a,0.9937499999999999,0.9937499999999999
8,creg1b,0.9625,0.9625
8,creg1c,0.9562500000000002,0.9562500000000002
8,creg2a,0.9875,0.9875
8,creg2b,0.9999999999999998,0.9999999999999998
8,creg2c,0.99375,0.99375
9,creg1a,0.95,0.95
9,creg1b,0.93125,0.93125
9,creg1c,0.9187500000000002,0.9187500000000002
9,creg2a,0.95625,0.95625
9,creg2b,0.9624999999999998,0.9624999999999998
9,creg2c,0.9625,0.9625
10,creg1a,0.96875,0.96875
10,creg1b,0.94375,0.94375
10,creg1c,0.9375000000000002,0.9375000000000002
10,creg2a,0.99375,0.99375
10,creg2b,0.9999999999999999,0.9999999999999999
10,creg2c,0.9937500000000001,0.9937500000000001
11,creg1a,0.95,0.95
11,creg1b,0.93125,0.93125
11,creg1c,0.9187500000000002,0.9187500000000002
11,creg2a,0.9562499999999999,0.9562499999999999
11,creg2b,0.9624999999999998,0.9624999999999998
11,creg2c,0.95625,0.95625
12,creg1a,0.95,0.95
12,creg1b,0.93125,0.93125
12,creg1c,0.9187500000000002,0.9187500000000002
12,creg2a,0.9562499999999999,0.9562499999999999
12,creg2b,0.9624999999999998,0.9624999999999998
12,creg2c,0.95625,0.95625
13,creg1a,0.9562499999999999,0.9562499999999999
13,creg1b,0.93125,0.93125
13,creg1c,0.9250000000000002,0.9250000000000002
13,creg2a,0.975,0.975
13,creg2b,0.9812499999999997,0.9812499999999997
13,creg2c,0.9750000000000001,0.9750000000000001
14,creg1a,0.9937499999999999,0.9937499999999999
14,creg1b,0.9625,0.9625
14,creg1c,0.9562500000000002,0.9562500000000002
14,creg2a,1.0125,1.0125
14,creg2b,1.0187499999999996,1.0187499999999996
14,creg2c,1.0125,1.0125
15,creg1a,0.98125,0.98125
15,creg1b,0.95625,0.95625
15,creg1c,0.9437500000000002,0.9437500000000002
15,creg2a,0.9874999999999999,0.9874999999999999
15,creg2b,0.9937499999999996,0.9937499999999996
15,creg2c,0.9874999999999999,0.9874999999999999
16,creg1a,1.025,1.025
16,creg1b,0.9875,0.9875
16,creg1c,0.9875000000000002,0.9875000000000002
16,creg2a,1.04375,1.04375
16,creg2b,1.0437499999999995,1.0437499999999995
16,creg2c,1.04375,1.04375
17,creg1a,1.0687499999999999,1.0687499999999999
17,creg1b,1.01875,1.01875
17,creg1c,1.0250000000000004,1.0250000000000004
17,creg2a,1.0812499999999998,1.0812499999999998
17,creg2b,1.0812499999999994,1.0812499999999994
17,creg2c,1.075,1.075
18,creg1a,1.025,1.025
18,creg1b,0.9875,0.9875
18,creg1c,0.9875000000000005,0.9875000000000005
18,creg2a,1.0187499999999998,1.0187499999999998
18,creg2b,1.0249999999999995,1.0249999999999995
18,creg2c,1.0187499999999998,1.0187499999999998
19,creg1a,1.025,1.025
19,creg1b,0.9875,0.9875
19,creg1c,0.9875000000000005,0.9875000000000005
19,creg2a,1.0187499999999998,1.0187499999999998
19,creg2b,1.0249999999999995,1.0249999999999995
19,creg2c,1.0187499999999998,1.0187499999999998
20,creg1a,1.025,1.025
20,creg1b,0.9875,0.9875
20,creg1c,0.9875000000000005,0.9875000000000005
20,creg2a,1.0187499999999998,1.0187499999999998
20,creg2b,1.0249999999999995,1.0249999999999995
20,creg2c,1.0187499999999998,1.0187499999999998
21,creg1a,1.025,1.025
21,creg1b,0.9875,0.9875
21,creg1c,0.9875000000000005,0.9875000000000005
21,creg2a,1.0187499999999998,1.0187499999999998
21,creg2b,1.0249999999999995,1.0249999999999995
21,creg2c,1.0187499999999998,1.0187499999999998
22,creg1a,1.08125,1.08125
22,creg1b,1.03125,1.03125
22,creg1c,1.0312500000000004,1.0312500000000004
22,creg2a,1.0874999999999997,1.0874999999999997
22,creg2b,1.0812499999999994,1.0812499999999994
22,creg2c,1.0874999999999997,1.0874999999999997
23,creg1a,1.08125,1.08125
23,creg1b,1.03125,1.03125
23,creg1c,1.0312500000000004,1.0312500000000004
23,creg2a,1.0874999999999997,1.0874999999999997
23,creg2b,1.0812499999999994,1.0812499999999994
23,creg2c,1.0874999999999997,1.0874999999999997
