hour,der,der_type,q_voltvar_kvar
1,bess_barra860,BESS,0.0
1,bess_barra840,BESS,0.0
1,bess_barra844,BESS,0.0
1,bess_barra848,BESS,0.0
1,bess_barra890,BESS,0.0
1,pv_barra860,PV,0.0
1,pv_barra840,PV,0.0
1,pv_barra844,PV,0.0
1,pv_barra848,PV,0.0
1,pv_barra890,PV,0.0
2,bess_barra860,BESS,0.0
2,bess_barra840,BESS,0.0
2,bess_barra844,BESS,0.0
2,bess_barra848,BESS,0.0
2,bess_barra890,BESS,0.0
2,pv_barra860,PV,0.0
2,pv_barra840,PV,0.0
2,pv_barra844,PV,0.0
2,pv_barra848,PV,0.0
2,pv_barra890,PV,0.0
3,bess_barra860,BESS,-0.0018
3,bess_barra840,BESS,-0.0014
3,bess_barra844,BESS,-0.0033
3,bess_barra848,BESS,-0.006
3,bess_barra890,BESS,0.0
3,pv_barra860,PV,-0.0
3,pv_barra840,PV,-0.0
3,pv_barra844,PV,-0.0
3,pv_barra848,PV,-0.0
3,pv_barra890,PV,0.0
4,bess_barra860,BESS,-0.0018
4,bess_barra840,BESS,-0.0014
4,bess_barra844,BESS,-0.0033
4,bess_barra848,BESS,-0.006
4,bess_barra890,BESS,0.0
4,pv_barra860,PV,-0.0
4,pv_barra840,PV,-0.0
4,pv_barra844,PV,-0.0
4,pv_barra848,PV,-0.0
4,pv_barra890,PV,0.0
5,bess_barra860,BESS,-0.0181
5,bess_barra840,BESS,-0.0207
5,bess_barra844,BESS,-0.0206
5,bess_barra848,BESS,-0.0236
5,bess_barra890,BESS,0.0
5,pv_barra860,PV,-0.0
5,pv_barra840,PV,-0.0
5,pv_barra844,PV,-0.0
5,pv_barra848,PV,-0.0
5,pv_barra890,PV,0.0
6,bess_barra860,BESS,-0.0031
6,bess_barra840,BESS,-0.0029
6,bess_barra844,BESS,-0.005
6,bess_barra848,BESS,-0.0078
6,bess_barra890,BESS,0.0
6,pv_barra860,PV,-0.0
6,pv_barra840,PV,-0.0
6,pv_barra844,PV,-0.0
6,pv_barra848,PV,-0.0
6,pv_barra890,PV,0.0
