hora,regulador,tap_pre_voltvar,tap_pos_voltvar
0,creg1a,1.0875,1.0875
0,creg1b,1.0250000000000001,1.0250000000000001
0,creg1c,1.03125,1.03125
0,creg2a,1.08125,1.08125
0,creg2b,1.08125,1.08125
0,creg2c,1.08125,1.08125
1,creg1a,1.0875,1.0875
1,creg1b,1.0250000000000001,1.0250000000000001
1,creg1c,1.03125,1.03125
1,creg2a,1.08125,1.08125
1,creg2b,1.08125,1.08125
1,creg2c,1.08125,1.08125
2,creg1a,1.0875,1.0875
2,creg1b,1.0250000000000001,1.0250000000000001
2,creg1c,1.03125,1.03125
2,creg2a,1.08125,1.08125
2,creg2b,1.08125,1.08125
2,creg2c,1.08125,1.08125
3,creg1a,1.0875,1.0875
3,creg1b,1.0250000000000001,1.0250000000000001
3,creg1c,1.03125,1.03125
3,creg2a,1.08125,1.08125
3,creg2b,1.08125,1.08125
3,creg2c,1.08125,1.08125
4,creg1a,1.0875,1.0875
4,creg1b,1.0250000000000001,1.0250000000000001
4,creg1c,1.03125,1.03125
4,creg2a,1.08125,1.08125
4,creg2b,1.08125,1.08125
4,creg2c,1.08125,1.08125
5,creg1a,1.0875,1.0875
5,creg1b,1.0250000000000001,1.0250000000000001
5,creg1c,1.03125,1.03125
5,creg2a,1.075,1.075
5,creg2b,1.08125,1.08125
5,creg2c,1.08125,1.08125
6,creg1a,1.0687499999999999,1.0687499999999999
6,creg1b,1.01875,1.01875
6,creg1c,1.0187499999999998,1.0187499999999998
6,creg2a,1.04375,1.04375
6,creg2b,1.05625,1.05625
6,creg2c,1.05,1.05
7,creg1a,1.025,1.025
7,creg1b,0.9875,0.9875
7,creg1c,0.9812499999999998,0.9812499999999998
7,creg2a,1.0062499999999999,1.0062499999999999
7,creg2b,1.0125,1.0125
7,creg2c,1.0125,1.0125
8,creg1a,0.9562499999999999,0.9562499999999999
8,creg1b,0.9375,0.9375
8,creg1c,0.9249999999999998,0.9249999999999998
8,creg2a,0.9624999999999997,0.9624999999999997
8,creg2b,0.9624999999999999,0.9624999999999999
8,creg2c,0.9624999999999999,0.9624999999999999
9,creg1a,0.9249999999999999,0.9249999999999999
9,creg1b,0.90625,0.90625
9,creg1c,0.9,0.9
9,creg2a,0.925,0.925
9,creg2b,0.9374999999999999,0.9374999999999999
9,creg2c,0.925,0.925
10,creg1a,0.9249999999999999,0.9249999999999999
10,creg1b,0.90625,0.90625
10,creg1c,0.9,0.9
10,creg2a,0.9375,0.9375
10,creg2b,0.9499999999999998,0.9499999999999998
10,creg2c,0.9375,0.9375
11,creg1a,0.94375,0.94375
11,creg1b,0.91875,0.91875
11,creg1c,0.9125,0.9125
11,creg2a,0.9625,0.9625
11,creg2b,0.9749999999999999,0.9749999999999999
11,creg2c,0.9625,0.9625
12,creg1a,0.91875,0.91875
12,creg1b,0.9,0.9
12,creg1c,0.9,0.9
12,creg2a,0.925,0.925
12,creg2b,0.9312499999999998,0.9312499999999998
12,creg2c,0.9187500000000001,0.9187500000000001
13,creg1a,0.9375,0.9375
13,creg1b,0.9187500000000001,0.9187500000000001
13,creg1c,0.9125,0.9125
13,creg2a,0.9500000000000001,0.9500000000000001
13,creg2b,0.9624999999999999,0.9624999999999999
13,creg2c,0.9500000000000002,0.9500000000000002
14,creg1a,0.9937499999999999,0.9937499999999999
14,creg1b,0.9625,0.9625
14,creg1c,0.9562499999999999,0.9562499999999999
14,creg2a,1.0125000000000002,1.0125000000000002
14,creg2b,1.0187499999999998,1.0187499999999998
14,creg2c,1.0125000000000002,1.0125000000000002
15,creg1a,0.9562499999999999,0.9562499999999999
15,creg1b,0.9375,0.9375
15,creg1c,0.9249999999999999,0.9249999999999999
15,creg2a,0.9625000000000001,0.9625000000000001
15,creg2b,0.9687499999999998,0.9687499999999998
15,creg2c,0.9625000000000001,0.9625000000000001
16,creg1a,1.01875,1.01875
16,creg1b,0.98125,0.98125
16,creg1c,0.975,0.975
16,creg2a,1.0312500000000002,1.0312500000000002
16,creg2b,1.0374999999999996,1.0374999999999996
16,creg2c,1.0375,1.0375
17,creg1a,1.0625,1.0625
17,creg1b,1.0125,1.0125
17,creg1c,1.0125,1.0125
17,creg2a,1.06875,1.06875
17,creg2b,1.0749999999999995,1.0749999999999995
17,creg2c,1.075,1.075
18,creg1a,0.9999999999999999,0.9999999999999999
18,creg1b,0.96875,0.96875
18,creg1c,0.9625,0.9625
18,creg2a,0.9937499999999999,0.9937499999999999
18,creg2b,0.9999999999999994,0.9999999999999994
18,creg2c,0.9999999999999998,0.9999999999999998
19,creg1a,0.9999999999999999,0.9999999999999999
19,creg1b,0.96875,0.96875
19,creg1c,0.9625,0.9625
19,creg2a,0.9999999999999999,0.9999999999999999
19,creg2b,1.0062499999999994,1.0062499999999994
19,creg2c,0.9999999999999998,0.9999999999999998
20,creg1a,0.9999999999999999,0.9999999999999999
20,creg1b,0.96875,0.96875
20,creg1c,0.9625,0.9625
20,creg2a,0.9999999999999999,0.9999999999999999
20,creg2b,1.0062499999999994,1.0062499999999994
20,creg2c,0.9999999999999998,0.9999999999999998
21,creg1a,0.9999999999999999,0.9999999999999999
21,creg1b,0.96875,0.96875
21,creg1c,0.9625,0.9625
21,creg2a,0.9999999999999999,0.9999999999999999
21,creg2b,1.0062499999999994,1.0062499999999994
21,creg2c,0.9999999999999998,0.9999999999999998
22,creg1a,1.0875,1.0875
22,creg1b,1.0312500000000002,1.0312500000000002
22,creg1c,1.0312500000000002,1.0312500000000002
22,creg2a,1.08125,1.08125
22,creg2b,1.0812499999999994,1.0812499999999994
22,creg2c,1.0874999999999997,1.0874999999999997
23,creg1a,1.0875,1.0875
23,creg1b,1.0312500000000002,1.0312500000000002
23,creg1c,1.0312500000000002,1.0312500000000002
23,creg2a,1.08125,1.08125
23,creg2b,1.0812499999999994,1.0812499999999994
23,creg2c,1.0874999999999997,1.0874999999999997
