hora,der,tipo,barra,v_pre,v_pos,q_kvar,p_inst_kw,q_pct_pinst
0,PV_1_0_barra860,PV,860,1.035019,1.035019,0.0,0.0,
0,PV_1_1_barra840,PV,840,1.034619,1.034619,0.0,0.0,
0,PV_1_2_barra844,PV,844,1.035057,1.035057,0.0,0.0,
0,PV_1_3_barra848,PV,848,1.035072,1.035072,0.0,0.0,
0,PV_1_4_barra890,PV,890,0.923096,0.923096,0.0,0.0,
0,PV_1_5_barra860,PV,860,1.035019,1.035019,0.0,0.0,
0,PV_1_6_barra840,PV,840,1.034619,1.034619,0.0,0.0,
0,PV_1_7_barra844,PV,844,1.035057,1.035057,0.0,0.0,
0,PV_1_8_barra848,PV,848,1.035072,1.035072,0.0,0.0,
0,PV_1_9_barra890,PV,890,0.923096,0.923096,0.0,0.0,
0,BESS_1_0_barra860,BESS,860,1.035019,1.035019,0.0,0.0,
0,BESS_1_1_barra840,BESS,840,1.034619,1.034619,0.0,0.0,
0,BESS_1_2_barra844,BESS,844,1.035057,1.035057,0.0,0.0,
0,BESS_1_3_barra848,BESS,848,1.035072,1.035072,0.0,0.0,
0,BESS_1_4_barra890,BESS,890,0.923096,0.923096,0.0,0.0,
1,PV_1_0_barra860,PV,860,1.035019,1.035019,0.0,0.0,
1,PV_1_1_barra840,PV,840,1.034618,1.034618,0.0,0.0,
1,PV_1_2_barra844,PV,844,1.035057,1.035057,0.0,0.0,
1,PV_1_3_barra848,PV,848,1.035072,1.035072,0.0,0.0,
1,PV_1_4_barra890,PV,890,0.923096,0.923096,0.0,0.0,
1,PV_1_5_barra860,PV,860,1.035019,1.035019,0.0,0.0,
1,PV_1_6_barra840,PV,840,1.034618,1.034618,0.0,0.0,
1,PV_1_7_barra844,PV,844,1.035057,1.035057,0.0,0.0,
1,PV_1_8_barra848,PV,848,1.035072,1.035072,0.0,0.0,
1,PV_1_9_barra890,PV,890,0.923096,0.923096,0.0,0.0,
1,BESS_1_0_barra860,BESS,860,1.035019,1.035019,0.0,0.0,
1,BESS_1_1_barra840,BESS,840,1.034618,1.034618,0.0,0.0,
1,BESS_1_2_barra844,BESS,844,1.035057,1.035057,0.0,0.0,
1,BESS_1_3_barra848,BESS,848,1.035072,1.035072,0.0,0.0,
1,BESS_1_4_barra890,BESS,890,0.923096,0.923096,0.0,0.0,
2,PV_1_0_barra860,PV,860,1.035019,1.035019,0.0,0.0,
2,PV_1_1_barra840,PV,840,1.034618,1.034618,0.0,0.0,
2,PV_1_2_barra844,PV,844,1.035057,1.035057,0.0,0.0,
2,PV_1_3_barra848,PV,848,1.035072,1.035072,0.0,0.0,
2,PV_1_4_barra890,PV,890,0.923096,0.923096,0.0,0.0,
2,PV_1_5_barra860,PV,860,1.035019,1.035019,0.0,0.0,
2,PV_1_6_barra840,PV,840,1.034618,1.034618,0.0,0.0,
2,PV_1_7_barra844,PV,844,1.035057,1.035057,0.0,0.0,
2,PV_1_8_barra848,PV,848,1.035072,1.035072,0.0,0.0,
2,PV_1_9_barra890,PV,890,0.923096,0.923096,0.0,0.0,
2,BESS_1_0_barra860,BESS,860,1.035019,1.035019,0.0,0.0,
2,BESS_1_1_barra840,BESS,840,1.034618,1.034618,0.0,0.0,
2,BESS_1_2_barra844,BESS,844,1.035057,1.035057,0.0,0.0,
2,BESS_1_3_barra848,BESS,848,1.035072,1.035072,0.0,0.0,
2,BESS_1_4_barra890,BESS,890,0.923096,0.923096,0.0,0.0,
3,PV_1_0_barra860,PV,860,1.035019,1.035019,0.0,0.0,
3,PV_1_1_barra840,PV,840,1.034618,1.034618,0.0,0.0,
3,PV_1_2_barra844,PV,844,1.035057,1.035057,0.0,0.0,
3,PV_1_3_barra848,PV,848,1.035072,1.035072,0.0,0.0,
3,PV_1_4_barra890,PV,890,0.923096,0.923096,0.0,0.0,
3,PV_1_5_barra860,PV,860,1.035019,1.035019,0.0,0.0,
3,PV_1_6_barra840,PV,840,1.034618,1.034618,0.0,0.0,
3,PV_1_7_barra844,PV,844,1.035057,1.035057,0.0,0.0,
3,PV_1_8_barra848,PV,848,1.035072,1.035072,0.0,0.0,
3,PV_1_9_barra890,PV,890,0.923096,0.923096,0.0,0.0,
3,BESS_1_0_barra860,BESS,860,1.035019,1.035019,0.0,0.0,
3,BESS_1_1_barra840,BESS,840,1.034618,1.034618,0.0,0.0,
3,BESS_1_2_barra844,BESS,844,1.035057,1.035057,0.0,0.0,
3,BESS_1_3_barra848,BESS,848,1.035072,1.035072,0.0,0.0,
3,BESS_1_4_barra890,BESS,890,0.923096,0.923096,0.0,0.0,
4,PV_1_0_barra860,PV,860,1.035057,1.035056,-0.0019,0.0233,-8.21
4,PV_1_1_barra840,PV,840,1.034656,1.034655,-0.0013,0.016,-8.07
4,PV_1_2_barra844,PV,844,1.035094,1.035093,-0.0018,0.0213,-8.32
4,PV_1_3_barra848,PV,848,1.03511,1.035109,-0.0019,0.0223,-8.51
4,PV_1_4_barra890,PV,890,0.923134,0.923134,0.0068,0.0233,29.18
4,PV_1_5_barra860,PV,860,1.035057,1.035056,-0.0005,0.0063,-8.21
4,PV_1_6_barra840,PV,840,1.034656,1.034655,-0.0006,0.0078,-8.07
4,PV_1_7_barra844,PV,844,1.035094,1.035093,-0.0006,0.0078,-8.32
4,PV_1_8_barra848,PV,848,1.03511,1.035109,-0.0006,0.0075,-8.51
4,PV_1_9_barra890,PV,890,0.923134,0.923134,0.0023,0.0078,29.18
4,BESS_1_0_barra860,BESS,860,1.035057,1.035056,0.0,0.0,
4,BESS_1_1_barra840,BESS,840,1.034656,1.034655,0.0,0.0,
4,BESS_1_2_barra844,BESS,844,1.035094,1.035093,0.0,0.0,
4,BESS_1_3_barra848,BESS,848,1.03511,1.035109,0.0,0.0,
4,BESS_1_4_barra890,BESS,890,0.923134,0.923134,0.0,0.0,
5,PV_1_0_barra860,PV,860,1.036126,1.036075,-0.0607,0.6745,-9.0
5,PV_1_1_barra840,PV,840,1.035729,1.035678,-0.041,0.4628,-8.86
5,PV_1_2_barra844,PV,844,1.036162,1.036111,-0.0563,0.6181,-9.1
5,PV_1_3_barra848,PV,848,1.036185,1.036134,-0.0602,0.647,-9.3
5,PV_1_4_barra890,PV,890,0.924247,0.92421,0.1924,0.6756,28.48
5,PV_1_5_barra860,PV,860,1.036126,1.036075,-0.0165,0.1833,-9.0
5,PV_1_6_barra840,PV,840,1.035729,1.035678,-0.0199,0.2251,-8.86
5,PV_1_7_barra844,PV,844,1.036162,1.036111,-0.0205,0.2258,-9.1
5,PV_1_8_barra848,PV,848,1.036185,1.036134,-0.0202,0.2174,-9.3
5,PV_1_9_barra890,PV,890,0.924247,0.92421,0.0643,0.2257,28.48
5,BESS_1_0_barra860,BESS,860,1.036126,1.036075,0.0,0.0,
5,BESS_1_1_barra840,BESS,840,1.035729,1.035678,0.0,0.0,
5,BESS_1_2_barra844,BESS,844,1.036162,1.036111,0.0,0.0,
5,BESS_1_3_barra848,BESS,848,1.036185,1.036134,0.0,0.0,
5,BESS_1_4_barra890,BESS,890,0.924247,0.92421,0.0,0.0,
6,PV_1_0_barra860,PV,860,1.039984,1.039105,-0.9354,10.3498,-9.04
6,PV_1_1_barra840,PV,840,1.039652,1.03877,-0.6378,7.1018,-8.98
6,PV_1_2_barra844,PV,844,1.04001,1.039131,-0.8626,9.4852,-9.09
6,PV_1_3_barra848,PV,848,1.04013,1.039246,-0.9305,9.9288,-9.37
6,PV_1_4_barra890,PV,890,0.926507,0.925708,2.8071,10.3667,27.08
6,PV_1_5_barra860,PV,860,1.039984,1.039105,-0.2543,2.8133,-9.04
6,PV_1_6_barra840,PV,840,1.039652,1.03877,-0.3102,3.4541,-8.98
6,PV_1_7_barra844,PV,844,1.04001,1.039131,-0.3151,3.4643,-9.09
6,PV_1_8_barra848,PV,848,1.04013,1.039246,-0.3126,3.3357,-9.37
6,PV_1_9_barra890,PV,890,0.926507,0.925708,0.9378,3.4634,27.08
6,BESS_1_0_barra860,BESS,860,1.039984,1.039105,0.0,0.0,
6,BESS_1_1_barra840,BESS,840,1.039652,1.03877,0.0,0.0,
6,BESS_1_2_barra844,BESS,844,1.04001,1.039131,0.0,0.0,
6,BESS_1_3_barra848,BESS,848,1.04013,1.039246,0.0,0.0,
6,BESS_1_4_barra890,BESS,890,0.926507,0.925708,0.0,0.0,
7,PV_1_0_barra860,PV,860,1.03178,1.030636,-1.2435,50.5396,-2.46
7,PV_1_1_barra840,PV,840,1.031975,1.030825,-0.8826,34.6789,-2.55
7,PV_1_2_barra844,PV,844,1.031833,1.030688,-1.1738,46.3175,-2.53
7,PV_1_3_barra848,PV,848,1.032589,1.031423,-1.483,48.484,-3.06
7,PV_1_4_barra890,PV,890,0.914086,0.91345,17.6219,50.6222,34.81
7,PV_1_5_barra860,PV,860,1.03178,1.030636,-0.338,13.7377,-2.46
7,PV_1_6_barra840,PV,840,1.031975,1.030825,-0.4293,16.8668,-2.55
7,PV_1_7_barra844,PV,844,1.031833,1.030688,-0.4287,16.9168,-2.53
7,PV_1_8_barra848,PV,848,1.032589,1.031423,-0.4982,16.2888,-3.06
7,PV_1_9_barra890,PV,890,0.914086,0.91345,5.8873,16.9125,34.81
7,BESS_1_0_barra860,BESS,860,1.03178,1.030636,0.0,0.0,
7,BESS_1_1_barra840,BESS,840,1.031975,1.030825,0.0,0.0,
7,BESS_1_2_barra844,BESS,844,1.031833,1.030688,0.0,0.0,
7,BESS_1_3_barra848,BESS,848,1.032589,1.031423,0.0,0.0,
7,BESS_1_4_barra890,BESS,890,0.914086,0.91345,0.0,0.0,
