id_realizacao;tipo_dia;h00;h01;h02;h03;h04;h05;h06;h07;h08;h09;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23
1;parcialmente_nublado;0,001;0,001;0,001;0,001;0,0008;0,0042;0,0479;0,1744;0,3565;0,6337;0,653;0,7949;0,7853;0,5394;0,5232;0,356;0,1839;0,055;0,0058;0,0007;0,0005;0,0004;0,0004;0,0005
2;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,003;0,046;0,2104;0,431;0,7365;0,8085;1,0;0,9912;0,9255;0,6478;0,4936;0,2148;0,0484;0,0021;0,0003;0,0;0,0;0,0;0,0001
3;parcialmente_nublado;0,001;0,0009;0,0013;0,0013;0,0007;0,0048;0,0518;0,1971;0,3523;0,5633;0,7823;0,7894;0,6811;0,8118;0,5388;0,3762;0,1943;0,0648;0,0054;0,0009;0,0006;0,0004;0,0004;0,0004
4;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,003;0,0485;0,2048;0,4385;0,7038;0,9557;1,0;0,992;0,9086;0,7776;0,5245;0,2232;0,0504;0,002;0,0002;0,0;0,0;0,0;0,0001
5;nublado;0,0006;0,0;0,0;0,0001;0,0;0,0139;0,0926;0,2413;0,4369;0,5575;0,6197;0,6841;0,538;0,7497;0,4424;0,2097;0,1493;0,058;0,0043;0,0;0,0002;0,0016;0,0009;0,0021
6;parcialmente_nublado;0,0011;0,0009;0,001;0,0011;0,0008;0,0044;0,0525;0,1517;0,4128;0,4952;0,8804;0,7314;0,8711;0,6869;0,6302;0,3754;0,1721;0,0512;0,0055;0,0009;0,0006;0,0003;0,0003;0,0004
7;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0032;0,0414;0,2245;0,4527;0,738;0,8564;1,0;0,9054;0,8828;0,716;0,4801;0,2518;0,0478;0,0022;0,0003;0,0;0,0;0,0;0,0001
8;nublado;0,0004;0,0;0,0;0,0001;0,0;0,0073;0,0907;0,2722;0,4202;0,6216;0,667;0,5959;0,5319;0,5238;0,5292;0,4545;0,157;0,0336;0,0046;0,0;0,0002;0,0019;0,0013;0,0019
9;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0118;0,0804;0,2676;0,3978;0,5973;0,688;0,7466;0,6779;0,5748;0,4584;0,3946;0,1542;0,0598;0,0041;0,0;0,0003;0,0015;0,0019;0,0006
10;nublado;0,0007;0,0;0,0;0,0001;0,0;0,0137;0,0863;0,2099;0,54;0,4292;0,7389;0,5885;0,5154;0,5583;0,5214;0,4136;0,155;0,0548;0,0054;0,0;0,0002;0,0015;0,002;0,0014
11;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0115;0,0664;0,2498;0,4624;0,4008;0,5364;0,7361;0,6454;0,559;0,5009;0,4734;0,1756;0,0639;0,0027;0,0;0,0002;0,0015;0,0019;0,0022
