id_realizacao;tipo_dia;h00;h01;h02;h03;h04;h05;h06;h07;h08;h09;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23
1;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0021;0,0504;0,2446;0,441;0,7189;0,9442;0,9849;1,0;0,8422;0,6382;0,5333;0,2885;0,0479;0,0021;0,0003;0,0;0,0;0,0;0,0001
2;parcialmente_nublado;0,0009;0,0008;0,0011;0,0011;0,0007;0,0045;0,0517;0,1835;0,3926;0,7353;0,8534;0,7137;0,9055;0,8293;0,661;0,3352;0,1703;0,0477;0,004;0,0009;0,0006;0,0004;0,0004;0,0004
3;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0111;0,0988;0,2539;0,3883;0,5177;0,6844;0,5753;0,7068;0,6031;0,438;0,2566;0,1865;0,0571;0,004;0,0;0,0002;0,0013;0,0015;0,0019
4;parcialmente_nublado;0,0009;0,0011;0,0011;0,0012;0,0008;0,0039;0,0491;0,2027;0,4013;0,5494;0,7963;0,8824;0,8119;0,6602;0,5255;0,465;0,2091;0,0579;0,0046;0,0008;0,0007;0,0004;0,0004;0,0004
5;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0114;0,0867;0,3253;0,3851;0,4675;0,7007;0,8336;0,6204;0,6262;0,6087;0,3203;0,176;0,056;0,0039;0,0;0,0002;0,0014;0,0017;0,0018
6;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0087;0,0878;0,2337;0,4458;0,5972;0,6182;0,6951;0,7667;0,6606;0,5035;0,4201;0,1755;0,0509;0,0041;0,0;0,0002;0,0015;0,0017;0,0018
7;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0128;0,0821;0,2713;0,3965;0,6203;0,6705;0,6952;0,5761;0,7357;0,5509;0,3413;0,1807;0,0527;0,0035;0,0;0,0002;0,0014;0,0018;0,0021
8;parcialmente_nublado;0,0012;0,001;0,0013;0,0011;0,0008;0,0043;0,0561;0,1803;0,5281;0,694;0,7376;0,6635;1,0;0,7051;0,6045;0,4008;0,1528;0,0536;0,0046;0,0008;0,0006;0,0004;0,0004;0,0004
9;parcialmente_nublado;0,001;0,0008;0,0013;0,0011;0,001;0,004;0,0511;0,1943;0,4377;0,6578;0,8616;1,0;0,9237;0,6819;0,5354;0,4049;0,1938;0,0588;0,006;0,0009;0,0005;0,0005;0,0004;0,0004
10;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0025;0,0439;0,1805;0,4927;0,7469;0,9126;0,9302;1,0;1,0;0,8585;0,6138;0,1673;0,0532;0,0024;0,0003;0,0;0,0;0,0;0,0001
11;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0116;0,0925;0,21;0,4968;0,5074;0,6761;0,7493;0,5884;0,6634;0,5001;0,3618;0,2042;0,0512;0,0041;0,0;0,0002;0,0018;0,0017;0,0015
12;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0029;0,0486;0,1809;0,4037;0,6743;0,9402;0,9593;1,0;1,0;0,7175;0,4618;0,2447;0,0509;0,002;0,0002;0,0;0,0;0,0;0,0001
13;parcialmente_nublado;0,001;0,0011;0,001;0,0013;0,0008;0,0044;0,0522;0,1602;0,3764;0,6521;0,7808;1,0;0,9292;0,7964;0,6787;0,3381;0,2176;0,0493;0,0053;0,001;0,0005;0,0004;0,0004;0,0005
14;nublado;0,0006;0,0;0,0;0,0001;0,0;0,0128;0,0808;0,2728;0,3895;0,4861;0,5744;0,7265;0,6135;0,7071;0,3967;0,3027;0,1997;0,0484;0,0049;0,0;0,0002;0,0016;0,0017;0,0017
15;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0032;0,0417;0,2142;0,5286;0,7487;1,0;1,0;0,8972;0,9543;0,6465;0,3834;0,207;0,0506;0,0019;0,0003;0,0;0,0;0,0;0,0001
16;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0031;0,0508;0,1789;0,4406;0,7426;0,6612;0,985;0,7641;0,776;0,6243;0,4604;0,245;0,0455;0,0021;0,0003;0,0;0,0;0,0;0,0001
17;parcialmente_nublado;0,0011;0,001;0,0011;0,0012;0,0007;0,0043;0,0455;0,2153;0,4415;0,5805;0,799;0,7738;0,8696;0,7328;0,7104;0,441;0,1671;0,0603;0,005;0,001;0,0006;0,0004;0,0003;0,0004
