id_realizacao;tipo_dia;pv_unidades;pv_potencia_total_kw;bess_unidades;bess_potencia_total_kw;defeitos_manhã;defeitos_tarde;defeitos_noite;defeitos_madrugada;horas_com_erro_max_control;pen_pct
1;parcialmente_nublado;2;350,0;4;655,87;1;1;1;1;0;20
2;nublado;2;353,8;4;629,9200000000001;1;1;1;1;0;20
3;parcialmente_nublado;2;353,8;4;505,18;1;1;1;1;0;20
4;ceu_aberto;1;353,8;4;653,4300000000001;1;1;1;1;0;20
5;parcialmente_nublado;2;353,8;4;650,78;1;1;1;1;0;20
6;parcialmente_nublado;3;353,8;4;499,61;1;1;1;1;0;20
7;ceu_aberto;1;353,8;4;503,95;1;1;1;1;0;20
8;ceu_aberto;2;353,8;4;666,2;1;1;1;1;0;20
9;parcialmente_nublado;1;353,8;4;532,5899999999999;1;1;1;1;0;20
10;parcialmente_nublado;1;353,8;4;589,19;1;1;1;1;0;20
11;nublado;1;350,0;4;548,0899999999999;1;1;1;1;0;20
12;nublado;2;353,8;4;565,11;1;1;1;1;0;20
13;nublado;1;353,8;4;423,26;1;1;1;1;0;20
14;parcialmente_nublado;1;353,8;4;460,22999999999996;1;1;1;1;0;20
15;nublado;1;353,8;4;730,3700000000001;1;1;1;1;0;20
16;nublado;1;353,8;4;649,89;1;2;1;1;0;20
17;ceu_aberto;1;353,8;4;552,1999999999999;1;1;1;1;0;20
18;nublado;1;353,8;4;810,49;1;2;5;1;0;20
19;ceu_aberto;3;353,8;4;653,4300000000001;1;1;1;1;0;20
20;parcialmente_nublado;1;353,8;4;665,46;1;1;1;1;0;20
21;parcialmente_nublado;1;350,0;4;510,07000000000005;1;1;1;1;0;20
22;ceu_aberto;1;353,8;4;834,1;1;1;1;1;0;20
23;ceu_aberto;1;353,8;4;672,3700000000001;1;1;1;1;0;20
24;ceu_aberto;2;353,8;4;717,0300000000001;1;1;1;1;0;20
25;ceu_aberto;3;353,8;4;539,0899999999999;1;1;1;1;0;20
26;ceu_aberto;2;353,8;4;691,97;1;1;1;1;0;20
27;nublado;1;353,8;4;752,08;1;2;2;1;0;20
28;parcialmente_nublado;3;353,8;4;545,97;1;1;1;1;0;20
29;ceu_aberto;2;353,8;4;599,78;1;1;1;1;0;20
30;ceu_aberto;1;353,8;4;710,66;1;1;1;1;0;20
31;nublado;2;353,8;4;621,05;1;1;1;1;0;20
32;parcialmente_nublado;3;353,8;4;590,5899999999999;1;1;1;1;0;20
33;nublado;3;353,8;4;620,67;1;1;1;1;0;20
34;nublado;1;353,8;4;678,5000000000001;1;1;1;1;0;20
35;nublado;2;353,8;4;534,44;1;1;1;1;0;20
36;parcialmente_nublado;1;353,8;4;401,40999999999997;1;1;1;1;0;20
37;ceu_aberto;2;353,8;4;725,3000000000001;1;1;1;1;0;20
38;parcialmente_nublado;3;353,8;4;805,1300000000001;1;1;1;1;0;20
39;ceu_aberto;1;353,8;4;552,72;1;1;1;1;0;20
40;parcialmente_nublado;1;353,8;4;409,3;1;1;1;1;0;20
41;nublado;1;353,8;4;508,54;1;1;1;1;0;20
42;parcialmente_nublado;1;353,8;4;671,77;1;1;1;1;0;20
43;parcialmente_nublado;1;353,8;4;440,33;1;1;1;1;0;20
44;nublado;1;353,8;4;604,0699999999999;1;1;1;1;0;20
45;nublado;1;353,8;4;345,29;1;1;1;1;0;20
46;parcialmente_nublado;1;353,8;4;627,74;1;1;1;1;0;20
47;parcialmente_nublado;1;353,8;4;750,0400000000001;1;1;1;1;0;20
48;nublado;1;353,8;4;562,1400000000001;1;1;1;1;0;20
49;ceu_aberto;1;353,8;4;625,07;1;1;1;1;0;20
50;ceu_aberto;2;353,8;4;821,6700000000001;1;1;1;1;0;20
