id_realizacao;tipo_dia;h00;h01;h02;h03;h04;h05;h06;h07;h08;h09;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23
1;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0103;0,0885;0,2398;0,4654;0,5271;0,6621;0,6512;0,5182;0,4908;0,4926;0,4173;0,2202;0,0604;0,0043;0,0;0,0002;0,0015;0,0015;0,0019
2;parcialmente_nublado;0,0011;0,0008;0,0011;0,0011;0,0011;0,0045;0,0571;0,1562;0,3576;0,606;0,7699;0,9075;0,8143;0,7874;0,6026;0,3328;0,1523;0,0514;0,0056;0,0008;0,0005;0,0004;0,0003;0,0004
3;nublado;0,0006;0,0;0,0;0,0001;0,0;0,0131;0,0895;0,2328;0,4667;0,5504;0,6813;0,5241;0,7817;0,5564;0,4014;0,307;0,2195;0,0535;0,0044;0,0;0,0002;0,0015;0,0015;0,0016
4;nublado;0,0005;0,0;0,0;0,0001;0,0;0,011;0,0903;0,2953;0,4214;0,5008;0,6283;0,6728;0,7209;0,6899;0,4992;0,2809;0,1739;0,0429;0,0032;0,0;0,0002;0,0012;0,0019;0,0018
5;nublado;0,0004;0,0;0,0;0,0001;0,0;0,0115;0,0763;0,2611;0,4491;0,4021;0,7177;0,6625;0,5115;0,5525;0,4813;0,3813;0,1956;0,0478;0,0034;0,0;0,0002;0,0012;0,0015;0,002
6;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0029;0,0543;0,2072;0,4729;0,5153;0,7482;0,9521;0,9038;0,9415;0,7533;0,4639;0,2453;0,0455;0,0023;0,0002;0,0;0,0;0,0;0,0001
7;nublado;0,0006;0,0;0,0;0,0001;0,0;0,0104;0,0776;0,2789;0,4749;0,448;0,5836;0,7073;0,5246;0,6225;0,4987;0,4196;0,2358;0,053;0,0039;0,0;0,0002;0,0016;0,0014;0,0018
8;ceu_aberto;0,0;0,0;0,0;0,0;0,0001;0,0024;0,0493;0,1911;0,4731;0,6599;0,9062;1,0;0,9815;0,7789;0,6494;0,5294;0,2379;0,0479;0,0017;0,0003;0,0;0,0;0,0;0,0001
9;nublado;0,0005;0,0;0,0;0,0001;0,0;0,0123;0,0896;0,2454;0,4487;0,5064;0,6415;0,537;0,5825;0,5443;0,4969;0,2837;0,1885;0,0532;0,0043;0,0;0,0002;0,0017;0,0017;0,002
10;parcialmente_nublado;0,001;0,001;0,0011;0,001;0,0008;0,0042;0,0521;0,1973;0,4084;0,436;0,7806;0,9148;0,8321;0,7051;0,6705;0,3417;0,2027;0,0485;0,0043;0,0008;0,0005;0,0004;0,0004;0,0004
11;nublado;0,0006;0,0;0,0;0,0001;0,0;0,0123;0,0897;0,3327;0,4287;0,556;0,8008;0,6638;0,7623;0,5235;0,5456;0,3713;0,1915;0,0537;0,0039;0,0;0,0002;0,0015;0,0019;0,0016
