Hora,Barra,Fase,V (p.u.),Ângulo (°),kV base
10,SOURCEBUS,1,1.05,30.0,39.837
10,SOURCEBUS,2,1.05,-90.0,39.837
10,SOURCEBUS,3,1.05,150.0,39.837
10,800,1,1.05,-0.0,14.376
10,800,2,1.05,-120.0,14.376
10,800,3,1.05,120.0,14.376
10,802,1,1.0474,-0.05,14.376
10,802,2,1.0484,-120.07,14.376
10,802,3,1.0484,119.95,14.376
10,806,1,1.0457,-0.09,14.376
10,806,2,1.0475,-120.11,14.376
10,806,3,1.0474,119.91,14.376
10,808,1,1.0135,-0.77,14.376
10,808,2,1.0299,-120.95,14.376
10,808,3,1.0287,119.3,14.376
10,810,2,1.0297,-120.96,14.376
10,812,1,0.9761,-1.62,14.376
10,812,2,1.0106,-121.93,14.376
10,812,3,1.0066,118.58,14.376
10,814,1,0.9464,-2.32,14.376
10,814,2,0.9953,-122.71,14.376
10,814,3,0.989,118.0,14.376
10,814R,1,1.029,-2.34,14.376
10,814R,2,1.02,-122.72,14.376
10,814R,3,1.0198,117.98,14.376
10,850,1,1.0289,-2.34,14.376
10,850,2,1.02,-122.73,14.376
10,850,3,1.0198,117.98,14.376
10,816,1,1.0286,-2.35,14.376
10,816,2,1.0198,-122.73,14.376
10,816,3,1.0195,117.98,14.376
10,818,1,1.0276,-2.35,14.376
10,824,1,1.0195,-2.46,14.376
10,824,2,1.0103,-122.96,14.376
10,824,3,1.0111,117.72,14.376
10,820,1,1.0042,-2.41,14.376
10,822,1,1.0012,-2.41,14.376
10,826,2,1.0101,-122.96,14.376
10,828,1,1.0188,-2.47,14.376
10,828,2,1.0096,-122.98,14.376
10,828,3,1.0104,117.7,14.376
10,830,1,1.001,-2.73,14.376
10,830,2,0.9927,-123.43,14.376
10,830,3,0.9933,117.2,14.376
10,854,1,1.0005,-2.74,14.376
10,854,2,0.9922,-123.44,14.376
10,854,3,0.9929,117.19,14.376
10,832,1,1.0486,-3.23,14.376
10,832,2,1.0405,-124.26,14.376
10,832,3,1.0413,116.26,14.376
10,858,1,1.0463,-3.29,14.376
10,858,2,1.0382,-124.35,14.376
10,858,3,1.0392,116.15,14.376
10,834,1,1.0436,-3.36,14.376
10,834,2,1.0354,-124.46,14.376
10,834,3,1.0366,116.02,14.376
10,860,1,1.0431,-3.35,14.376
10,860,2,1.035,-124.46,14.376
10,860,3,1.0363,116.02,14.376
10,842,1,1.0435,-3.36,14.376
10,842,2,1.0354,-124.47,14.376
10,842,3,1.0366,116.01,14.376
10,836,1,1.0429,-3.35,14.376
10,836,2,1.0347,-124.46,14.376
10,836,3,1.0361,116.02,14.376
10,840,1,1.0429,-3.35,14.376
10,840,2,1.0346,-124.46,14.376
10,840,3,1.0361,116.02,14.376
10,862,1,1.0429,-3.35,14.376
10,862,2,1.0346,-124.46,14.376
10,862,3,1.0361,116.02,14.376
10,844,1,1.0433,-3.39,14.376
10,844,2,1.0351,-124.49,14.376
10,844,3,1.0364,115.99,14.376
10,846,1,1.0436,-3.43,14.376
10,846,2,1.035,-124.54,14.376
10,846,3,1.0367,115.94,14.376
10,848,1,1.0436,-3.44,14.376
10,848,2,1.0351,-124.54,14.376
10,848,3,1.0367,115.93,14.376
10,852R,1,1.0486,-3.23,14.376
10,852R,2,1.0405,-124.26,14.376
10,852R,3,1.0414,116.26,14.376
10,888,1,1.0122,-4.73,2.402
10,888,2,1.0043,-125.8,2.402
10,888,3,1.0053,114.74,2.402
10,856,2,0.9921,-123.45,14.376
10,852,1,0.9699,-3.21,14.376
10,852,2,0.9624,-124.24,14.376
10,852,3,0.9632,116.27,14.376
10,864,1,1.0463,-3.29,14.376
10,838,2,1.0345,-124.46,14.376
10,890,1,0.9292,-5.28,2.402
10,890,2,0.9296,-126.83,2.402
10,890,3,0.9231,113.91,2.402
