id_realizacao;tipo_dia;unidade_pv;barra;potencia_kw
1;ceu_aberto;1;27;884,5
2;nublado;1;25;550,0
2;nublado;2;18;150,0
2;nublado;3;3;100,0
2;nublado;4;20;84,5
3;parcialmente_nublado;1;17;100,0
3;parcialmente_nublado;2;5;550,0
3;parcialmente_nublado;3;29;50,0
3;parcialmente_nublado;4;13;184,5
4;ceu_aberto;1;23;450,0
4;ceu_aberto;2;5;250,0
4;ceu_aberto;3;14;150,0
4;ceu_aberto;4;15;34,5
5;parcialmente_nublado;1;4;450,0
5;parcialmente_nublado;2;25;434,5
6;nublado;1;25;100,0
6;nublado;2;9;350,0
6;nublado;3;28;100,0
6;nublado;4;6;50,0
6;nublado;5;31;150,0
6;nublado;6;8;134,5
7;parcialmente_nublado;1;32;200,0
7;parcialmente_nublado;2;10;550,0
7;parcialmente_nublado;3;16;134,5
8;nublado;1;10;400,0
8;nublado;2;12;400,0
8;nublado;3;19;84,5
9;ceu_aberto;1;9;700,0
9;ceu_aberto;2;7;50,0
9;ceu_aberto;3;24;134,5
10;parcialmente_nublado;1;7;450,0
10;parcialmente_nublado;2;13;434,5
11;parcialmente_nublado;1;21;450,0
11;parcialmente_nublado;2;24;434,5
12;nublado;1;18;750,0
12;nublado;2;23;50,0
12;nublado;3;10;84,5
13;parcialmente_nublado;1;17;500,0
13;parcialmente_nublado;2;28;384,5
14;ceu_aberto;1;17;50,0
14;ceu_aberto;2;5;350,0
14;ceu_aberto;3;16;484,5
15;parcialmente_nublado;1;13;50,0
15;parcialmente_nublado;2;10;150,0
15;parcialmente_nublado;3;7;650,0
15;parcialmente_nublado;4;4;34,5
16;parcialmente_nublado;1;6;50,0
16;parcialmente_nublado;2;1;500,0
16;parcialmente_nublado;3;30;334,5
17;parcialmente_nublado;1;6;200,0
17;parcialmente_nublado;2;25;684,5
18;ceu_aberto;1;5;800,0
18;ceu_aberto;2;16;84,5
19;parcialmente_nublado;1;32;450,0
19;parcialmente_nublado;2;33;434,5
20;nublado;1;17;300,0
20;nublado;2;29;584,5
21;ceu_aberto;1;8;50,0
21;ceu_aberto;2;24;50,0
21;ceu_aberto;3;21;400,0
21;ceu_aberto;4;22;384,5
22;parcialmente_nublado;1;26;150,0
22;parcialmente_nublado;2;2;50,0
22;parcialmente_nublado;3;33;350,0
22;parcialmente_nublado;4;17;334,5
23;nublado;1;8;550,0
23;nublado;2;32;50,0
23;nublado;3;32;284,5
24;ceu_aberto;1;24;500,0
24;ceu_aberto;2;23;350,0
24;ceu_aberto;3;11;34,5
25;nublado;1;9;800,0
25;nublado;2;24;84,5
26;parcialmente_nublado;1;12;150,0
26;parcialmente_nublado;2;9;200,0
26;parcialmente_nublado;3;20;500,0
26;parcialmente_nublado;4;34;34,5
27;ceu_aberto;1;30;350,0
27;ceu_aberto;2;26;534,5
28;ceu_aberto;1;21;550,0
28;ceu_aberto;2;5;334,5
29;ceu_aberto;1;9;884,5
30;parcialmente_nublado;1;15;350,0
30;parcialmente_nublado;2;18;450,0
30;parcialmente_nublado;3;19;84,5
31;ceu_aberto;1;31;100,0
31;ceu_aberto;2;8;450,0
31;ceu_aberto;3;1;50,0
31;ceu_aberto;4;25;200,0
31;ceu_aberto;5;34;84,5
32;nublado;1;14;150,0
32;nublado;2;19;400,0
32;nublado;3;19;100,0
32;nublado;4;32;100,0
32;nublado;5;5;134,5
33;nublado;1;26;50,0
33;nublado;2;13;250,0
33;nublado;3;25;300,0
33;nublado;4;24;284,5
34;nublado;1;20;200,0
34;nublado;2;1;50,0
34;nublado;3;2;550,0
34;nublado;4;7;84,5
35;ceu_aberto;1;33;650,0
35;ceu_aberto;2;15;50,0
35;ceu_aberto;3;11;50,0
35;ceu_aberto;4;15;134,5
36;nublado;1;32;100,0
36;nublado;2;24;250,0
36;nublado;3;23;50,0
36;nublado;4;17;50,0
36;nublado;5;27;400,0
36;nublado;6;30;34,5
37;ceu_aberto;1;29;750,0
37;ceu_aberto;2;13;134,5
38;parcialmente_nublado;1;22;250,0
38;parcialmente_nublado;2;30;100,0
38;parcialmente_nublado;3;1;300,0
38;parcialmente_nublado;4;11;100,0
38;parcialmente_nublado;5;32;100,0
38;parcialmente_nublado;6;20;34,5
39;parcialmente_nublado;1;33;550,0
39;parcialmente_nublado;2;33;334,5
40;nublado;1;23;100,0
40;nublado;2;30;200,0
40;nublado;3;1;250,0
40;nublado;4;12;334,5
41;parcialmente_nublado;1;8;100,0
41;parcialmente_nublado;2;29;600,0
41;parcialmente_nublado;3;20;50,0
41;parcialmente_nublado;4;30;134,5
42;nublado;1;13;884,5
43;nublado;1;13;250,0
43;nublado;2;19;200,0
43;nublado;3;23;100,0
43;nublado;4;18;300,0
43;nublado;5;32;34,5
44;parcialmente_nublado;1;20;250,0
44;parcialmente_nublado;2;16;100,0
44;parcialmente_nublado;3;14;534,5
45;parcialmente_nublado;1;17;250,0
45;parcialmente_nublado;2;21;600,0
45;parcialmente_nublado;3;18;34,5
46;ceu_aberto;1;25;300,0
46;ceu_aberto;2;29;584,5
47;nublado;1;6;300,0
47;nublado;2;23;584,5
48;parcialmente_nublado;1;2;600,0
48;parcialmente_nublado;2;25;284,5
49;ceu_aberto;1;14;750,0
49;ceu_aberto;2;30;134,5
50;ceu_aberto;1;22;800,0
50;ceu_aberto;2;20;84,5
