id_realizacao;tipo_dia;unidade_bess;barra;potencia_kw;capacidade_kwh;razao_armazenamento_h
1;ceu_aberto;1;1;179,65;109,83;0,611
1;ceu_aberto;2;13;66,8;248,95;3,727
1;ceu_aberto;3;10;100,75;190,94;1,895
1;ceu_aberto;4;2;202,03;391,7;1,939
1;ceu_aberto;5;21;169,41;145,33;0,858
1;ceu_aberto;6;22;185,75;168,5;0,907
1;ceu_aberto;7;29;135,52;261,24;1,928
1;ceu_aberto;8;14;194,74;112,32;0,577
1;ceu_aberto;9;18;93,12;459,72;4,937
1;ceu_aberto;10;27;50,29;377,74;7,511
2;nublado;1;33;108,2;395,01;3,651
2;nublado;2;13;207,08;335,93;1,622
2;nublado;3;12;54,03;123,07;2,278
2;nublado;4;13;140,24;344,71;2,458
2;nublado;5;28;52,33;487,23;9,311
2;nublado;6;14;105,21;452,09;4,297
2;nublado;7;7;230,08;243,93;1,06
2;nublado;8;25;153,91;434,48;2,823
2;nublado;9;6;241,74;167,15;0,691
2;nublado;10;5;79,48;268,11;3,373
3;parcialmente_nublado;1;34;150,86;362,19;2,401
3;parcialmente_nublado;2;19;219,58;282,02;1,284
3;parcialmente_nublado;3;27;101,04;267,61;2,649
3;parcialmente_nublado;4;11;227,47;167,03;0,734
3;parcialmente_nublado;5;29;196,53;339,52;1,728
3;parcialmente_nublado;6;5;187,76;389,77;2,076
3;parcialmente_nublado;7;4;81,19;447,16;5,508
3;parcialmente_nublado;8;32;109,54;180,77;1,65
3;parcialmente_nublado;9;11;238,07;160,35;0,674
3;parcialmente_nublado;10;14;175,21;121,12;0,691
4;ceu_aberto;1;7;169,01;144,55;0,855
4;ceu_aberto;2;20;98,02;408,87;4,171
4;ceu_aberto;3;28;197,55;395,13;2,0
4;ceu_aberto;4;28;121,83;243,27;1,997
4;ceu_aberto;5;12;134,99;149,26;1,106
4;ceu_aberto;6;5;220,02;134,58;0,612
4;ceu_aberto;7;18;186,78;140,53;0,752
4;ceu_aberto;8;8;71,53;307,99;4,306
4;ceu_aberto;9;24;65,61;320,49;4,885
4;ceu_aberto;10;17;156,9;387,78;2,472
5;parcialmente_nublado;1;13;94,65;330,15;3,488
5;parcialmente_nublado;2;12;110,83;267,19;2,411
5;parcialmente_nublado;3;33;117,81;194,87;1,654
5;parcialmente_nublado;4;22;90,11;311,58;3,458
5;parcialmente_nublado;5;30;162,21;420,91;2,595
5;parcialmente_nublado;6;28;247,95;485,83;1,959
5;parcialmente_nublado;7;16;183,89;295,13;1,605
5;parcialmente_nublado;8;14;71,14;305,63;4,296
5;parcialmente_nublado;9;34;136,7;493,0;3,606
5;parcialmente_nublado;10;27;95,19;327,01;3,435
6;nublado;1;2;108,59;219,79;2,024
6;nublado;2;23;206,83;126,74;0,613
6;nublado;3;20;217,86;174,89;0,803
6;nublado;4;7;202,22;215,64;1,066
6;nublado;5;32;227,86;185,57;0,814
6;nublado;6;28;120,91;347,63;2,875
6;nublado;7;17;61,32;302,91;4,94
6;nublado;8;34;191,57;131,2;0,685
6;nublado;9;3;73,71;189,1;2,565
6;nublado;10;5;99,86;182,76;1,83
7;parcialmente_nublado;1;21;246,04;318,06;1,293
7;parcialmente_nublado;2;16;241,62;154,88;0,641
7;parcialmente_nublado;3;10;111,1;171,78;1,546
7;parcialmente_nublado;4;17;209,26;142,94;0,683
7;parcialmente_nublado;5;32;200,89;267,75;1,333
7;parcialmente_nublado;6;33;153,0;289,93;1,895
7;parcialmente_nublado;7;28;123,73;175,83;1,421
7;parcialmente_nublado;8;4;158,48;155,72;0,983
7;parcialmente_nublado;9;10;228,79;224,04;0,979
7;parcialmente_nublado;10;17;211,98;116,22;0,548
8;nublado;1;31;142,61;244,38;1,714
8;nublado;2;22;58,47;133,66;2,286
8;nublado;3;30;140,93;242,63;1,722
8;nublado;4;15;124,84;214,31;1,717
8;nublado;5;28;180,56;182,37;1,01
8;nublado;6;12;153,94;165,95;1,078
8;nublado;7;19;117,51;417,03;3,549
8;nublado;8;30;177,57;273,82;1,542
8;nublado;9;29;107,42;108,77;1,013
8;nublado;10;18;168,78;306,08;1,813
9;ceu_aberto;1;21;190,51;260,74;1,369
9;ceu_aberto;2;3;174,08;374,29;2,15
9;ceu_aberto;3;3;182,96;340,63;1,862
9;ceu_aberto;4;31;246,97;144,97;0,587
9;ceu_aberto;5;31;84,6;257,95;3,049
9;ceu_aberto;6;18;249,92;477,12;1,909
9;ceu_aberto;7;25;180,6;137,97;0,764
9;ceu_aberto;8;4;62,38;351,44;5,634
